x,y,label,classname,dataset
-83.5745,-33.583683,0,707-320,Aircraft
-84.529076,-32.508575,0,707-320,Aircraft
-86.583694,-37.266644,0,707-320,Aircraft
-84.6823,-31.876686,0,707-320,Aircraft
-84.72003,-31.95136,0,707-320,Aircraft
-87.159325,-35.749386,0,707-320,Aircraft
-84.77224,-31.911787,0,707-320,Aircraft
-84.233826,-32.986206,0,707-320,Aircraft
-87.123604,-40.093525,0,707-320,Aircraft
-83.710785,-32.535904,0,707-320,Aircraft
-86.77809,-35.869762,0,707-320,Aircraft
-83.64947,-33.049194,0,707-320,Aircraft
-86.06998,-36.85821,0,707-320,Aircraft
-83.119415,-33.008747,0,707-320,Aircraft
-84.495415,-32.570858,0,707-320,Aircraft
-83.70541,-33.212337,0,707-320,Aircraft
-85.31673,-33.39338,0,707-320,Aircraft
-87.28976,-34.281685,0,707-320,Aircraft
-86.936066,-35.75791,0,707-320,Aircraft
-84.69958,-31.79905,0,707-320,Aircraft
-83.72774,-32.5802,0,707-320,Aircraft
-86.76027,-34.695267,0,707-320,Aircraft
-84.842476,-32.00967,0,707-320,Aircraft
-86.009026,-32.92252,0,707-320,Aircraft
-84.81941,-31.92308,0,707-320,Aircraft
-84.48181,-32.794296,0,707-320,Aircraft
-83.91629,-33.71922,0,707-320,Aircraft
-84.68999,-32.12222,0,707-320,Aircraft
-84.81974,-31.858362,0,707-320,Aircraft
-86.71665,-36.774292,0,707-320,Aircraft
-84.76371,-32.611893,0,707-320,Aircraft
-87.14617,-35.223316,0,707-320,Aircraft
-85.42961,-30.988646,0,707-320,Aircraft
-84.04735,-32.573677,1,727-200,Aircraft
-86.96463,-39.556202,1,727-200,Aircraft
-87.150246,-34.11379,1,727-200,Aircraft
-87.97072,-33.788803,1,727-200,Aircraft
-87.23775,-33.821026,1,727-200,Aircraft
-84.33274,-33.26074,1,727-200,Aircraft
-83.84324,-38.30556,1,727-200,Aircraft
-84.414375,-33.30228,1,727-200,Aircraft
-85.503235,-33.66441,1,727-200,Aircraft
-84.0197,-34.062927,1,727-200,Aircraft
-86.74228,-35.8185,1,727-200,Aircraft
-83.558846,-32.05451,1,727-200,Aircraft
-86.06546,-37.99687,1,727-200,Aircraft
-87.831024,-31.086338,1,727-200,Aircraft
-84.595055,-32.512222,1,727-200,Aircraft
-84.29675,-32.848408,1,727-200,Aircraft
-86.6698,-35.901752,1,727-200,Aircraft
-87.42798,-32.423416,1,727-200,Aircraft
-84.72511,-32.995083,1,727-200,Aircraft
-86.14779,-34.590454,1,727-200,Aircraft
-85.38083,-34.869366,1,727-200,Aircraft
-88.21603,-36.707035,1,727-200,Aircraft
-83.16489,-35.019997,1,727-200,Aircraft
-84.873276,-31.970304,1,727-200,Aircraft
-84.62696,-31.824497,1,727-200,Aircraft
-85.84489,-32.699764,1,727-200,Aircraft
-87.91858,-37.461536,1,727-200,Aircraft
-84.747536,-31.786865,1,727-200,Aircraft
-85.07072,-31.442883,1,727-200,Aircraft
-86.160095,-33.17688,1,727-200,Aircraft
-87.24873,-33.40862,1,727-200,Aircraft
-87.50217,-33.75489,1,727-200,Aircraft
-88.41246,-41.15079,1,727-200,Aircraft
-82.65952,-40.319256,2,737-200,Aircraft
-82.90927,-32.389503,2,737-200,Aircraft
-85.33171,-34.040108,2,737-200,Aircraft
-86.94368,-39.367493,2,737-200,Aircraft
-83.55416,-32.92469,2,737-200,Aircraft
-83.421005,-35.631466,2,737-200,Aircraft
-83.52591,-33.99252,2,737-200,Aircraft
-84.786224,-33.723377,2,737-200,Aircraft
-84.107666,-40.93835,2,737-200,Aircraft
-86.65912,-36.60765,2,737-200,Aircraft
-84.33653,-33.430733,2,737-200,Aircraft
-82.46967,-38.73598,2,737-200,Aircraft
-87.22567,-38.678883,2,737-200,Aircraft
-84.965645,-40.413704,2,737-200,Aircraft
-86.48026,-36.670273,2,737-200,Aircraft
-86.339005,-40.140766,2,737-200,Aircraft
-87.8032,-32.987907,2,737-200,Aircraft
-85.40714,-40.12941,2,737-200,Aircraft
-85.26381,-33.713757,2,737-200,Aircraft
-84.45463,-38.431778,2,737-200,Aircraft
-88.372185,-36.22633,2,737-200,Aircraft
-85.28183,-38.70931,2,737-200,Aircraft
-85.48501,-36.33534,2,737-200,Aircraft
-87.10276,-35.228024,2,737-200,Aircraft
-86.07882,-38.66165,2,737-200,Aircraft
-85.0354,-34.056534,2,737-200,Aircraft
-86.99789,-39.316437,2,737-200,Aircraft
-87.348595,-36.31248,2,737-200,Aircraft
-86.795616,-40.33242,2,737-200,Aircraft
-86.4936,-39.92908,2,737-200,Aircraft
-85.10793,-35.96402,2,737-200,Aircraft
-83.287766,-34.811234,2,737-200,Aircraft
-83.34237,-34.586594,2,737-200,Aircraft
-88.52296,-41.511074,2,737-200,Aircraft
-88.54231,-38.341278,3,737-300,Aircraft
