x,y,label,classname,dataset
-48.868652,-2.5412712,0,707-320,Aircraft
-47.33688,-3.0883114,0,707-320,Aircraft
-52.058773,5.146915,0,707-320,Aircraft
-48.2763,-7.7212305,0,707-320,Aircraft
-47.726524,-3.6115205,0,707-320,Aircraft
-48.93493,-2.390171,0,707-320,Aircraft
-52.91361,-6.9918866,0,707-320,Aircraft
-47.825745,-4.0606356,0,707-320,Aircraft
-48.45147,3.237012,0,707-320,Aircraft
-47.383312,-7.9262094,0,707-320,Aircraft
-47.045773,0.42487746,0,707-320,Aircraft
-49.02733,-4.8644986,0,707-320,Aircraft
-47.83677,-5.378284,0,707-320,Aircraft
-49.213024,-9.258753,0,707-320,Aircraft
-47.187077,-2.4884362,0,707-320,Aircraft
-50.75816,0.67191434,0,707-320,Aircraft
-47.421104,4.3228774,0,707-320,Aircraft
-50.409718,-5.947909,0,707-320,Aircraft
-48.856373,-14.649347,0,707-320,Aircraft
-48.15615,-3.4963465,0,707-320,Aircraft
-50.37658,-7.794483,0,707-320,Aircraft
-47.695866,2.8404088,0,707-320,Aircraft
-48.973953,-7.9286747,0,707-320,Aircraft
-48.21434,5.0345106,0,707-320,Aircraft
-48.247437,-7.7059593,0,707-320,Aircraft
-49.723644,-5.364451,0,707-320,Aircraft
-49.20019,-9.092577,0,707-320,Aircraft
-47.555622,-3.000451,0,707-320,Aircraft
-48.13686,-7.6684284,0,707-320,Aircraft
-52.047543,-0.44702858,0,707-320,Aircraft
-46.701366,-1.7021899,0,707-320,Aircraft
-49.64835,-1.6610159,0,707-320,Aircraft
-48.288277,-7.372964,0,707-320,Aircraft
-48.250618,-1.9485155,1,727-200,Aircraft
-54.485058,-2.4325624,1,727-200,Aircraft
-48.834442,-3.2112918,1,727-200,Aircraft
-50.54993,0.18003488,1,727-200,Aircraft
-50.91001,-6.3591914,1,727-200,Aircraft
-47.444447,-6.434715,1,727-200,Aircraft
-51.400658,-7.5108066,1,727-200,Aircraft
-50.65567,-4.5523405,1,727-200,Aircraft
-49.048717,-3.2586138,1,727-200,Aircraft
-56.679684,-2.4504645,1,727-200,Aircraft
-50.0978,-0.26065588,1,727-200,Aircraft
-46.41928,-5.271734,1,727-200,Aircraft
-49.13301,-3.510635,1,727-200,Aircraft
-49.407333,-9.1988325,1,727-200,Aircraft
-49.103123,-6.884192,1,727-200,Aircraft
-49.113087,-7.178256,1,727-200,Aircraft
-54.45583,-8.126384,1,727-200,Aircraft
-56.05705,3.1971111,1,727-200,Aircraft
-52.84099,-2.768492,1,727-200,Aircraft
-54.89494,-4.000788,1,727-200,Aircraft
-50.629005,-6.4931593,1,727-200,Aircraft
-48.15107,3.3203666,1,727-200,Aircraft
-48.076004,-6.0842834,1,727-200,Aircraft
-46.81825,-0.1311466,1,727-200,Aircraft
-47.96692,-4.168022,1,727-200,Aircraft
-49.089737,-7.152581,1,727-200,Aircraft
-52.705715,-5.4489098,1,727-200,Aircraft
-51.691402,-3.913704,1,727-200,Aircraft
-54.579655,-4.166035,1,727-200,Aircraft
-49.255722,-0.10324379,1,727-200,Aircraft
-48.81837,-4.7952194,1,727-200,Aircraft
-48.708317,-3.34352,1,727-200,Aircraft
-51.165848,-1.9549975,1,727-200,Aircraft
-48.291126,5.154852,2,737-200,Aircraft
-48.53879,-7.2839255,2,737-200,Aircraft
-54.379078,-3.609436,2,737-200,Aircraft
-48.55353,-5.6148467,2,737-200,Aircraft
-53.095455,-3.176988,2,737-200,Aircraft
-49.212826,-9.26092,2,737-200,Aircraft
-47.18912,-5.4634643,2,737-200,Aircraft
-49.231293,-0.39230356,2,737-200,Aircraft
-51.702324,-7.274376,2,737-200,Aircraft
-46.7765,2.3611057,2,737-200,Aircraft
-49.04529,-2.474015,2,737-200,Aircraft
-49.968243,4.732609,2,737-200,Aircraft
-56.151268,-1.0563489,2,737-200,Aircraft
-51.9325,5.1667166,2,737-200,Aircraft
-52.22894,-4.095535,2,737-200,Aircraft
-49.874817,4.6735597,2,737-200,Aircraft
-59.268295,4.077892,2,737-200,Aircraft
-48.866966,-5.6913934,2,737-200,Aircraft
-47.56514,-2.9226184,2,737-200,Aircraft
-49.17685,-8.585501,2,737-200,Aircraft
-50.552616,-2.8091514,2,737-200,Aircraft
-50.963413,-3.5414762,2,737-200,Aircraft
-49.353348,-5.4325,2,737-200,Aircraft
-50.873295,-6.590975,2,737-200,Aircraft
-49.92284,-4.817529,2,737-200,Aircraft
-49.408344,-3.2101874,2,737-200,Aircraft
-49.040176,5.3092723,2,737-200,Aircraft
-48.682938,-4.494619,2,737-200,Aircraft
-50.542206,-1.113064,2,737-200,Aircraft
-48.41719,3.776993,2,737-200,Aircraft
