x,y,label,classname,dataset
73.509125,-39.362534,0,707-320,Aircraft
51.22858,-21.161001,0,707-320,Aircraft
94.14234,12.094983,0,707-320,Aircraft
71.608696,-29.518404,0,707-320,Aircraft
67.74783,-45.669147,0,707-320,Aircraft
82.54054,-37.932777,0,707-320,Aircraft
43.553036,-56.911434,0,707-320,Aircraft
42.962704,18.586138,0,707-320,Aircraft
105.07124,-13.3423395,0,707-320,Aircraft
-109.450485,-16.033308,0,707-320,Aircraft
78.431625,-33.350666,0,707-320,Aircraft
63.93241,-44.890984,0,707-320,Aircraft
89.7624,-7.8291597,0,707-320,Aircraft
82.09258,24.619238,0,707-320,Aircraft
64.9081,-33.505005,0,707-320,Aircraft
69.13815,-48.251534,0,707-320,Aircraft
68.89724,-46.54564,0,707-320,Aircraft
87.730644,-9.1215515,0,707-320,Aircraft
65.23003,-33.277317,0,707-320,Aircraft
66.030685,-37.899353,0,707-320,Aircraft
84.54295,-26.817362,0,707-320,Aircraft
67.111,-44.314358,0,707-320,Aircraft
35.96796,-63.839817,0,707-320,Aircraft
70.51896,-42.513664,0,707-320,Aircraft
-100.52484,26.828455,0,707-320,Aircraft
73.89573,-38.336575,0,707-320,Aircraft
68.136024,-44.87176,0,707-320,Aircraft
67.80108,34.35367,0,707-320,Aircraft
-78.15371,42.04627,0,707-320,Aircraft
68.882545,-31.42579,0,707-320,Aircraft
76.6738,25.418108,0,707-320,Aircraft
61.98562,-47.411087,0,707-320,Aircraft
90.34883,-13.802685,0,707-320,Aircraft
59.63968,-6.2131753,1,727-200,Aircraft
73.908966,-39.566696,1,727-200,Aircraft
62.023247,-42.38675,1,727-200,Aircraft
39.01524,-56.190323,1,727-200,Aircraft
88.525635,9.285081,1,727-200,Aircraft
57.437263,-44.837227,1,727-200,Aircraft
98.29472,-0.074137345,1,727-200,Aircraft
56.30165,-43.860172,1,727-200,Aircraft
73.867584,-41.617348,1,727-200,Aircraft
74.26877,-41.125126,1,727-200,Aircraft
36.767498,33.87922,1,727-200,Aircraft
74.78865,-42.7664,1,727-200,Aircraft
59.626133,-45.921223,1,727-200,Aircraft
62.938396,-38.514206,1,727-200,Aircraft
60.538025,-47.682236,1,727-200,Aircraft
78.324844,-26.600977,1,727-200,Aircraft
80.31575,-34.182266,1,727-200,Aircraft
40.568,-34.67251,1,727-200,Aircraft
78.000404,-34.636005,1,727-200,Aircraft
100.15083,-11.200058,1,727-200,Aircraft
49.37359,-30.261885,1,727-200,Aircraft
91.36256,-13.740146,1,727-200,Aircraft
72.45692,-38.935127,1,727-200,Aircraft
74.10624,7.0706015,1,727-200,Aircraft
73.53099,-39.11995,1,727-200,Aircraft
41.356335,-51.281956,1,727-200,Aircraft
59.608845,-6.0685554,1,727-200,Aircraft
66.95883,-43.73671,1,727-200,Aircraft
84.343185,9.8897,1,727-200,Aircraft
69.45152,2.432999,1,727-200,Aircraft
56.135418,-12.437221,1,727-200,Aircraft
89.941315,10.887815,1,727-200,Aircraft
92.313515,-4.071121,1,727-200,Aircraft
73.89569,-38.24259,2,737-200,Aircraft
-1.2929312,-67.66046,2,737-200,Aircraft
23.555794,8.170274,2,737-200,Aircraft
62.468372,-43.33945,2,737-200,Aircraft
67.98866,-46.662823,2,737-200,Aircraft
69.46939,-36.61074,2,737-200,Aircraft
77.611534,-35.76584,2,737-200,Aircraft
64.68508,-34.079742,2,737-200,Aircraft
71.25225,-44.246483,2,737-200,Aircraft
57.11636,49.206432,2,737-200,Aircraft
63.48768,-36.391235,2,737-200,Aircraft
76.58533,6.097375,2,737-200,Aircraft
-12.782063,-103.17327,2,737-200,Aircraft
78.31443,-32.86373,2,737-200,Aircraft
50.630028,-30.571026,2,737-200,Aircraft
13.942322,-92.899414,2,737-200,Aircraft
-80.414955,-62.55441,2,737-200,Aircraft
56.484547,-44.757755,2,737-200,Aircraft
77.562515,-34.912743,2,737-200,Aircraft
44.832035,-33.52697,2,737-200,Aircraft
74.67463,-28.316137,2,737-200,Aircraft
69.55675,4.135431,2,737-200,Aircraft
64.78145,-45.887703,2,737-200,Aircraft
85.32371,13.647145,2,737-200,Aircraft
94.39593,-20.166195,2,737-200,Aircraft
61.128323,-41.929794,2,737-200,Aircraft
94.52475,12.539488,2,737-200,Aircraft
97.29002,0.8193877,2,737-200,Aircraft
64.67459,-40.385956,2,737-200,Aircraft
56.026752,-8.984804,2,737-200,Aircraft
64.52495,-39.429317,2,737-200,Aircraft
57.70409,-43.987026,2,737-200,Aircraft
59.581398,-46.072853,2,737-200,Aircraft
102.30151,7.101169,2,737-200,Aircraft
73.89402,-38.04533,3,737-300,Aircraft
68.88475,-47.662548,3,737-300,Aircraft
67.32735,-44.450024,3,737-300,Aircraft
74.07764,-28.602964,3,737-300,Aircraft
71.97511,-38.4537,3,737-300,Aircraft
83.84342,-21.51764,3,737-300,Aircraft
99.95945,-23.286324,3,737-300,Aircraft
77.65423,-25.262245,3,737-300,Aircraft
63.540882,-39.98523,3,737-300,Aircraft
41.731743,-18.445,3,737-300,Aircraft
61.474846,-40.862167,3,737-300,Aircraft
82.335175,7.003752,3,737-300,Aircraft
86.6744,-41.169193,3,737-300,Aircraft
71.38615,-29.781778,3,737-300,Aircraft
67.733765,46.018612,3,737-300,Aircraft
67.67731,-9.322367,3,737-300,Aircraft
72.88114,-29.44037,3,737-300,Aircraft
79.47821,-34.293694,3,737-300,Aircraft
-6.9262605,-97.375404,3,737-300,Aircraft
68.182014,-48.357513,3,737-300,Aircraft
57.851025,-45.263344,3,737-300,Aircraft
51.838085,-34.232075,3,737-300,Aircraft
58.2107,-46.90456,3,737-300,Aircraft
56.058872,-17.400965,3,737-300,Aircraft
91.24894,11.357675,3,737-300,Aircraft
69.570755,-35.87603,3,737-300,Aircraft
95.99797,38.520676,3,737-300,Aircraft
94.64965,0.04827177,3,737-300,Aircraft
-42.483074,-83.35936,3,737-300,Aircraft
72.421005,-32.477375,3,737-300,Aircraft
71.82395,-42.911163,3,737-300,Aircraft
10.209811,14.236679,3,737-300,Aircraft
85.18691,28.3953,3,737-300,Aircraft
96.2944,3.6078727,4,737-400,Aircraft
55.71542,-44.945145,4,737-400,Aircraft
84.41273,-41.64603,4,737-400,Aircraft
58.27742,-43.290585,4,737-400,Aircraft
74.51723,-44.45971,4,737-400,Aircraft
61.99557,-40.441032,4,737-400,Aircraft
67.00514,-12.864165,4,737-400,Aircraft
67.87925,-1.5029712,4,737-400,Aircraft
55.814114,-17.08844,4,737-400,Aircraft
62.220345,-40.697834,4,737-400,Aircraft
74.46062,-42.391308,4,737-400,Aircraft
64.4828,-35.005535,4,737-400,Aircraft
97.46681,-31.393332,4,737-400,Aircraft
89.000305,-8.617848,4,737-400,Aircraft
57.480522,-43.011585,4,737-400,Aircraft
77.257645,-31.520508,4,737-400,Aircraft
59.14787,-45.06257,4,737-400,Aircraft
80.19107,-24.131165,4,737-400,Aircraft
-55.214493,73.29265,4,737-400,Aircraft
66.14817,-37.89842,4,737-400,Aircraft
59.357048,-43.792778,4,737-400,Aircraft
64.17861,-38.32126,4,737-400,Aircraft
61.511982,-42.49793,4,737-400,Aircraft
51.878212,34.16426,4,737-400,Aircraft
-42.99595,-7.917075,4,737-400,Aircraft
77.75663,-35.604477,4,737-400,Aircraft
70.83021,-42.62029,4,737-400,Aircraft
64.86799,-34.51288,4,737-400,Aircraft
72.88751,-39.78399,4,737-400,Aircraft
67.645676,-45.695145,4,737-400,Aircraft
75.38078,-43.702984,4,737-400,Aircraft
-102.28774,-7.5140724,4,737-400,Aircraft
78.04461,-33.047253,4,737-400,Aircraft
31.376398,31.406357,5,737-500,Aircraft
66.90848,-44.505127,5,737-500,Aircraft
103.79786,1.3866888,5,737-500,Aircraft
61.540737,-40.762318,5,737-500,Aircraft
-43.575447,-83.89023,5,737-500,Aircraft
-23.029415,-79.354,5,737-500,Aircraft
97.26806,-25.297155,5,737-500,Aircraft
91.11396,13.489241,5,737-500,Aircraft
98.75302,-0.48695055,5,737-500,Aircraft
