x,y,label,classname,dataset
40.603294,10.02125,0,707-320,Aircraft
51.038513,7.598957,0,707-320,Aircraft
-12.038917,-8.952163,0,707-320,Aircraft
-26.799997,-2.710296,0,707-320,Aircraft
-28.59454,19.193258,0,707-320,Aircraft
19.062176,12.248682,0,707-320,Aircraft
-30.386082,1.2638185,0,707-320,Aircraft
48.22389,8.06782,0,707-320,Aircraft
-40.391743,6.778893,0,707-320,Aircraft
-43.711487,6.9065967,0,707-320,Aircraft
-24.176168,-14.209506,0,707-320,Aircraft
34.77009,16.754099,0,707-320,Aircraft
-40.24899,4.885332,0,707-320,Aircraft
-35.16958,-11.198701,0,707-320,Aircraft
-27.50604,-16.04175,0,707-320,Aircraft
38.304184,15.889211,0,707-320,Aircraft
-0.06632542,15.786079,0,707-320,Aircraft
51.66834,7.0646057,0,707-320,Aircraft
1.8703384,7.5656,0,707-320,Aircraft
-40.93302,2.3718443,0,707-320,Aircraft
-34.2536,-1.1657362,0,707-320,Aircraft
-2.1090167,16.632404,0,707-320,Aircraft
-30.992996,-5.0512643,0,707-320,Aircraft
30.984531,16.147099,0,707-320,Aircraft
-33.1871,-19.569847,0,707-320,Aircraft
41.504864,12.917959,0,707-320,Aircraft
-33.877823,-12.698207,0,707-320,Aircraft
-38.20855,-6.132371,0,707-320,Aircraft
-37.77304,1.6905891,0,707-320,Aircraft
-7.551547,-18.846996,0,707-320,Aircraft
37.371506,13.593558,0,707-320,Aircraft
12.332806,-6.115945,0,707-320,Aircraft
-36.521072,-1.4851296,0,707-320,Aircraft
32.652702,8.602407,1,off-center face,Caltech101
-8.968105,-23.985748,1,off-center face,Caltech101
14.80433,-15.135467,1,off-center face,Caltech101
-8.159128,-21.7091,2,centered face,Caltech101
9.677082,-10.958549,1,off-center face,Caltech101
9.963315,-11.340061,1,off-center face,Caltech101
16.602436,-20.803808,2,centered face,Caltech101
15.137536,-21.017155,1,off-center face,Caltech101
35.17259,5.4988537,1,off-center face,Caltech101
34.096527,0.40025732,2,centered face,Caltech101
10.3455515,-12.603514,1,off-center face,Caltech101
-6.047845,-16.933506,1,off-center face,Caltech101
-7.3560195,-21.176348,1,off-center face,Caltech101
14.969477,-14.020714,2,centered face,Caltech101
5.8677607,-18.026148,2,centered face,Caltech101
-27.905533,-15.20819,1,off-center face,Caltech101
32.691345,-1.3994431,1,off-center face,Caltech101
8.565552,-9.686036,1,off-center face,Caltech101
-31.68689,-18.483404,1,off-center face,Caltech101
-18.648718,-10.643217,2,centered face,Caltech101
2.620097,-14.07963,1,off-center face,Caltech101
13.674568,-2.3121753,1,off-center face,Caltech101
-3.560465,-14.960812,1,off-center face,Caltech101
18.869982,-11.1273575,2,centered face,Caltech101
9.287693,-8.924464,1,off-center face,Caltech101
3.7469122,-12.675833,2,centered face,Caltech101
-35.08731,-15.221203,2,centered face,Caltech101
21.60881,12.8201475,1,off-center face,Caltech101
-13.248085,-11.260616,2,centered face,Caltech101
9.481303,-20.216705,2,centered face,Caltech101
7.875608,-8.366211,2,centered face,Caltech101
17.46924,-20.421778,2,centered face,Caltech101
14.276696,-20.981174,1,off-center face,Caltech101
8.300062,-10.5901785,2,centered face,Caltech101
-5.801218,-14.61668,1,off-center face,Caltech101
7.533841,-17.490881,1,off-center face,Caltech101
5.079893,-18.511873,1,off-center face,Caltech101
33.424507,-0.73980427,2,centered face,Caltech101
-2.6235373,-14.775227,2,centered face,Caltech101
10.198321,-9.755552,1,off-center face,Caltech101
-1.4195865,-18.129232,2,centered face,Caltech101
13.718647,-8.911959,2,centered face,Caltech101
13.062045,-5.1715775,1,off-center face,Caltech101
34.97845,4.0454264,2,centered face,Caltech101
-16.335228,-13.026796,1,off-center face,Caltech101
3.8778255,-17.971394,1,off-center face,Caltech101
18.356989,-1.6283315,1,off-center face,Caltech101
4.3739624,-18.198322,1,off-center face,Caltech101
-37.649025,-14.656934,2,centered face,Caltech101
24.00786,-13.812694,3,airplane,CIFAR10
-43.602192,4.662289,3,airplane,CIFAR10
-21.28973,-14.110846,3,airplane,CIFAR10
4.6854224,4.505988,3,airplane,CIFAR10
19.374762,16.938406,3,airplane,CIFAR10
31.670626,5.344902,3,airplane,CIFAR10
-0.035699002,-8.977216,3,airplane,CIFAR10
-24.58775,23.888006,3,airplane,CIFAR10
-40.35941,-5.593353,3,airplane,CIFAR10
-29.939436,-5.855761,3,airplane,CIFAR10
-34.5908,-11.820383,3,airplane,CIFAR10
-29.885557,0.3858414,3,airplane,CIFAR10
34.514782,4.5629926,3,airplane,CIFAR10
-27.203585,-3.5631175,3,airplane,CIFAR10
41.799263,12.20433,3,airplane,CIFAR10
32.281055,2.8782215,3,airplane,CIFAR10
-29.065102,16.934246,3,airplane,CIFAR10
-7.8764315,-19.898174,3,airplane,CIFAR10
45.908077,12.734447,3,airplane,CIFAR10
21.054262,-15.286634,3,airplane,CIFAR10
37.538475,11.777355,3,airplane,CIFAR10
-30.386772,1.8150792,3,airplane,CIFAR10
-26.184668,24.725054,3,airplane,CIFAR10
3.8798614,-4.726291,3,airplane,CIFAR10
-20.60006,30.00661,3,airplane,CIFAR10
-32.290768,-13.739395,3,airplane,CIFAR10
2.3592503,-12.413293,3,airplane,CIFAR10
-38.59361,5.2270856,3,airplane,CIFAR10
-31.808002,-13.924768,3,airplane,CIFAR10
-45.32435,-17.305914,3,airplane,CIFAR10
-3.4055033,16.815708,3,airplane,CIFAR10
51.153633,3.921113,3,airplane,CIFAR10
-17.58199,-11.286427,3,airplane,CIFAR10
-33.9686,3.489043,3,airplane,CIFAR10
-44.288326,6.761082,3,airplane,CIFAR10
-25.33721,24.52935,3,airplane,CIFAR10
-36.79263,-14.992148,3,airplane,CIFAR10
-6.430105,-19.736113,3,airplane,CIFAR10
-29.471968,-3.5021489,3,airplane,CIFAR10
-38.214573,-7.958617,3,airplane,CIFAR10
31.518105,2.9898856,3,airplane,CIFAR10
-30.247887,-6.68392,3,airplane,CIFAR10
33.856907,14.262215,3,airplane,CIFAR10
-35.21731,-16.152058,3,airplane,CIFAR10
26.376726,7.554103,3,airplane,CIFAR10
-25.95904,23.366995,3,airplane,CIFAR10
-23.117807,-15.227438,3,airplane,CIFAR10
-34.522663,-7.876285,3,airplane,CIFAR10
-2.121284,8.339646,3,airplane,CIFAR10
-8.394151,2.1521418,3,airplane,CIFAR10
-41.6562,3.7213264,3,airplane,CIFAR10
38.237408,14.468588,3,airplane,CIFAR10
40.646446,13.603548,3,airplane,CIFAR10
-40.716167,7.6596603,3,airplane,CIFAR10
1.729485,-11.531063,3,airplane,CIFAR10
-22.521507,-13.231295,3,airplane,CIFAR10
-33.20321,-19.800352,3,airplane,CIFAR10
10.714259,-19.365978,4,apple,CIFAR100
0.71158785,-19.281126,4,apple,CIFAR100
17.488361,-19.310621,4,apple,CIFAR100
35.465263,-1.420872,4,apple,CIFAR100
-13.796659,-23.667332,4,apple,CIFAR100
-2.8343682,-16.312672,4,apple,CIFAR100
18.574171,-11.572964,4,apple,CIFAR100
-38.554466,-14.949131,5,banded,DTD
-46.976643,-17.700274,5,banded,DTD
-38.592644,-0.42711225,5,banded,DTD
22.51221,-12.349891,5,banded,DTD
46.82477,13.036458,5,banded,DTD
-9.772935,-23.563972,5,banded,DTD
-17.866924,13.65799,5,banded,DTD
45.339634,-6.9481606,5,banded,DTD
49.868515,-4.541367,5,banded,DTD
18.198828,-20.837627,5,banded,DTD
-19.353065,-22.583807,5,banded,DTD
-14.585491,-18.153841,5,banded,DTD
45.01737,14.6845455,5,banded,DTD
21.01121,-14.946932,5,banded,DTD
46.361103,-5.9208765,5,banded,DTD
46.981243,9.85019,5,banded,DTD
-16.138355,30.585213,5,banded,DTD
20.801853,-16.749031,5,banded,DTD
-12.2236805,-23.274166,5,banded,DTD
-40.804276,-17.172039,5,banded,DTD
-47.25645,-18.014784,5,banded,DTD
-16.83398,-22.347698,5,banded,DTD
-47.136562,-16.071102,5,banded,DTD
47.567776,-3.0077858,5,banded,DTD
-16.250582,-4.395494,5,banded,DTD
-17.81631,25.048847,5,banded,DTD
21.607367,24.385143,5,banded,DTD
17.59369,-12.194137,5,banded,DTD
-19.533426,-11.543753,5,banded,DTD
-4.3187885,-6.976404,5,banded,DTD
-17.807152,-21.016787,5,banded,DTD
13.948109,-9.78774,5,banded,DTD
18.218,-17.377447,5,banded,DTD
20.815289,13.206756,5,banded,DTD
-17.188667,11.052418,5,banded,DTD
41.406376,-4.2887063,5,banded,DTD
-30.71298,-14.827215,5,banded,DTD
-38.910507,-0.119924136,5,banded,DTD
-23.250458,1.7089298,5,banded,DTD
14.57856,-16.80919,5,banded,DTD
39.528595,13.987181,6,annual crop land,EuroSAT
37.437267,17.184477,6,annual crop land,EuroSAT
53.162113,-0.048812255,6,annual crop land,EuroSAT
45.69621,-2.0359147,6,annual crop land,EuroSAT
51.79017,-1.1169894,6,annual crop land,EuroSAT
-31.411755,-19.620752,6,annual crop land,EuroSAT
54.71664,-1.4741303,6,annual crop land,EuroSAT
48.56335,4.313711,6,annual crop land,EuroSAT
54.35327,-1.904295,6,annual crop land,EuroSAT
53.08877,-3.7798576,6,annual crop land,EuroSAT
-8.29448,-20.441858,6,annual crop land,EuroSAT
47.69329,3.348082,6,annual crop land,EuroSAT
40.22323,-4.140605,6,annual crop land,EuroSAT
50.78321,-1.9372787,6,annual crop land,EuroSAT
53.107388,1.3850598,6,annual crop land,EuroSAT
26.264238,8.051772,6,annual crop land,EuroSAT
43.512985,-7.0214605,6,annual crop land,EuroSAT
53.936592,0.28248736,6,annual crop land,EuroSAT
41.313908,-5.7364926,6,annual crop land,EuroSAT
43.809696,-6.0222807,6,annual crop land,EuroSAT
43.733444,-6.5677924,6,annual crop land,EuroSAT
36.774433,10.379801,6,annual crop land,EuroSAT
54.663605,-0.7684978,6,annual crop land,EuroSAT
53.928722,-2.737366,6,annual crop land,EuroSAT
51.86534,-3.9992206,6,annual crop land,EuroSAT
37.972347,-5.1421113,6,annual crop land,EuroSAT
33.641666,15.134061,6,annual crop land,EuroSAT
47.516174,-1.7575428,6,annual crop land,EuroSAT
40.09326,15.208258,6,annual crop land,EuroSAT
19.128702,-19.813677,6,annual crop land,EuroSAT
52.024994,0.28038004,6,annual crop land,EuroSAT
54.794468,0.7024927,6,annual crop land,EuroSAT
39.03441,15.020273,6,annual crop land,EuroSAT
52.162933,1.6260804,6,annual crop land,EuroSAT
55.533955,-1.8467726,6,annual crop land,EuroSAT
54.154613,2.0922842,6,annual crop land,EuroSAT
53.47159,-1.1620466,6,annual crop land,EuroSAT
12.545382,-21.410032,6,annual crop land,EuroSAT
42.417667,-5.993031,6,annual crop land,EuroSAT
37.91113,15.788506,6,annual crop land,EuroSAT
53.56045,2.0052457,6,annual crop land,EuroSAT
53.399742,-1.9808788,6,annual crop land,EuroSAT
55.952652,-0.83431786,6,annual crop land,EuroSAT
52.391785,4.15636,6,annual crop land,EuroSAT
-38.959026,1.8861341,6,annual crop land,EuroSAT
39.743828,-1.9043106,6,annual crop land,EuroSAT
53.934547,-0.24443,6,annual crop land,EuroSAT
52.745464,-0.6774293,6,annual crop land,EuroSAT
53.35861,0.7429938,6,annual crop land,EuroSAT
51.397247,3.0968757,6,annual crop land,EuroSAT
48.87498,-2.4378357,6,annual crop land,EuroSAT
35.852306,0.04454892,6,annual crop land,EuroSAT
21.259712,-15.765607,6,annual crop land,EuroSAT
35.837082,16.573141,6,annual crop land,EuroSAT
52.386456,0.61701864,6,annual crop land,EuroSAT
49.62257,3.9106429,6,annual crop land,EuroSAT
46.818027,-1.1296022,6,annual crop land,EuroSAT
53.892204,-1.0698448,6,annual crop land,EuroSAT
39.346687,9.3452425,6,annual crop land,EuroSAT
52.773342,-1.2289544,6,annual crop land,EuroSAT
40.50152,-1.103492,7,pink primrose,Flowers
50.4233,4.7597313,7,pink primrose,Flowers
-24.351732,-14.976843,7,pink primrose,Flowers
24.179659,-13.006459,7,pink primrose,Flowers
35.00641,-1.5872757,7,pink primrose,Flowers
34.19538,3.0511172,7,pink primrose,Flowers
21.729136,-10.64656,7,pink primrose,Flowers
4.8810163,-14.642816,7,pink primrose,Flowers
40.3732,-2.7749288,7,pink primrose,Flowers
39.24515,9.317352,7,pink primrose,Flowers
15.013879,-9.38777,7,pink primrose,Flowers
35.36566,0.6850346,7,pink primrose,Flowers
19.212069,-0.39618632,7,pink primrose,Flowers
35.94924,8.682864,7,pink primrose,Flowers
35.2186,-0.6036246,7,pink primrose,Flowers
41.707615,-1.3201847,7,pink primrose,Flowers
49.54479,3.1087024,7,pink primrose,Flowers
14.329972,-10.085268,7,pink primrose,Flowers
33.9303,5.393012,7,pink primrose,Flowers
41.47279,-2.568553,7,pink primrose,Flowers
