x,y,label,classname,dataset
59.442265,-74.39705,0,707-320,Aircraft
-5.020524,-46.834015,0,707-320,Aircraft
1.9438614,77.72481,0,707-320,Aircraft
44.220257,12.641868,0,707-320,Aircraft
31.420954,-20.091244,0,707-320,Aircraft
5.8161407,-102.072426,0,707-320,Aircraft
25.470375,-21.578352,0,707-320,Aircraft
36.456623,100.296814,0,707-320,Aircraft
14.774383,-50.612263,0,707-320,Aircraft
17.862244,-50.066486,0,707-320,Aircraft
33.03481,98.892044,0,707-320,Aircraft
45.717323,-65.74983,0,707-320,Aircraft
31.480137,-27.575548,0,707-320,Aircraft
34.30904,20.099464,0,707-320,Aircraft
5.43291,-101.63863,0,707-320,Aircraft
-1.1358427,-52.45613,0,707-320,Aircraft
0.36551479,-106.719826,0,707-320,Aircraft
10.870222,-60.03648,0,707-320,Aircraft
-16.024757,-57.01765,0,707-320,Aircraft
18.993673,-17.628773,0,707-320,Aircraft
-15.23871,22.00603,0,707-320,Aircraft
20.02312,-95.68893,0,707-320,Aircraft
32.166374,-19.911016,0,707-320,Aircraft
1.7971056,-57.87506,0,707-320,Aircraft
22.110239,57.847305,0,707-320,Aircraft
-6.5978303,-88.374176,0,707-320,Aircraft
17.734884,33.886055,0,707-320,Aircraft
52.097206,-55.804424,0,707-320,Aircraft
33.099705,22.66894,0,707-320,Aircraft
17.817734,-84.68851,0,707-320,Aircraft
13.889352,-59.038723,0,707-320,Aircraft
-56.99876,-48.53952,0,707-320,Aircraft
-11.0667,40.28618,0,707-320,Aircraft
3.7907333,-0.055390418,1,727-200,Aircraft
32.758217,-8.735428,1,727-200,Aircraft
-22.435467,-4.4714203,1,727-200,Aircraft
5.3373003,-99.87573,1,727-200,Aircraft
-59.506756,-54.172672,1,727-200,Aircraft
44.149105,-77.87989,1,727-200,Aircraft
-43.19227,18.543991,1,727-200,Aircraft
-10.115219,-98.84174,1,727-200,Aircraft
-9.831472,-87.93905,1,727-200,Aircraft
23.097652,22.855656,1,727-200,Aircraft
26.5574,-1.393692,1,727-200,Aircraft
-33.113953,66.219215,1,727-200,Aircraft
-0.3769711,-95.981476,1,727-200,Aircraft
-80.52934,-24.491644,1,727-200,Aircraft
37.57437,12.027252,1,727-200,Aircraft
8.352956,-60.513493,1,727-200,Aircraft
0.923437,-103.92553,1,727-200,Aircraft
-59.649906,-52.92147,1,727-200,Aircraft
-2.0261014,-12.146984,1,727-200,Aircraft
-18.856056,28.010769,1,727-200,Aircraft
-32.574253,-5.212026,1,727-200,Aircraft
-1.4475937,-94.05607,1,727-200,Aircraft
29.739769,23.16979,1,727-200,Aircraft
37.323498,-36.692005,1,727-200,Aircraft
11.448511,54.21224,1,727-200,Aircraft
34.024723,11.217852,1,727-200,Aircraft
47.792625,26.718042,1,727-200,Aircraft
32.332935,18.13463,1,727-200,Aircraft
