x,y,label,classname,dataset
-76.63227,53.450603,0,707-320,Aircraft
-75.6603,54.37307,0,707-320,Aircraft
-78.43162,49.487305,0,707-320,Aircraft
-75.04478,54.690094,0,707-320,Aircraft
-75.08935,54.56868,0,707-320,Aircraft
-76.974625,49.850605,0,707-320,Aircraft
-75.02049,54.568157,0,707-320,Aircraft
-76.08378,54.1391,0,707-320,Aircraft
-81.08108,48.836582,0,707-320,Aircraft
-76.16085,54.81212,0,707-320,Aircraft
-77.19207,50.213642,0,707-320,Aircraft
-75.526474,53.43952,0,707-320,Aircraft
-77.57819,49.275223,0,707-320,Aircraft
-76.88056,54.945827,0,707-320,Aircraft
-75.6217,54.248936,0,707-320,Aircraft
-75.71223,53.39952,0,707-320,Aircraft
-75.548874,53.04445,0,707-320,Aircraft
-75.48421,50.526123,0,707-320,Aircraft
-77.04441,50.202183,0,707-320,Aircraft
-75.00263,54.652824,0,707-320,Aircraft
-76.082344,54.86312,0,707-320,Aircraft
-75.38502,52.872627,0,707-320,Aircraft
-75.017334,54.51684,0,707-320,Aircraft
-74.64898,52.777542,0,707-320,Aircraft
-75.00028,54.56889,0,707-320,Aircraft
-75.78866,53.979855,0,707-320,Aircraft
-76.95672,53.991264,0,707-320,Aircraft
-75.20525,54.47812,0,707-320,Aircraft
-74.91378,54.653416,0,707-320,Aircraft
-77.87393,49.668034,0,707-320,Aircraft
-75.40776,53.898,0,707-320,Aircraft
-76.80575,50.791252,0,707-320,Aircraft
-74.052,54.27984,0,707-320,Aircraft
-75.99327,54.370964,1,727-200,Aircraft
-80.73285,48.991646,1,727-200,Aircraft
-75.51373,50.560543,1,727-200,Aircraft
-74.89809,50.021503,1,727-200,Aircraft
-75.33298,50.539932,1,727-200,Aircraft
-76.27666,53.75941,1,727-200,Aircraft
-80.32064,44.958565,1,727-200,Aircraft
-76.27829,53.52955,1,727-200,Aircraft
-75.74363,52.443607,1,727-200,Aircraft
-76.80804,52.93986,1,727-200,Aircraft
-76.99781,49.788258,1,727-200,Aircraft
-76.42866,54.368923,1,727-200,Aircraft
-79.11727,48.730648,1,727-200,Aircraft
-73.05282,51.903362,1,727-200,Aircraft
-75.556854,54.165897,1,727-200,Aircraft
-75.89497,54.10751,1,727-200,Aircraft
-77.221535,50.227703,1,727-200,Aircraft
-74.84445,49.004826,1,727-200,Aircraft
-75.55501,53.36771,1,727-200,Aircraft
-77.15516,51.48225,1,727-200,Aircraft
-75.91481,51.787663,1,727-200,Aircraft
-78.839714,50.97145,1,727-200,Aircraft
-77.73942,53.592346,1,727-200,Aircraft
-74.97007,54.541576,1,727-200,Aircraft
-75.08402,54.835243,1,727-200,Aircraft
-74.63778,52.830883,1,727-200,Aircraft
-79.637955,50.02718,1,727-200,Aircraft
-74.9226,54.68445,1,727-200,Aircraft
-74.41606,54.554012,1,727-200,Aircraft
-75.10816,52.045002,1,727-200,Aircraft
-74.7539,50.831688,1,727-200,Aircraft
-75.066574,50.418613,1,727-200,Aircraft
-82.63726,49.17543,1,727-200,Aircraft
-77.80377,45.844112,2,737-200,Aircraft
-76.195145,55.36014,2,737-200,Aircraft
-76.280716,52.312057,2,737-200,Aircraft
-80.47549,48.44006,2,737-200,Aircraft
-76.61795,54.678318,2,737-200,Aircraft
-78.92163,53.693947,2,737-200,Aircraft
-77.39266,53.864,2,737-200,Aircraft
