x,y,label,classname,dataset
-5.686576,-43.94092,0,707-320,Aircraft
-4.770296,-44.33286,0,707-320,Aircraft
-4.027608,-43.511353,0,707-320,Aircraft
-5.809412,-46.00267,0,707-320,Aircraft
-5.3712187,-45.515892,0,707-320,Aircraft
-3.1580906,-44.27776,0,707-320,Aircraft
-5.6391187,-45.614613,0,707-320,Aircraft
-5.389075,-44.891666,0,707-320,Aircraft
-2.5345392,-44.010773,0,707-320,Aircraft
-6.583012,-45.556744,0,707-320,Aircraft
-3.642042,-44.031467,0,707-320,Aircraft
-5.362999,-43.655525,0,707-320,Aircraft
-3.2989619,-43.994015,0,707-320,Aircraft
-6.7153425,-44.101067,0,707-320,Aircraft
-5.007202,-45.020927,0,707-320,Aircraft
-5.4624867,-43.7639,0,707-320,Aircraft
-4.41251,-44.72513,0,707-320,Aircraft
-3.399105,-44.698814,0,707-320,Aircraft
-3.5342593,-42.995697,0,707-320,Aircraft
-4.7228937,-46.165302,0,707-320,Aircraft
-6.279383,-45.001465,0,707-320,Aircraft
-4.470152,-43.726368,0,707-320,Aircraft
-5.1344624,-45.970028,0,707-320,Aircraft
-3.82482,-45.12159,0,707-320,Aircraft
-5.2942657,-45.727097,0,707-320,Aircraft
-4.9267325,-44.6118,0,707-320,Aircraft
-5.6053615,-44.43597,0,707-320,Aircraft
-5.0562625,-45.551823,0,707-320,Aircraft
-5.5494747,-46.438633,0,707-320,Aircraft
-3.3801696,-43.77377,0,707-320,Aircraft
-4.4268007,-45.528786,0,707-320,Aircraft
-4.1735086,-42.786804,0,707-320,Aircraft
-4.6491184,-46.8626,0,707-320,Aircraft
28.890583,0.31565973,1,off-center face,Caltech101
30.384336,-0.802425,1,off-center face,Caltech101
28.752127,0.80627567,1,off-center face,Caltech101
28.189365,5.2826486,2,centered face,Caltech101
30.378426,4.5247126,1,off-center face,Caltech101
30.298527,4.4906864,1,off-center face,Caltech101
26.31485,4.819906,2,centered face,Caltech101
28.745047,-0.90351886,1,off-center face,Caltech101
27.4747,3.5859396,1,off-center face,Caltech101
31.28852,1.2207633,2,centered face,Caltech101
28.916422,3.4718232,1,off-center face,Caltech101
26.227495,4.816339,1,off-center face,Caltech101
26.281637,4.765145,1,off-center face,Caltech101
30.219896,0.14989237,2,centered face,Caltech101
28.792387,3.5392818,2,centered face,Caltech101
28.337881,1.1490278,1,off-center face,Caltech101
27.894691,1.473191,1,off-center face,Caltech101
