x,y,label,classname,dataset
-75.85598,5.4982605,0,707-320,Aircraft
-75.94432,6.5755243,0,707-320,Aircraft
-74.20985,2.016134,0,707-320,Aircraft
-75.405945,7.2179613,0,707-320,Aircraft
-75.34717,7.108588,0,707-320,Aircraft
-73.23772,2.7236288,0,707-320,Aircraft
-75.27293,7.183379,0,707-320,Aircraft
-75.81644,6.1227903,0,707-320,Aircraft
-75.54579,-0.27434453,0,707-320,Aircraft
-76.32127,6.3781195,0,707-320,Aircraft
-73.92198,2.6681566,0,707-320,Aircraft
-75.31416,5.966548,0,707-320,Aircraft
-73.30466,1.594101,0,707-320,Aircraft
-76.995674,6.2305884,0,707-320,Aircraft
-75.44675,6.5775776,0,707-320,Aircraft
-75.3992,5.7742605,0,707-320,Aircraft
-74.79139,5.617979,0,707-320,Aircraft
-73.002075,3.6657104,0,707-320,Aircraft
-73.7655,2.7618268,0,707-320,Aircraft
-75.36378,7.238035,0,707-320,Aircraft
-76.32635,6.7612033,0,707-320,Aircraft
-74.35772,4.1564775,0,707-320,Aircraft
-75.277725,7.097314,0,707-320,Aircraft
-73.76138,6.214129,0,707-320,Aircraft
-75.26107,7.2038784,0,707-320,Aircraft
-75.55939,6.2774153,0,707-320,Aircraft
-76.35641,5.4527483,0,707-320,Aircraft
-75.39485,6.9559155,0,707-320,Aircraft
-75.26946,7.275514,0,707-320,Aircraft
-73.98447,1.7683538,0,707-320,Aircraft
-75.19506,6.502848,0,707-320,Aircraft
-74.03442,3.3871186,0,707-320,Aircraft
-74.33737,7.580771,0,707-320,Aircraft
-75.77592,6.6226625,1,727-200,Aircraft
-75.29642,-0.57049495,1,727-200,Aircraft
-73.0761,4.0401196,1,727-200,Aircraft
-72.15198,3.9410925,1,727-200,Aircraft
-72.902885,3.944711,1,727-200,Aircraft
-75.62937,5.915285,1,727-200,Aircraft
-72.87667,-2.7658334,1,727-200,Aircraft
-75.514404,5.7112746,1,727-200,Aircraft
-74.442345,5.124105,1,727-200,Aircraft
-75.53998,5.1169014,1,727-200,Aircraft
-73.73329,2.7396383,1,727-200,Aircraft
-76.225494,5.9499006,1,727-200,Aircraft
-73.86814,0.38817856,1,727-200,Aircraft
-71.98763,6.1752872,1,727-200,Aircraft
-75.480545,6.533172,1,727-200,Aircraft
-75.608246,6.346621,1,727-200,Aircraft
-73.79893,2.660708,1,727-200,Aircraft
-71.18327,3.1481848,1,727-200,Aircraft
-74.960846,6.0811877,1,727-200,Aircraft
-74.55423,3.0299861,1,727-200,Aircraft
-73.53776,5.0091777,1,727-200,Aircraft
-75.094986,2.4113407,1,727-200,Aircraft
-76.45775,4.57527,1,727-200,Aircraft
-75.25474,7.151994,1,727-200,Aircraft
-75.512856,7.273729,1,727-200,Aircraft
-73.95504,6.2980313,1,727-200,Aircraft
-75.540634,1.5402921,1,727-200,Aircraft
-75.27172,7.325295,1,727-200,Aircraft
-75.06889,7.4972234,1,727-200,Aircraft
-73.74854,5.370168,1,727-200,Aircraft
-72.484245,4.648663,1,727-200,Aircraft
-72.620995,4.080458,1,727-200,Aircraft
-76.05847,-0.16033165,1,727-200,Aircraft
-71.13952,-0.84965605,2,737-200,Aircraft
-76.67789,6.944945,2,737-200,Aircraft
-74.26233,4.9799004,2,737-200,Aircraft
-74.161255,-1.3078887,2,737-200,Aircraft
-76.65073,6.1687355,2,737-200,Aircraft
-77.33189,4.424489,2,737-200,Aircraft
-76.38042,5.259388,2,737-200,Aircraft
-74.782,5.5192337,2,737-200,Aircraft
-72.39863,-1.4012198,2,737-200,Aircraft
-73.73965,1.9281684,2,737-200,Aircraft
-75.96239,5.8448367,2,737-200,Aircraft
-70.28798,0.14618228,2,737-200,Aircraft
-74.76793,0.4070227,2,737-200,Aircraft
-72.24482,-1.1040676,2,737-200,Aircraft
-73.70388,1.8036573,2,737-200,Aircraft
-74.8101,-1.5461107,2,737-200,Aircraft
-71.89666,5.0249186,2,737-200,Aircraft
-74.83609,-0.6827824,2,737-200,Aircraft
-74.475365,5.1900325,2,737-200,Aircraft
-72.469955,1.3326352,2,737-200,Aircraft
-74.71543,2.4531276,2,737-200,Aircraft
-72.7632,0.05780858,2,737-200,Aircraft
-72.42248,1.9370543,2,737-200,Aircraft
-74.0908,3.4110696,2,737-200,Aircraft
-73.97473,-0.03404059,2,737-200,Aircraft
-74.65927,5.017084,2,737-200,Aircraft
-74.245605,-1.2365713,2,737-200,Aircraft
-72.588066,1.5553356,2,737-200,Aircraft
-75.41761,-1.2528081,2,737-200,Aircraft
-74.88645,-1.1950237,2,737-200,Aircraft
-72.408875,2.0005455,2,737-200,Aircraft
-76.86127,4.3864527,2,737-200,Aircraft
-76.78968,4.7148767,2,737-200,Aircraft
-77.2192,-1.5612978,2,737-200,Aircraft
-76.104324,0.743414,3,737-300,Aircraft
-73.7278,0.4201419,3,737-300,Aircraft
-71.0312,0.1339451,3,737-300,Aircraft
-74.898254,5.0425105,3,737-300,Aircraft
-73.00753,1.8042434,3,737-300,Aircraft
-76.755394,-2.1195045,3,737-300,Aircraft
-78.452736,-1.1590493,3,737-300,Aircraft
-74.19302,1.1638434,3,737-300,Aircraft
-73.16774,-0.6564123,3,737-300,Aircraft
-77.106544,5.054874,3,737-300,Aircraft
-75.09645,3.9015188,3,737-300,Aircraft
-74.79033,-1.7120211,3,737-300,Aircraft
-74.03944,-0.0067358203,3,737-300,Aircraft
-78.890526,-1.1012259,3,737-300,Aircraft
-76.69877,6.8910236,3,737-300,Aircraft
-75.71409,-0.6301248,3,737-300,Aircraft
-77.36384,3.714948,3,737-300,Aircraft
-76.89375,-1.7171738,3,737-300,Aircraft
-77.99984,-2.4753706,3,737-300,Aircraft
-72.30457,-3.1798487,3,737-300,Aircraft
-74.20307,0.90109086,3,737-300,Aircraft
-77.75568,-1.0744349,3,737-300,Aircraft
-78.634445,-0.0684952,3,737-300,Aircraft
-75.84299,5.3305316,3,737-300,Aircraft
-73.46137,-0.27082136,3,737-300,Aircraft
-76.73534,-0.8656537,3,737-300,Aircraft
-75.80323,-1.486134,3,737-300,Aircraft
-72.53431,1.8975927,3,737-300,Aircraft
-78.12618,-1.2867852,3,737-300,Aircraft
-74.31706,-0.59328455,3,737-300,Aircraft
-75.235,-0.41990712,3,737-300,Aircraft
-74.968185,-2.5188155,3,737-300,Aircraft
-72.55899,3.0946677,3,737-300,Aircraft
-73.10055,0.6579088,4,737-400,Aircraft
-77.78364,3.3131893,4,737-400,Aircraft
-79.20666,-2.0211124,4,737-400,Aircraft
-71.869194,0.61669254,4,737-400,Aircraft
-75.568344,5.468401,4,737-400,Aircraft
-77.6437,0.18212828,4,737-400,Aircraft
-74.70254,-1.2473656,4,737-400,Aircraft
-76.072655,-1.3639059,4,737-400,Aircraft
-71.50098,-1.9440919,4,737-400,Aircraft
-76.0861,4.548839,4,737-400,Aircraft
-76.9825,-0.23340988,4,737-400,Aircraft
-75.694046,6.1768227,4,737-400,Aircraft
-73.9671,1.1946203,4,737-400,Aircraft
-77.375755,-3.1328979,4,737-400,Aircraft
-75.08151,3.463248,4,737-400,Aircraft
-76.892784,-0.80521613,4,737-400,Aircraft
-78.12056,-1.362241,4,737-400,Aircraft
-75.40607,5.5642056,4,737-400,Aircraft
-77.06296,-2.7351403,4,737-400,Aircraft
-77.15339,4.8100734,4,737-400,Aircraft
-73.72862,0.102699466,4,737-400,Aircraft
-78.87151,-1.1373651,4,737-400,Aircraft
-76.077255,5.024737,4,737-400,Aircraft
-74.65418,0.62214404,4,737-400,Aircraft
-74.59999,6.9021325,4,737-400,Aircraft
-78.91219,-1.1126152,4,737-400,Aircraft
-74.179596,0.84237206,4,737-400,Aircraft
-78.686646,-0.120366,4,737-400,Aircraft
-75.22633,0.33002612,4,737-400,Aircraft
-73.84878,-2.8543324,4,737-400,Aircraft
-74.31686,-0.047141757,4,737-400,Aircraft
-74.663025,-0.81103253,4,737-400,Aircraft
