x,y,label,classname,dataset
29.162096,-37.289013,0,707-320,Aircraft
30.009455,-35.133835,0,707-320,Aircraft
28.78949,-35.11419,0,707-320,Aircraft
31.321785,-36.48999,0,707-320,Aircraft
30.803644,-35.83635,0,707-320,Aircraft
27.992935,-36.059425,0,707-320,Aircraft
31.037676,-35.785164,0,707-320,Aircraft
30.133179,-36.205578,0,707-320,Aircraft
27.616745,-36.611412,0,707-320,Aircraft
30.950933,-37.691708,0,707-320,Aircraft
28.453178,-35.768913,0,707-320,Aircraft
29.629398,-37.215374,0,707-320,Aircraft
28.132948,-35.86582,0,707-320,Aircraft
30.437246,-34.408863,0,707-320,Aircraft
30.202518,-36.11288,0,707-320,Aircraft
29.479038,-37.23699,0,707-320,Aircraft
29.452513,-36.112095,0,707-320,Aircraft
28.466505,-36.384705,0,707-320,Aircraft
28.070572,-34.875904,0,707-320,Aircraft
31.082088,-36.93203,0,707-320,Aircraft
30.411486,-37.411972,0,707-320,Aircraft
29.296774,-35.25431,0,707-320,Aircraft
31.046822,-36.192696,0,707-320,Aircraft
29.039927,-36.616108,0,707-320,Aircraft
31.014141,-35.695503,0,707-320,Aircraft
29.848522,-36.482662,0,707-320,Aircraft
29.761892,-35.668766,0,707-320,Aircraft
30.711018,-36.311142,0,707-320,Aircraft
31.686764,-36.089916,0,707-320,Aircraft
28.11105,-35.592865,0,707-320,Aircraft
30.3362,-36.6338,0,707-320,Aircraft
28.64773,-34.481373,0,707-320,Aircraft
31.842327,-37.15348,0,707-320,Aircraft
36.061382,0.46122667,1,off-center face,Caltech101
37.483643,-0.58034027,1,off-center face,Caltech101
35.780674,-0.05817812,1,off-center face,Caltech101
34.183952,5.054051,2,centered face,Caltech101
32.36895,4.1674504,1,off-center face,Caltech101
32.462383,4.1497765,1,off-center face,Caltech101
35.950607,4.963868,2,centered face,Caltech101
36.9258,1.3532201,1,off-center face,Caltech101
34.69877,3.4592574,1,off-center face,Caltech101
38.744537,1.5972344,2,centered face,Caltech101
33.385906,2.8832536,1,off-center face,Caltech101
36.02124,4.965576,1,off-center face,Caltech101
35.936893,4.9164767,1,off-center face,Caltech101
37.836906,0.21097326,2,centered face,Caltech101
33.438957,2.915274,2,centered face,Caltech101
35.22184,-0.24370673,1,off-center face,Caltech101
34.541893,-0.23954411,1,off-center face,Caltech101
32.75543,2.4863431,1,off-center face,Caltech101
38.73488,1.5604662,1,off-center face,Caltech101
38.66131,1.5392405,2,centered face,Caltech101
35.914547,1.0440497,1,off-center face,Caltech101
36.020313,1.1958565,1,off-center face,Caltech101
