x,y,label,classname,dataset
-82.77049,48.170998,0,707-320,Aircraft
-82.667656,49.12672,0,707-320,Aircraft
-81.77822,43.61819,0,707-320,Aircraft
-82.56273,49.97854,0,707-320,Aircraft
-82.508644,49.87896,0,707-320,Aircraft
-80.9541,45.074867,0,707-320,Aircraft
-82.43596,49.904133,0,707-320,Aircraft
-82.90086,48.720703,0,707-320,Aircraft
-83.427246,41.60814,0,707-320,Aircraft
-83.32357,49.238068,0,707-320,Aircraft
-81.23855,45.3197,0,707-320,Aircraft
-81.77817,48.861355,0,707-320,Aircraft
-80.79277,44.108543,0,707-320,Aircraft
-83.854,48.658176,0,707-320,Aircraft
-82.66032,49.212734,0,707-320,Aircraft
-81.819466,48.79425,0,707-320,Aircraft
-82.0569,47.896824,0,707-320,Aircraft
-80.111565,46.636406,0,707-320,Aircraft
-81.16377,45.406086,0,707-320,Aircraft
-82.56172,50.01619,0,707-320,Aircraft
-83.34657,49.240585,0,707-320,Aircraft
-81.54288,46.31174,0,707-320,Aircraft
-82.43671,49.85991,0,707-320,Aircraft
-80.607864,48.879494,0,707-320,Aircraft
-82.42279,49.898964,0,707-320,Aircraft
-82.51762,48.926937,0,707-320,Aircraft
-83.18829,48.0925,0,707-320,Aircraft
-82.56219,49.678596,0,707-320,Aircraft
-82.48226,50.065575,0,707-320,Aircraft
-81.452255,44.355316,0,707-320,Aircraft
-82.2354,49.316444,0,707-320,Aircraft
-81.44465,45.949703,0,707-320,Aircraft
-81.87315,50.22216,0,707-320,Aircraft
-82.93671,49.159344,1,727-200,Aircraft
-83.16123,41.942566,1,727-200,Aircraft
-80.05384,46.873985,1,727-200,Aircraft
-79.083244,45.959393,1,727-200,Aircraft
-79.85321,46.954483,1,727-200,Aircraft
-82.86177,48.47957,1,727-200,Aircraft
-79.64949,42.039356,1,727-200,Aircraft
-82.57137,48.465004,1,727-200,Aircraft
-81.72069,47.75453,1,727-200,Aircraft
-82.67952,47.030487,1,727-200,Aircraft
-80.84552,45.33585,1,727-200,Aircraft
-83.52705,48.727024,1,727-200,Aircraft
-81.25953,42.803413,1,727-200,Aircraft
-78.91662,49.150734,1,727-200,Aircraft
-82.45471,49.32649,1,727-200,Aircraft
-82.62874,48.902405,1,727-200,Aircraft
-81.26641,45.117462,1,727-200,Aircraft
-78.93105,46.764374,1,727-200,Aircraft
-81.819405,48.809967,1,727-200,Aircraft
-81.973305,46.604668,1,727-200,Aircraft
-80.775734,47.420258,1,727-200,Aircraft
-83.08625,44.622757,1,727-200,Aircraft
-84.2049,46.735424,1,727-200,Aircraft
-82.44329,49.91951,1,727-200,Aircraft
-82.694405,50.045845,1,727-200,Aircraft
-80.84054,48.97112,1,727-200,Aircraft
-83.02492,43.652332,1,727-200,Aircraft
-82.377075,50.06191,1,727-200,Aircraft
-82.03048,50.25808,1,727-200,Aircraft
-80.60966,47.980755,1,727-200,Aircraft
-79.64211,47.555023,1,727-200,Aircraft
-79.73795,46.919243,1,727-200,Aircraft
-84.57622,41.03845,1,727-200,Aircraft
-78.37667,40.44883,2,737-200,Aircraft
-83.88719,49.42732,2,737-200,Aircraft
-81.54198,47.509895,2,737-200,Aircraft
-82.79041,41.99452,2,737-200,Aircraft
-83.57305,48.68214,2,737-200,Aircraft
-84.76265,46.120953,2,737-200,Aircraft
-83.74362,47.561745,2,737-200,Aircraft
-82.1037,48.294888,2,737-200,Aircraft
-80.53339,39.617855,2,737-200,Aircraft
-81.258514,44.46495,2,737-200,Aircraft
-82.647125,48.45718,2,737-200,Aircraft
-78.50849,42.505703,2,737-200,Aircraft
