x,y,label,classname,dataset
-3.8649344,-48.72881,0,707-320,Aircraft
-5.974213,-48.97551,0,707-320,Aircraft
-5.802286,-47.75678,0,707-320,Aircraft
-5.1681643,-50.676754,0,707-320,Aircraft
-5.58885,-50.062263,0,707-320,Aircraft
-4.865186,-47.14409,0,707-320,Aircraft
-5.7124662,-50.20442,0,707-320,Aircraft
-5.0923796,-49.33127,0,707-320,Aircraft
-4.0340815,-46.985065,0,707-320,Aircraft
-3.9276495,-50.51722,0,707-320,Aircraft
-5.0877395,-47.704678,0,707-320,Aircraft
-3.7526584,-49.18194,0,707-320,Aircraft
-4.875995,-47.39558,0,707-320,Aircraft
-6.9053364,-49.17569,0,707-320,Aircraft
-5.1343865,-49.47811,0,707-320,Aircraft
-3.8348298,-49.05064,0,707-320,Aircraft
-5.0646915,-48.622032,0,707-320,Aircraft
-4.4879346,-47.82985,0,707-320,Aircraft
-5.8728366,-47.041504,0,707-320,Aircraft
-4.700903,-50.595577,0,707-320,Aircraft
-4.066467,-49.953873,0,707-320,Aircraft
-6.0663996,-48.232117,0,707-320,Aircraft
-5.4350257,-50.3134,0,707-320,Aircraft
-4.4000063,-48.418705,0,707-320,Aircraft
-5.843562,-50.120914,0,707-320,Aircraft
-4.7469487,-49.14089,0,707-320,Aircraft
-5.4828033,-48.857662,0,707-320,Aircraft
-5.200273,-49.99579,0,707-320,Aircraft
-5.7810783,-50.952408,0,707-320,Aircraft
-5.126998,-47.367283,0,707-320,Aircraft
-4.708416,-49.707584,0,707-320,Aircraft
-6.5149593,-47.526176,0,707-320,Aircraft
-4.729655,-51.309303,0,707-320,Aircraft
29.640606,-2.055332,1,off-center face,Caltech101
31.375002,-2.4402316,1,off-center face,Caltech101
29.292707,-1.5931876,1,off-center face,Caltech101
28.325686,2.9257348,2,centered face,Caltech101
26.339853,2.0934978,1,off-center face,Caltech101
26.480715,2.0427148,1,off-center face,Caltech101
30.1683,2.518762,2,centered face,Caltech101
29.8919,-3.4913886,1,off-center face,Caltech101
28.741259,1.1875404,1,off-center face,Caltech101
31.65249,-0.35467365,2,centered face,Caltech101
27.38953,0.754666,1,off-center face,Caltech101
30.253529,2.5301437,1,off-center face,Caltech101
30.179386,2.501406,1,off-center face,Caltech101
30.765436,-1.5672383,2,centered face,Caltech101
27.452188,0.78920776,2,centered face,Caltech101
28.708046,-1.434281,1,off-center face,Caltech101
28.20906,-1.2981092,1,off-center face,Caltech101
26.830248,0.3264962,1,off-center face,Caltech101
31.612036,-0.39667588,1,off-center face,Caltech101
31.597483,-0.4355028,2,centered face,Caltech101
29.133371,-2.6315248,1,off-center face,Caltech101
29.15681,-2.7504277,1,off-center face,Caltech101
31.191725,-0.8089553,1,off-center face,Caltech101
30.336586,2.6252465,2,centered face,Caltech101
29.113672,-3.5058227,1,off-center face,Caltech101
30.554962,-3.220186,2,centered face,Caltech101
27.898188,-2.1901934,2,centered face,Caltech101
31.3577,-0.46783942,1,off-center face,Caltech101
29.034996,-3.5546606,2,centered face,Caltech101
29.150074,-3.7482872,2,centered face,Caltech101
29.250317,-3.702437,2,centered face,Caltech101
31.041422,-2.1132207,2,centered face,Caltech101
29.390276,-0.83001024,1,off-center face,Caltech101
27.468157,0.79830474,2,centered face,Caltech101
26.092707,2.1937368,1,off-center face,Caltech101
28.313452,2.9702256,1,off-center face,Caltech101
29.506742,-1.502902,1,off-center face,Caltech101
27.901411,-2.1931474,2,centered face,Caltech101
27.29779,2.1057491,2,centered face,Caltech101
28.408506,0.86818117,1,off-center face,Caltech101
28.40526,2.9318957,2,centered face,Caltech101
28.289707,1.0191749,2,centered face,Caltech101
28.753298,1.2707429,1,off-center face,Caltech101
28.48498,1.319058,2,centered face,Caltech101
29.39791,-2.4215968,1,off-center face,Caltech101
27.216524,2.1135728,1,off-center face,Caltech101
27.691357,0.39037588,1,off-center face,Caltech101
31.295029,-2.231631,1,off-center face,Caltech101
31.164011,-2.1806433,2,centered face,Caltech101
6.6907973,-37.440792,3,airplane,CIFAR10
4.85893,-31.861126,3,airplane,CIFAR10
2.7300336,-33.396114,3,airplane,CIFAR10
6.4082446,-33.541912,3,airplane,CIFAR10
5.0919037,-35.6829,3,airplane,CIFAR10
3.0438519,-33.212505,3,airplane,CIFAR10
7.1684685,-35.120125,3,airplane,CIFAR10
3.6966085,-36.822502,3,airplane,CIFAR10
0.9813972,-32.98614,3,airplane,CIFAR10
2.412247,-32.341984,3,airplane,CIFAR10
2.9343593,-35.052452,3,airplane,CIFAR10
4.1210294,-32.82984,3,airplane,CIFAR10
5.603141,-33.4624,3,airplane,CIFAR10
1.5133458,-36.860497,3,airplane,CIFAR10
3.430355,-34.388515,3,airplane,CIFAR10
7.7913313,-35.453342,3,airplane,CIFAR10
7.7638884,-35.250412,3,airplane,CIFAR10
5.736101,-30.475597,3,airplane,CIFAR10
6.5044866,-37.22528,3,airplane,CIFAR10
6.106439,-35.445827,3,airplane,CIFAR10
3.2002678,-31.76859,3,airplane,CIFAR10
5.650853,-30.778183,3,airplane,CIFAR10
3.6427386,-36.199554,3,airplane,CIFAR10
6.753516,-35.31442,3,airplane,CIFAR10
4.1823244,-34.453342,3,airplane,CIFAR10
5.430122,-32.356018,3,airplane,CIFAR10
2.2496967,-34.836853,3,airplane,CIFAR10
2.5352626,-36.92371,3,airplane,CIFAR10
4.7416368,-34.28474,3,airplane,CIFAR10
5.8472943,-31.126654,3,airplane,CIFAR10
2.532783,-35.275604,3,airplane,CIFAR10
6.585982,-33.447758,3,airplane,CIFAR10
4.5192823,-36.451588,3,airplane,CIFAR10
4.0236588,-38.165825,3,airplane,CIFAR10
3.5903869,-33.022446,3,airplane,CIFAR10
5.846528,-36.60849,3,airplane,CIFAR10
7.063446,-31.434603,3,airplane,CIFAR10
3.0689044,-30.669874,3,airplane,CIFAR10
4.3677197,-31.74627,3,airplane,CIFAR10
5.0828714,-35.13432,3,airplane,CIFAR10
3.7077584,-37.17334,3,airplane,CIFAR10
3.6934586,-36.155758,3,airplane,CIFAR10
3.7939625,-31.60296,3,airplane,CIFAR10
3.6054108,-32.597527,3,airplane,CIFAR10
3.6204824,-37.469864,3,airplane,CIFAR10
3.96113,-35.499638,3,airplane,CIFAR10
5.24425,-30.878164,3,airplane,CIFAR10
1.4441634,-36.835945,3,airplane,CIFAR10
4.327897,-33.696194,3,airplane,CIFAR10
5.8305135,-35.65933,3,airplane,CIFAR10
1.3728538,-33.051785,3,airplane,CIFAR10
3.0991125,-34.287598,3,airplane,CIFAR10
6.056931,-34.1291,3,airplane,CIFAR10
3.7880428,-31.708958,3,airplane,CIFAR10
7.652041,-34.25342,3,airplane,CIFAR10
4.8210425,-34.131027,3,airplane,CIFAR10
3.119353,-33.423557,3,airplane,CIFAR10
11.753211,-31.70145,4,apple,CIFAR100
11.498856,-31.347794,4,apple,CIFAR100
11.627692,-31.346575,4,apple,CIFAR100
12.144204,-30.934816,4,apple,CIFAR100
11.560319,-31.456848,4,apple,CIFAR100
11.568177,-31.41498,4,apple,CIFAR100
11.504609,-31.389482,4,apple,CIFAR100
22.398092,-21.9462,5,banded,DTD
21.639914,-22.521511,5,banded,DTD
22.87897,-21.659613,5,banded,DTD
19.239449,-22.261261,5,banded,DTD
21.31159,-24.689995,5,banded,DTD
21.305578,-21.657478,5,banded,DTD
22.065714,-23.73596,5,banded,DTD
22.219542,-22.510752,5,banded,DTD
23.321209,-21.204023,5,banded,DTD
19.838175,-21.642694,5,banded,DTD
21.601772,-21.354578,5,banded,DTD
22.664291,-23.520979,5,banded,DTD
21.578691,-24.160707,5,banded,DTD
22.43027,-22.239218,5,banded,DTD
22.8031,-21.373524,5,banded,DTD
22.68668,-23.389341,5,banded,DTD
21.651457,-23.948988,5,banded,DTD
23.383633,-22.309711,5,banded,DTD
22.19781,-21.092062,5,banded,DTD
22.376677,-22.634218,5,banded,DTD
18.80021,-19.444881,5,banded,DTD
20.079214,-19.158405,5,banded,DTD
20.092606,-18.685371,5,banded,DTD
21.122202,-20.15703,5,banded,DTD
19.681185,-19.061628,5,banded,DTD
19.726301,-19.455177,5,banded,DTD
19.057281,-19.667707,5,banded,DTD
20.674917,-19.415398,5,banded,DTD
19.396832,-18.369654,5,banded,DTD
18.8301,-22.06596,5,banded,DTD
20.67269,-20.662682,5,banded,DTD
19.077604,-20.55336,5,banded,DTD
19.04084,-18.616657,5,banded,DTD
18.339571,-21.095968,5,banded,DTD
19.680737,-19.24863,5,banded,DTD
21.030798,-18.79517,5,banded,DTD
19.835072,-19.115751,5,banded,DTD
21.2962,-22.450521,5,banded,DTD
20.455555,-21.590708,5,banded,DTD
20.81788,-21.48291,5,banded,DTD
7.6294785,-21.266073,6,annual crop land,EuroSAT
6.4068556,-20.530315,6,annual crop land,EuroSAT
7.4275584,-22.12272,6,annual crop land,EuroSAT
8.737637,-25.07906,6,annual crop land,EuroSAT
7.7160716,-25.615562,6,annual crop land,EuroSAT
10.185662,-26.528364,6,annual crop land,EuroSAT
8.433628,-21.731773,6,annual crop land,EuroSAT
8.174693,-26.392443,6,annual crop land,EuroSAT
