x,y,label,classname,dataset
-89.2583,-3.8711834,0,707-320,Aircraft
-90.1937,-2.8896413,0,707-320,Aircraft
-91.31768,-8.021877,0,707-320,Aircraft
-89.59321,-2.2091787,0,707-320,Aircraft
-89.579025,-2.2789738,0,707-320,Aircraft
-90.05578,-7.0386176,0,707-320,Aircraft
-89.54594,-2.2667518,0,707-320,Aircraft
-90.33711,-3.32307,0,707-320,Aircraft
-93.64503,-9.75336,0,707-320,Aircraft
-90.760994,-2.8247483,0,707-320,Aircraft
-90.2643,-6.801269,0,707-320,Aircraft
-89.03262,-3.615927,0,707-320,Aircraft
-90.14854,-8.118722,0,707-320,Aircraft
-91.14785,-3.1123452,0,707-320,Aircraft
-89.91505,-2.9117386,0,707-320,Aircraft
-89.04618,-3.6922748,0,707-320,Aircraft
-90.17117,-4.4974933,0,707-320,Aircraft
-88.80536,-6.108812,0,707-320,Aircraft
-90.22642,-6.7098885,0,707-320,Aircraft
-89.590546,-2.1860998,0,707-320,Aircraft
-90.61994,-2.678578,0,707-320,Aircraft
-90.436,-5.922654,0,707-320,Aircraft
-89.52797,-2.335738,0,707-320,Aircraft
-87.67018,-3.5354445,0,707-320,Aircraft
-89.53255,-2.2877407,0,707-320,Aircraft
-89.90486,-3.1828632,0,707-320,Aircraft
-90.77803,-3.7684245,0,707-320,Aircraft
-89.68429,-2.451559,0,707-320,Aircraft
-89.48628,-2.1481528,0,707-320,Aircraft
-90.835106,-7.5664845,0,707-320,Aircraft
-89.56415,-3.1150267,0,707-320,Aircraft
-90.42913,-6.135408,0,707-320,Aircraft
-89.0246,-2.6288924,0,707-320,Aircraft
-90.099236,-2.9699264,1,727-200,Aircraft
-93.094284,-9.186057,1,727-200,Aircraft
-88.91119,-5.6107035,1,727-200,Aircraft
-88.02253,-6.745368,1,727-200,Aircraft
-88.61525,-5.909791,1,727-200,Aircraft
-90.14297,-3.6136644,1,727-200,Aircraft
-89.88826,-10.008757,1,727-200,Aircraft
-90.02963,-3.6738331,1,727-200,Aircraft
-89.742516,-4.6184125,1,727-200,Aircraft
-90.53269,-4.862642,1,727-200,Aircraft
-89.95078,-7.0042396,1,727-200,Aircraft
-90.387146,-3.4103749,1,727-200,Aircraft
-90.14913,-7.9239893,1,727-200,Aircraft
-86.55918,-4.280847,1,727-200,Aircraft
-89.78358,-3.0595016,1,727-200,Aircraft
-89.9751,-3.3271587,1,727-200,Aircraft
-90.355484,-7.070622,1,727-200,Aircraft
-87.58269,-5.226233,1,727-200,Aircraft
-89.30016,-3.625477,1,727-200,Aircraft
-90.155716,-5.3747053,1,727-200,Aircraft
-88.685814,-7.6016736,1,727-200,Aircraft
-92.075165,-6.733222,1,727-200,Aircraft
-92.509705,-4.5855727,1,727-200,Aircraft
-89.50304,-2.3039186,1,727-200,Aircraft
-89.661514,-2.1161838,1,727-200,Aircraft
-88.23513,-3.3043017,1,727-200,Aircraft
-93.01879,-6.0363183,1,727-200,Aircraft
-89.409645,-2.4659426,1,727-200,Aircraft
-89.09675,-2.547686,1,727-200,Aircraft
-88.832855,-4.908239,1,727-200,Aircraft
-88.30699,-5.758018,1,727-200,Aircraft
-88.38134,-6.0047636,1,727-200,Aircraft
-93.190544,-8.287124,1,727-200,Aircraft
-89.29373,-11.651066,2,737-200,Aircraft
-90.96483,-2.3912401,2,737-200,Aircraft
-89.45508,-5.031051,2,737-200,Aircraft
-92.90446,-9.341651,2,737-200,Aircraft
-90.91545,-3.2039993,2,737-200,Aircraft
-92.95096,-4.879249,2,737-200,Aircraft
-91.33751,-3.7602932,2,737-200,Aircraft
-89.739006,-3.9835236,2,737-200,Aircraft
-91.08798,-11.814486,2,737-200,Aircraft
-90.616196,-7.474349,2,737-200,Aircraft
-90.34741,-3.5154276,2,737-200,Aircraft
-88.856834,-9.790824,2,737-200,Aircraft
-92.95073,-8.237007,2,737-200,Aircraft
-91.01946,-11.129728,2,737-200,Aircraft
-90.47509,-7.7789083,2,737-200,Aircraft
-92.862114,-10.182666,2,737-200,Aircraft
-85.806366,-5.8976192,2,737-200,Aircraft
-92.457664,-9.5993,2,737-200,Aircraft
-89.477715,-4.7898974,2,737-200,Aircraft
-89.11761,-9.043492,2,737-200,Aircraft
-91.48327,-6.8675365,2,737-200,Aircraft
-90.98844,-10.203653,2,737-200,Aircraft
-89.50026,-8.083519,2,737-200,Aircraft
-90.47237,-6.102223,2,737-200,Aircraft
-91.23169,-9.120568,2,737-200,Aircraft
-89.62437,-4.9085784,2,737-200,Aircraft
-92.87273,-9.259652,2,737-200,Aircraft
-91.22647,-6.353195,2,737-200,Aircraft
-93.57561,-9.912761,2,737-200,Aircraft
-92.841515,-9.956142,2,737-200,Aircraft
-91.7638,-5.7244596,2,737-200,Aircraft
-92.48667,-4.4326005,2,737-200,Aircraft
-92.30913,-4.2922497,2,737-200,Aircraft
-95.45501,-9.960027,2,737-200,Aircraft
-94.06137,-6.2761297,3,737-300,Aircraft
-90.632324,-8.8307,3,737-300,Aircraft
-88.627426,-11.289661,3,737-300,Aircraft
-89.786446,-4.824495,3,737-300,Aircraft
-89.821075,-7.9234166,3,737-300,Aircraft
-94.610245,-10.756168,3,737-300,Aircraft
-95.93475,-9.390954,3,737-300,Aircraft
-91.4208,-8.157633,3,737-300,Aircraft
-91.32558,-9.966157,3,737-300,Aircraft
-92.012726,-3.620877,3,737-300,Aircraft
-90.22189,-8.856517,3,737-300,Aircraft
-92.95081,-10.240202,3,737-300,Aircraft
-91.302666,-9.179086,3,737-300,Aircraft
-96.697655,-9.079268,3,737-300,Aircraft
-91.018906,-2.4650135,3,737-300,Aircraft
-93.28645,-9.307559,3,737-300,Aircraft
-93.4041,-4.7125015,3,737-300,Aircraft
-95.18817,-10.234544,3,737-300,Aircraft
-96.24744,-10.668853,3,737-300,Aircraft
-94.827515,-5.577911,3,737-300,Aircraft
-91.57224,-8.368149,3,737-300,Aircraft
-95.11992,-8.951121,3,737-300,Aircraft
-95.9039,-8.172484,3,737-300,Aircraft
-90.74526,-3.7910042,3,737-300,Aircraft
-91.79569,-9.217492,3,737-300,Aircraft
-94.031235,-8.697325,3,737-300,Aircraft
-93.826904,-10.328927,3,737-300,Aircraft
-91.502426,-5.8864336,3,737-300,Aircraft
-95.45299,-9.156632,3,737-300,Aircraft
-92.102844,-9.881301,3,737-300,Aircraft
-92.84338,-9.441725,3,737-300,Aircraft
-93.014015,-10.978823,3,737-300,Aircraft
-89.16337,-6.746142,3,737-300,Aircraft
-91.08523,-9.397728,4,737-400,Aircraft
-96.02555,-12.058622,4,737-400,Aircraft
-97.358406,-9.965441,4,737-400,Aircraft
-96.11043,-7.299735,4,737-400,Aircraft
-90.71468,-4.054696,4,737-400,Aircraft
-95.21841,-7.603818,4,737-400,Aircraft
-92.39686,-9.9622555,4,737-400,Aircraft
-94.457664,-9.739277,4,737-400,Aircraft
-90.9305,-13.055755,4,737-400,Aircraft
-91.41913,-4.7169075,4,737-400,Aircraft
-94.22269,-8.523887,4,737-400,Aircraft
-90.15729,-3.4231954,4,737-400,Aircraft
-91.176285,-8.182787,4,737-400,Aircraft
-95.71842,-11.70968,4,737-400,Aircraft
-90.1443,-9.07989,4,737-400,Aircraft
-94.61359,-8.871094,4,737-400,Aircraft
-95.88161,-9.555642,4,737-400,Aircraft
-90.018745,-3.8854048,4,737-400,Aircraft
-95.010605,-11.2375345,4,737-400,Aircraft
-92.581055,-4.2387004,4,737-400,Aircraft
-90.95548,-9.20687,4,737-400,Aircraft
-96.676384,-9.131483,4,737-400,Aircraft
-91.166595,-4.2622924,4,737-400,Aircraft
-91.816696,-8.438167,4,737-400,Aircraft
-87.95976,-4.636071,4,737-400,Aircraft
-96.718864,-9.068876,4,737-400,Aircraft
-91.39246,-8.285821,4,737-400,Aircraft
-95.99769,-8.222124,4,737-400,Aircraft
-92.32711,-8.639336,4,737-400,Aircraft
-92.54229,-12.050283,4,737-400,Aircraft
-93.50753,-8.418922,4,737-400,Aircraft
-92.53806,-9.948105,4,737-400,Aircraft
-90.163345,-3.9401248,4,737-400,Aircraft
-89.889,-4.8929877,5,737-500,Aircraft
-93.6237,-10.017573,5,737-500,Aircraft
-94.44938,-11.644599,5,737-500,Aircraft
-91.93398,-9.95647,5,737-500,Aircraft
-92.122955,-10.375259,5,737-500,Aircraft
-94.626305,-10.134969,5,737-500,Aircraft
-94.30333,-7.9954414,5,737-500,Aircraft
-92.28531,-7.1570725,5,737-500,Aircraft
-94.46566,-8.683781,5,737-500,Aircraft
-91.46384,-8.4021015,5,737-500,Aircraft
-93.60748,-7.299642,5,737-500,Aircraft
-91.62161,-12.644301,5,737-500,Aircraft
-88.432816,-9.905433,5,737-500,Aircraft
-90.77725,-4.958861,5,737-500,Aircraft
-89.956314,-8.78448,5,737-500,Aircraft
-91.78634,-3.221853,5,737-500,Aircraft
-93.99329,-11.421943,5,737-500,Aircraft
-93.56724,-10.208345,5,737-500,Aircraft
-94.70383,-11.668635,5,737-500,Aircraft
-95.0141,-7.065043,5,737-500,Aircraft
-92.39086,-4.32101,5,737-500,Aircraft
-92.876335,-10.404756,5,737-500,Aircraft
-94.72638,-8.845462,5,737-500,Aircraft
-93.86696,-6.4767237,5,737-500,Aircraft
-93.60357,-10.039791,5,737-500,Aircraft
-88.05107,-10.000719,5,737-500,Aircraft
-93.57963,-10.460541,5,737-500,Aircraft
-92.78275,-9.443017,5,737-500,Aircraft
-96.12812,-10.69995,5,737-500,Aircraft
-93.92264,-6.4127736,5,737-500,Aircraft
-93.1513,-7.010234,5,737-500,Aircraft
-93.85451,-6.2220726,5,737-500,Aircraft
-95.52757,-9.564799,5,737-500,Aircraft
-91.02515,-9.926923,5,737-500,Aircraft
-93.42287,-11.4953785,6,737-600,Aircraft
-90.05563,-8.893562,6,737-600,Aircraft
-93.46188,-13.289665,6,737-600,Aircraft
-93.24002,-11.8668785,6,737-600,Aircraft
-93.15832,-11.631188,6,737-600,Aircraft
-93.32641,-11.5897875,6,737-600,Aircraft
-93.45132,-13.416745,6,737-600,Aircraft
-93.45537,-13.364214,6,737-600,Aircraft
-93.37949,-11.785964,6,737-600,Aircraft
-94.90736,-6.7022524,6,737-600,Aircraft
-94.99644,-7.025201,6,737-600,Aircraft
-94.422554,-7.4484353,6,737-600,Aircraft
-92.96544,-7.081277,6,737-600,Aircraft
-93.27511,-11.751613,6,737-600,Aircraft
-93.4758,-11.572591,6,737-600,Aircraft
