x,y,label,classname,dataset
-58.269306,34.945263,0,707-320,Aircraft
-58.426704,33.648888,0,707-320,Aircraft
-61.64758,37.87296,0,707-320,Aircraft
-57.557457,33.433655,0,707-320,Aircraft
-57.62176,33.494034,0,707-320,Aircraft
-60.21328,37.61982,0,707-320,Aircraft
-57.58153,33.473866,0,707-320,Aircraft
-58.78754,34.034794,0,707-320,Aircraft
-64.11035,39.016983,0,707-320,Aircraft
-59.162624,33.39236,0,707-320,Aircraft
-60.184566,37.243076,0,707-320,Aircraft
-57.891766,34.78282,0,707-320,Aircraft
-60.664406,38.46287,0,707-320,Aircraft
-59.38134,33.459972,0,707-320,Aircraft
-58.221535,33.885757,0,707-320,Aircraft
-57.963444,34.845047,0,707-320,Aircraft
-59.012775,35.399284,0,707-320,Aircraft
-58.29646,37.144444,0,707-320,Aircraft
-59.99481,37.159893,0,707-320,Aircraft
-57.558605,33.424404,0,707-320,Aircraft
-58.80656,33.257484,0,707-320,Aircraft
-59.72366,36.392365,0,707-320,Aircraft
-57.59128,33.57669,0,707-320,Aircraft
-57.268272,35.76339,0,707-320,Aircraft
-57.5908,33.503178,0,707-320,Aircraft
-58.325302,34.096382,0,707-320,Aircraft
-59.322666,34.21569,0,707-320,Aircraft
-57.76295,33.605988,0,707-320,Aircraft
-57.476738,33.440514,0,707-320,Aircraft
-60.997486,37.6794,0,707-320,Aircraft
-57.96964,34.20743,0,707-320,Aircraft
-59.84528,36.67395,0,707-320,Aircraft
-57.2658,34.07248,0,707-320,Aircraft
-58.46669,33.846527,1,727-200,Aircraft
-63.75409,38.011818,1,727-200,Aircraft
-58.436886,36.722023,1,727-200,Aircraft
-58.62443,39.295864,1,727-200,Aircraft
-58.19,36.980976,1,727-200,Aircraft
-58.729202,34.33641,1,727-200,Aircraft
-61.034344,40.299057,1,727-200,Aircraft
-58.655514,34.467144,1,727-200,Aircraft
-58.807426,35.343025,1,727-200,Aircraft
-59.66773,35.29314,1,727-200,Aircraft
-59.984886,37.604057,1,727-200,Aircraft
-58.91854,34.013577,1,727-200,Aircraft
-60.684727,38.35007,1,727-200,Aircraft
-55.93976,36.555737,1,727-200,Aircraft
-58.188152,34.03237,1,727-200,Aircraft
-58.430077,34.15247,1,727-200,Aircraft
-60.381,37.393074,1,727-200,Aircraft
-57.740597,38.463364,1,727-200,Aircraft
-57.972305,34.703274,1,727-200,Aircraft
-59.43298,35.9962,1,727-200,Aircraft
-59.34889,38.80022,1,727-200,Aircraft
-61.71351,36.41897,1,727-200,Aircraft
-61.14882,34.169147,1,727-200,Aircraft
-57.53828,33.561302,1,727-200,Aircraft
-57.585587,33.3273,1,727-200,Aircraft
-57.2836,35.160233,1,727-200,Aircraft
-62.354527,35.200474,1,727-200,Aircraft
-57.55193,33.7148,1,727-200,Aircraft
-57.20504,33.92182,1,727-200,Aircraft
-57.84346,35.913387,1,727-200,Aircraft
-57.608227,36.78841,1,727-200,Aircraft
-58.04154,37.067238,1,727-200,Aircraft
-63.489708,37.02526,1,727-200,Aircraft
-61.468136,42.460735,2,737-200,Aircraft
-58.849583,32.95706,2,737-200,Aircraft
-58.681793,35.867107,2,737-200,Aircraft
-63.59093,38.390877,2,737-200,Aircraft
-59.270313,33.630917,2,737-200,Aircraft
-61.689297,34.29808,2,737-200,Aircraft
-60.056576,33.959106,2,737-200,Aircraft
-58.517395,34.8018,2,737-200,Aircraft
-63.467712,41.41167,2,737-200,Aircraft
-60.750816,37.665928,2,737-200,Aircraft
-58.869514,34.165405,2,737-200,Aircraft
-60.181206,40.565052,2,737-200,Aircraft
-63.052742,37.121872,2,737-200,Aircraft
-62.801167,40.683407,2,737-200,Aircraft
-60.67208,37.91749,2,737-200,Aircraft
-64.10818,38.723995,2,737-200,Aircraft
-56.613186,37.28765,2,737-200,Aircraft
-63.01149,39.080482,2,737-200,Aircraft
-58.548508,35.578003,2,737-200,Aircraft
-60.092052,39.60984,2,737-200,Aircraft
-61.190315,36.802166,2,737-200,Aircraft
-62.248684,39.62676,2,737-200,Aircraft
-60.07321,38.682667,2,737-200,Aircraft
-59.872494,36.614746,2,737-200,Aircraft
-61.852455,38.88145,2,737-200,Aircraft
-58.785927,35.61773,2,737-200,Aircraft
-63.610664,38.316643,2,737-200,Aircraft
-60.77251,36.547115,2,737-200,Aircraft
-64.34992,39.09559,2,737-200,Aircraft
-64.04398,38.538685,2,737-200,Aircraft
-61.01872,35.890537,2,737-200,Aircraft
-61.136192,34.15912,2,737-200,Aircraft
-60.94739,34.112354,2,737-200,Aircraft
-66.11646,37.509026,2,737-200,Aircraft
-63.282536,35.048912,3,737-300,Aircraft
-61.275143,38.873306,3,737-300,Aircraft
-60.67038,42.22432,3,737-300,Aircraft
-58.877155,35.496185,3,737-300,Aircraft
-60.259068,38.39587,3,737-300,Aircraft
-65.91591,38.694542,3,737-300,Aircraft
-66.20178,36.49555,3,737-300,Aircraft
-61.689617,37.93274,3,737-300,Aircraft
-62.70922,39.977028,3,737-300,Aircraft
-60.40887,33.586475,3,737-300,Aircraft
-61.01066,39.13621,3,737-300,Aircraft
-64.20174,38.607964,3,737-300,Aircraft
-61.95216,38.897106,3,737-300,Aircraft
-66.75895,36.181644,3,737-300,Aircraft
-58.92324,32.985363,3,737-300,Aircraft
-63.898808,38.127865,3,737-300,Aircraft
-62.07969,34.03187,3,737-300,Aircraft
-65.97838,37.953213,3,737-300,Aircraft
-66.92252,37.594837,3,737-300,Aircraft
-63.66697,34.09182,3,737-300,Aircraft
-61.96763,38.04792,3,737-300,Aircraft
-65.225555,36.997864,3,737-300,Aircraft
-65.545616,36.07657,3,737-300,Aircraft
-59.341526,34.208023,3,737-300,Aircraft
-62.562794,38.699802,3,737-300,Aircraft
-65.333176,38.05785,3,737-300,Aircraft
-64.834114,38.654266,3,737-300,Aircraft
-60.849365,36.197113,3,737-300,Aircraft
-65.67596,36.94126,3,737-300,Aircraft
-63.086567,39.05448,3,737-300,Aircraft
-63.375904,38.4696,3,737-300,Aircraft
-64.78421,38.94043,3,737-300,Aircraft
-58.991993,37.84262,3,737-300,Aircraft
-61.990524,38.986725,4,737-400,Aircraft
-65.42302,41.70451,4,737-400,Aircraft
-67.71131,36.933643,4,737-400,Aircraft
-65.54875,35.066967,4,737-400,Aircraft
-59.451046,34.476505,4,737-400,Aircraft
-64.893776,35.608112,4,737-400,Aircraft
-63.42046,39.08525,4,737-400,Aircraft
-65.0674,38.03423,4,737-400,Aircraft
-63.4738,42.669388,4,737-400,Aircraft
-60.36522,34.91164,4,737-400,Aircraft
-64.1791,37.026775,4,737-400,Aircraft
-58.596428,34.18888,4,737-400,Aircraft
-61.445755,38.26898,4,737-400,Aircraft
-65.36568,41.298645,4,737-400,Aircraft
-61.076283,39.350338,4,737-400,Aircraft
-64.736,36.95268,4,737-400,Aircraft
-66.196365,37.06117,4,737-400,Aircraft
-58.731735,34.65578,4,737-400,Aircraft
-64.17845,41.106094,4,737-400,Aircraft
-61.07545,33.94431,4,737-400,Aircraft
-61.697823,39.031536,4,737-400,Aircraft
-66.75382,36.231335,4,737-400,Aircraft
-59.875454,34.51502,4,737-400,Aircraft
-62.20608,37.99254,4,737-400,Aircraft
-57.814445,38.285015,4,737-400,Aircraft
-66.77651,36.15385,4,737-400,Aircraft
-61.770596,38.065456,4,737-400,Aircraft
-65.73419,36.08032,4,737-400,Aircraft
-62.773033,37.841972,4,737-400,Aircraft
-66.24536,40.028835,4,737-400,Aircraft
-63.9481,37.271614,4,737-400,Aircraft
-63.538067,39.028603,4,737-400,Aircraft
-58.87219,34.635536,4,737-400,Aircraft
-58.969883,35.644844,5,737-500,Aircraft
-64.36573,39.002632,5,737-500,Aircraft
-64.47379,40.577652,5,737-500,Aircraft
-62.910645,39.138844,5,737-500,Aircraft
-63.323116,39.587513,5,737-500,Aircraft
-65.3817,38.201065,5,737-500,Aircraft
-64.17763,36.4605,5,737-500,Aircraft
-62.078396,36.819065,5,737-500,Aircraft
-64.45581,37.087307,5,737-500,Aircraft
-61.84336,38.08242,5,737-500,Aircraft
-63.215187,36.14039,5,737-500,Aircraft
-63.924595,41.087177,5,737-500,Aircraft
-59.868916,40.928043,5,737-500,Aircraft
-60.12139,35.186337,5,737-500,Aircraft
-60.528667,39.228565,5,737-500,Aircraft
-60.08726,33.264267,5,737-500,Aircraft
-64.9512,39.71193,5,737-500,Aircraft
-64.44563,39.077038,5,737-500,Aircraft
-64.59006,40.79393,5,737-500,Aircraft
-64.45466,35.31819,5,737-500,Aircraft
-61.03122,34.13557,5,737-500,Aircraft
-64.057175,39.396133,5,737-500,Aircraft
-64.78695,36.84906,5,737-500,Aircraft
-63.187702,35.295284,5,737-500,Aircraft
-64.41371,39.153145,5,737-500,Aircraft
-59.714172,41.167877,5,737-500,Aircraft
-64.546936,39.18206,5,737-500,Aircraft
-63.53441,38.341507,5,737-500,Aircraft
-66.80598,37.648712,5,737-500,Aircraft
-63.209145,35.232414,5,737-500,Aircraft
-62.747547,36.15089,5,737-500,Aircraft
-63.050285,35.108177,5,737-500,Aircraft
-65.84294,37.278904,5,737-500,Aircraft
-62.058346,39.462563,5,737-500,Aircraft
