x,y,label,classname,dataset
14.888178,-23.1603,0,707-320,Aircraft
14.279748,-22.551466,0,707-320,Aircraft
19.873625,-24.288252,0,707-320,Aircraft
13.264356,-22.459145,0,707-320,Aircraft
13.399704,-22.475122,0,707-320,Aircraft
18.64971,-22.769005,0,707-320,Aircraft
13.439094,-22.553482,0,707-320,Aircraft
14.451534,-23.505573,0,707-320,Aircraft
21.999405,-25.775763,0,707-320,Aircraft
13.904761,-23.976748,0,707-320,Aircraft
18.378525,-23.519224,0,707-320,Aircraft
14.7810755,-22.46396,0,707-320,Aircraft
19.538235,-22.942696,0,707-320,Aircraft
14.908991,-24.05488,0,707-320,Aircraft
14.118261,-22.941006,0,707-320,Aircraft
14.81278,-22.610838,0,707-320,Aircraft
15.92014,-23.07703,0,707-320,Aircraft
17.741632,-21.851662,0,707-320,Aircraft
18.085226,-23.336025,0,707-320,Aircraft
13.226586,-22.355097,0,707-320,Aircraft
13.899044,-23.79794,0,707-320,Aircraft
17.173456,-23.352861,0,707-320,Aircraft
13.435789,-22.484568,0,707-320,Aircraft
15.429444,-21.98197,0,707-320,Aircraft
13.447414,-22.470541,0,707-320,Aircraft
14.471588,-22.9294,0,707-320,Aircraft
14.7888975,-23.66069,0,707-320,Aircraft
13.48474,-22.538769,0,707-320,Aircraft
13.294153,-22.392115,0,707-320,Aircraft
18.872517,-23.7737,0,707-320,Aircraft
14.370111,-22.884834,0,707-320,Aircraft
17.577612,-23.317522,0,707-320,Aircraft
13.670497,-22.771532,0,707-320,Aircraft
14.007494,-23.289516,1,727-200,Aircraft
20.949402,-25.469633,1,727-200,Aircraft
17.017977,-21.993956,1,727-200,Aircraft
19.659948,-21.10087,1,727-200,Aircraft
17.636646,-21.688013,1,727-200,Aircraft
14.386824,-23.401188,1,727-200,Aircraft
23.917501,-23.69096,1,727-200,Aircraft
14.5961075,-23.346008,1,727-200,Aircraft
15.880336,-22.777279,1,727-200,Aircraft
17.157095,-24.328875,1,727-200,Aircraft
18.376373,-23.349482,1,727-200,Aircraft
14.370043,-23.670523,1,727-200,Aircraft
19.36923,-24.142887,1,727-200,Aircraft
15.592931,-18.392534,1,727-200,Aircraft
14.102019,-23.267126,1,727-200,Aircraft
14.347936,-23.170372,1,727-200,Aircraft
18.465607,-23.600029,1,727-200,Aircraft
18.122673,-21.207857,1,727-200,Aircraft
14.701572,-22.744925,1,727-200,Aircraft
17.029078,-24.035072,1,727-200,Aircraft
19.631002,-21.845524,1,727-200,Aircraft
17.798498,-25.24692,1,727-200,Aircraft
22.947172,-26.277279,1,727-200,Aircraft
13.395536,-22.472343,1,727-200,Aircraft
13.188962,-22.367077,1,727-200,Aircraft
13.9231615,-22.00921,1,727-200,Aircraft
18.559122,-24.866781,1,727-200,Aircraft
13.565184,-22.98274,1,727-200,Aircraft
13.444596,-23.107738,1,727-200,Aircraft
15.928661,-21.949892,1,727-200,Aircraft
16.446976,-21.123411,1,727-200,Aircraft
17.594114,-21.463411,1,727-200,Aircraft
17.901045,-27.727104,1,727-200,Aircraft
21.552084,-21.24258,2,737-200,Aircraft
13.36214,-24.023733,2,737-200,Aircraft
16.512417,-22.25902,2,737-200,Aircraft
21.02097,-25.378164,2,737-200,Aircraft
14.680563,-24.076992,2,737-200,Aircraft
15.585317,-26.148687,2,737-200,Aircraft
14.513986,-24.012808,2,737-200,Aircraft
14.922437,-22.855688,2,737-200,Aircraft
22.97546,-24.793104,2,737-200,Aircraft
18.762428,-23.47713,2,737-200,Aircraft
14.522171,-23.426046,2,737-200,Aircraft
22.11539,-22.772177,2,737-200,Aircraft
18.285559,-26.925993,2,737-200,Aircraft
21.866692,-23.589476,2,737-200,Aircraft
18.972803,-23.075497,2,737-200,Aircraft
21.447685,-25.995588,2,737-200,Aircraft
16.398642,-19.348001,2,737-200,Aircraft
20.50735,-25.641184,2,737-200,Aircraft
16.328802,-22.30814,2,737-200,Aircraft
20.012583,-23.0085,2,737-200,Aircraft
17.527725,-25.108894,2,737-200,Aircraft
20.81256,-23.113226,2,737-200,Aircraft
19.555859,-22.50958,2,737-200,Aircraft
17.578653,-23.36336,2,737-200,Aircraft
20.581568,-24.391901,2,737-200,Aircraft
16.354477,-22.538477,2,737-200,Aircraft
20.54805,-25.322786,2,737-200,Aircraft
18.723362,-22.844187,2,737-200,Aircraft
22.899492,-26.36933,2,737-200,Aircraft
21.26337,-26.050596,2,737-200,Aircraft
20.025238,-21.959665,2,737-200,Aircraft
15.212383,-25.543379,2,737-200,Aircraft
15.0768795,-25.215405,2,737-200,Aircraft
19.818586,-27.027899,2,737-200,Aircraft
18.911314,-26.432322,3,737-300,Aircraft
19.763548,-23.21957,3,737-300,Aircraft
21.671278,-20.98713,3,737-300,Aircraft
16.234251,-22.74565,3,737-300,Aircraft
19.392439,-22.645096,3,737-300,Aircraft
21.27542,-28.388283,3,737-300,Aircraft
18.70351,-28.250359,3,737-300,Aircraft
19.680027,-24.450527,3,737-300,Aircraft
21.300915,-23.266,3,737-300,Aircraft
14.343712,-24.253172,3,737-300,Aircraft
20.877064,-23.82744,3,737-300,Aircraft
21.648478,-26.045126,3,737-300,Aircraft
20.60956,-24.253132,3,737-300,Aircraft
18.055044,-29.3145,3,737-300,Aircraft
13.435129,-24.036589,3,737-300,Aircraft
20.692457,-26.218376,3,737-300,Aircraft
15.581567,-26.681555,3,737-300,Aircraft
20.444817,-27.9576,3,737-300,Aircraft
20.009018,-29.276152,3,737-300,Aircraft
24.296986,-23.89416,3,737-300,Aircraft
19.625751,-24.656105,3,737-300,Aircraft
18.503483,-28.296164,3,737-300,Aircraft
17.725142,-28.333252,3,737-300,Aircraft
14.667451,-23.786312,3,737-300,Aircraft
20.329258,-25.059395,3,737-300,Aircraft
19.494831,-27.961842,3,737-300,Aircraft
21.583479,-26.915588,3,737-300,Aircraft
20.016594,-22.061632,3,737-300,Aircraft
18.755611,-28.427736,3,737-300,Aircraft
21.09837,-24.796494,3,737-300,Aircraft
20.18433,-26.693523,3,737-300,Aircraft
22.033468,-27.132214,3,737-300,Aircraft
18.232368,-22.251442,3,737-300,Aircraft
20.23152,-23.820736,4,737-400,Aircraft
20.297035,-26.365156,4,737-400,Aircraft
18.7477,-30.381344,4,737-400,Aircraft
16.515171,-24.904438,4,737-400,Aircraft
16.01363,-24.584293,4,737-400,Aircraft
16.792772,-27.517944,4,737-400,Aircraft
21.28828,-25.250261,4,737-400,Aircraft
20.290873,-28.274155,4,737-400,Aircraft
24.357685,-25.50993,4,737-400,Aircraft
19.235905,-24.603737,4,737-400,Aircraft
18.300827,-27.686234,4,737-400,Aircraft
14.443573,-23.451021,4,737-400,Aircraft
20.160843,-23.961664,4,737-400,Aircraft
20.585697,-27.023062,4,737-400,Aircraft
21.102545,-23.764658,4,737-400,Aircraft
18.804731,-27.195852,4,737-400,Aircraft
18.601349,-28.73035,4,737-400,Aircraft
14.922636,-23.266327,4,737-400,Aircraft
22.852474,-25.061945,4,737-400,Aircraft
14.752685,-25.26432,4,737-400,Aircraft
20.68586,-24.230246,4,737-400,Aircraft
18.09536,-29.336912,4,737-400,Aircraft
14.908345,-23.669498,4,737-400,Aircraft
19.48877,-24.772621,4,737-400,Aircraft
13.587613,-23.262585,4,737-400,Aircraft
18.0576,-29.355982,4,737-400,Aircraft
20.069147,-24.344662,4,737-400,Aircraft
17.660442,-28.408724,4,737-400,Aircraft
19.47503,-25.494041,4,737-400,Aircraft
23.484268,-26.860882,4,737-400,Aircraft
19.529694,-25.749247,4,737-400,Aircraft
21.416842,-25.505405,4,737-400,Aircraft
15.26703,-23.534792,4,737-400,Aircraft
15.978996,-22.745754,5,737-500,Aircraft
22.120884,-26.354355,5,737-500,Aircraft
22.742027,-27.492937,5,737-500,Aircraft
21.637827,-24.532166,5,737-500,Aircraft
21.708502,-25.055092,5,737-500,Aircraft
20.689184,-28.080776,5,737-500,Aircraft
18.200754,-27.77726,5,737-500,Aircraft
18.643642,-25.107515,5,737-500,Aircraft
18.35795,-27.802675,5,737-500,Aircraft
19.784058,-24.544786,5,737-500,Aircraft
17.9188,-26.45711,5,737-500,Aircraft
24.306257,-25.66178,5,737-500,Aircraft
22.660631,-22.273754,5,737-500,Aircraft
19.319714,-29.392338,5,737-500,Aircraft
20.57795,-23.596687,5,737-500,Aircraft
14.477848,-24.172832,5,737-500,Aircraft
22.614122,-25.911001,5,737-500,Aircraft
21.936327,-26.465187,5,737-500,Aircraft
22.810534,-27.532131,5,737-500,Aircraft
16.608662,-27.255236,5,737-500,Aircraft
15.103884,-25.23718,5,737-500,Aircraft
22.186108,-25.988008,5,737-500,Aircraft
18.917084,-27.29586,5,737-500,Aircraft
