x,y,label,classname,dataset
-2.8041568,-29.680042,0,707-320,Aircraft
-2.257199,-28.641752,0,707-320,Aircraft
-7.988115,-28.872433,0,707-320,Aircraft
-1.4334034,-28.176888,0,707-320,Aircraft
-1.5592351,-28.184534,0,707-320,Aircraft
-6.6926875,-27.386738,0,707-320,Aircraft
-1.5985233,-28.178974,0,707-320,Aircraft
-2.782671,-28.796888,0,707-320,Aircraft
-9.044312,-30.188768,0,707-320,Aircraft
-2.2429478,-29.156906,0,707-320,Aircraft
-6.5219097,-28.219704,0,707-320,Aircraft
-2.5048268,-29.820349,0,707-320,Aircraft
-7.5300083,-27.824427,0,707-320,Aircraft
-3.5353065,-29.16676,0,707-320,Aircraft
-2.3599937,-28.54495,0,707-320,Aircraft
-2.6151814,-29.754967,0,707-320,Aircraft
-4.2021313,-28.296297,0,707-320,Aircraft
-5.374331,-26.452993,0,707-320,Aircraft
-6.106166,-27.940311,0,707-320,Aircraft
-1.3541546,-28.126394,0,707-320,Aircraft
-2.3150482,-29.21199,0,707-320,Aircraft
-5.2338896,-28.217638,0,707-320,Aircraft
-1.610595,-28.160051,0,707-320,Aircraft
-3.2921412,-26.68923,0,707-320,Aircraft
-1.615904,-28.141823,0,707-320,Aircraft
-2.643949,-28.712515,0,707-320,Aircraft
-3.3120968,-28.771662,0,707-320,Aircraft
-1.6411129,-28.211662,0,707-320,Aircraft
-1.4736613,-28.09046,0,707-320,Aircraft
-7.081709,-28.473688,0,707-320,Aircraft
-2.733168,-28.382288,0,707-320,Aircraft
-5.6626515,-27.997837,0,707-320,Aircraft
-2.324898,-28.032213,0,707-320,Aircraft
-2.2302914,-28.58852,1,727-200,Aircraft
-9.316691,-29.145552,1,727-200,Aircraft
-4.7096915,-26.985703,1,727-200,Aircraft
-5.935323,-25.87812,1,727-200,Aircraft
-5.3569784,-26.380756,1,727-200,Aircraft
-3.0230885,-28.531609,1,727-200,Aircraft
-11.338226,-27.79832,1,727-200,Aircraft
-3.0248423,-28.714844,1,727-200,Aircraft
-4.0094376,-27.763102,1,727-200,Aircraft
-5.810419,-30.056608,1,727-200,Aircraft
-6.4389386,-27.928762,1,727-200,Aircraft
-2.9035532,-28.99481,1,727-200,Aircraft
-6.9769015,-28.610395,1,727-200,Aircraft
-3.032906,-24.452927,1,727-200,Aircraft
-2.6078246,-28.626589,1,727-200,Aircraft
-2.9025397,-28.448454,1,727-200,Aircraft
-6.5605607,-28.461071,1,727-200,Aircraft
-6.3918147,-25.990538,1,727-200,Aircraft
-3.0447743,-28.181871,1,727-200,Aircraft
-5.083145,-28.687805,1,727-200,Aircraft
-7.5404263,-26.654144,1,727-200,Aircraft
-6.693979,-30.549332,1,727-200,Aircraft
-12.036508,-29.52481,1,727-200,Aircraft
-1.562251,-28.134384,1,727-200,Aircraft
-1.3573507,-28.167908,1,727-200,Aircraft
-2.042445,-27.589998,1,727-200,Aircraft
-6.9789968,-29.683842,1,727-200,Aircraft
-1.9851335,-28.387014,1,727-200,Aircraft
-1.8806638,-28.530897,1,727-200,Aircraft
-3.8097758,-26.834684,1,727-200,Aircraft
-4.3188176,-25.749434,1,727-200,Aircraft
-5.326132,-26.19952,1,727-200,Aircraft
-8.220195,-32.44256,1,727-200,Aircraft
-8.8484335,-25.722067,2,737-200,Aircraft
-1.8187358,-29.598541,2,737-200,Aircraft
-4.4559956,-27.279442,2,737-200,Aircraft
-9.112597,-29.905138,2,737-200,Aircraft
-3.160727,-29.455872,2,737-200,Aircraft
-5.2065935,-31.240139,2,737-200,Aircraft
-3.2780898,-29.923529,2,737-200,Aircraft
-3.0547135,-28.131075,2,737-200,Aircraft
-12.529136,-28.363731,2,737-200,Aircraft
-6.936858,-28.116951,2,737-200,Aircraft
-2.866686,-28.73424,2,737-200,Aircraft
-9.9440365,-26.624245,2,737-200,Aircraft
-7.790299,-31.757174,2,737-200,Aircraft
-9.908821,-27.553331,2,737-200,Aircraft
-7.05146,-27.93575,2,737-200,Aircraft
-9.965008,-29.852364,2,737-200,Aircraft
-3.835374,-23.88567,2,737-200,Aircraft
-8.833189,-29.546211,2,737-200,Aircraft
-4.1563873,-27.417885,2,737-200,Aircraft
-7.92852,-27.38763,2,737-200,Aircraft
-6.802214,-30.24891,2,737-200,Aircraft
-8.920063,-27.681889,2,737-200,Aircraft
-7.5379696,-27.349037,2,737-200,Aircraft
-5.6492777,-28.033672,2,737-200,Aircraft
-8.365985,-28.403505,2,737-200,Aircraft
-4.3459096,-27.548937,2,737-200,Aircraft
-8.828248,-29.882301,2,737-200,Aircraft
-6.6584396,-27.48613,2,737-200,Aircraft
-12.009763,-29.628353,2,737-200,Aircraft
-9.74165,-29.909163,2,737-200,Aircraft
-5.6919074,-29.20007,2,737-200,Aircraft
-4.208284,-30.558344,2,737-200,Aircraft
-3.8965352,-30.394321,2,737-200,Aircraft
-9.362993,-32.106865,2,737-200,Aircraft
-6.9142947,-33.201126,3,737-300,Aircraft
-7.8239117,-27.546473,3,737-300,Aircraft
-8.054144,-26.13996,3,737-300,Aircraft
-4.1284895,-27.904158,3,737-300,Aircraft
-7.391961,-27.599743,3,737-300,Aircraft
-10.366769,-31.577312,3,737-300,Aircraft
