x,y,label,classname,dataset
-23.655989,-38.902718,0,707-320,Aircraft
-23.353848,-37.161068,0,707-320,Aircraft
-19.619162,-41.184124,0,707-320,Aircraft
-24.183346,-36.55188,0,707-320,Aircraft
-24.078611,-36.61397,0,707-320,Aircraft
-19.907417,-39.501328,0,707-320,Aircraft
-24.07985,-36.642513,0,707-320,Aircraft
-23.877575,-37.96824,0,707-320,Aircraft
-18.09377,-43.69874,0,707-320,Aircraft
-24.559925,-37.898106,0,707-320,Aircraft
-20.500319,-40.026764,0,707-320,Aircraft
-23.421415,-38.86014,0,707-320,Aircraft
-19.558985,-40.2695,0,707-320,Aircraft
-24.277567,-38.344467,0,707-320,Aircraft
-23.716515,-37.600903,0,707-320,Aircraft
-23.391727,-38.856705,0,707-320,Aircraft
-22.124723,-38.40755,0,707-320,Aircraft
-20.580286,-37.483105,0,707-320,Aircraft
-20.731411,-39.504875,0,707-320,Aircraft
-24.164377,-36.426384,0,707-320,Aircraft
-24.722797,-37.790676,0,707-320,Aircraft
-21.60183,-39.2671,0,707-320,Aircraft
-24.033216,-36.67962,0,707-320,Aircraft
-21.664236,-37.49425,0,707-320,Aircraft
-23.989624,-36.675293,0,707-320,Aircraft
-23.397116,-37.92556,0,707-320,Aircraft
-23.65574,-38.117058,0,707-320,Aircraft
-24.039871,-36.7109,0,707-320,Aircraft
-24.095203,-36.52936,0,707-320,Aircraft
-20.262083,-40.466194,0,707-320,Aircraft
-23.250656,-37.987057,0,707-320,Aircraft
-21.28233,-39.347748,0,707-320,Aircraft
-24.120802,-37.130417,0,707-320,Aircraft
-24.016514,-37.59905,1,727-200,Aircraft
-19.136528,-43.55051,1,727-200,Aircraft
-21.063854,-37.85251,1,727-200,Aircraft
-17.98536,-40.504734,1,727-200,Aircraft
-20.48803,-37.52241,1,727-200,Aircraft
-23.686138,-38.063377,1,727-200,Aircraft
-22.637178,-39.47398,1,727-200,Aircraft
-23.440083,-38.262638,1,727-200,Aircraft
-22.33361,-37.754074,1,727-200,Aircraft
-21.773602,-41.02673,1,727-200,Aircraft
-20.503284,-39.71379,1,727-200,Aircraft
-24.045694,-38.044613,1,727-200,Aircraft
-20.166103,-40.85407,1,727-200,Aircraft
-22.538221,-31.74326,1,727-200,Aircraft
-23.836931,-37.680664,1,727-200,Aircraft
-23.384048,-38.11724,1,727-200,Aircraft
-20.626648,-40.22564,1,727-200,Aircraft
-19.65218,-37.785107,1,727-200,Aircraft
-23.174458,-38.434418,1,727-200,Aircraft
-22.152357,-38.96423,1,727-200,Aircraft
-18.868345,-39.193367,1,727-200,Aircraft
-22.048769,-41.852238,1,727-200,Aircraft
-17.389122,-44.188625,1,727-200,Aircraft
-24.057533,-36.627945,1,727-200,Aircraft
-24.171883,-36.425056,1,727-200,Aircraft
-22.877403,-36.738106,1,727-200,Aircraft
-21.041513,-41.754887,1,727-200,Aircraft
-24.226778,-37.039425,1,727-200,Aircraft
-24.430378,-37.047348,1,727-200,Aircraft
-22.182718,-37.184464,1,727-200,Aircraft
-20.618988,-36.086636,1,727-200,Aircraft
-20.47031,-37.398838,1,727-200,Aircraft
-21.058388,-44.504406,1,727-200,Aircraft
-16.892508,-38.894714,2,737-200,Aircraft
-25.065605,-37.8384,2,737-200,Aircraft
-21.713366,-37.94129,2,737-200,Aircraft
-19.329676,-42.98028,2,737-200,Aircraft
-24.414663,-38.34613,2,737-200,Aircraft
-24.11249,-43.672443,2,737-200,Aircraft
-23.786,-39.241913,2,737-200,Aircraft
-23.320724,-37.20897,2,737-200,Aircraft
-16.019592,-43.57606,2,737-200,Aircraft
-20.221853,-40.130806,2,737-200,Aircraft
-23.916536,-37.770187,2,737-200,Aircraft
-17.037851,-40.64761,2,737-200,Aircraft
-22.071978,-43.45619,2,737-200,Aircraft
-17.485752,-41.71204,2,737-200,Aircraft
-20.092499,-39.885414,2,737-200,Aircraft
-18.81403,-43.6327,2,737-200,Aircraft
-20.452713,-35.47183,2,737-200,Aircraft
-19.251226,-42.09968,2,737-200,Aircraft
-22.17223,-37.640537,2,737-200,Aircraft
-18.33066,-40.037426,2,737-200,Aircraft
-22.412382,-41.536728,2,737-200,Aircraft
-18.30542,-41.65165,2,737-200,Aircraft
-19.247335,-39.75747,2,737-200,Aircraft
-21.286972,-39.384064,2,737-200,Aircraft
-19.187576,-41.589493,2,737-200,Aircraft
-21.926859,-38.094788,2,737-200,Aircraft
-19.495115,-42.784275,2,737-200,Aircraft
-19.682589,-39.547684,2,737-200,Aircraft
-17.442074,-44.268616,2,737-200,Aircraft
-19.02838,-43.57426,2,737-200,Aircraft
-21.552244,-40.4876,2,737-200,Aircraft
-24.120743,-40.58887,2,737-200,Aircraft
-24.114227,-40.303738,2,737-200,Aircraft
-20.811016,-44.580933,2,737-200,Aircraft
-21.248331,-43.50439,3,737-300,Aircraft
-19.457537,-40.403534,3,737-300,Aircraft
-17.875538,-39.112747,3,737-300,Aircraft
-22.0905,-38.27512,3,737-300,Aircraft
-19.569801,-40.020588,3,737-300,Aircraft
