x,y,label,classname,dataset
-90.33902,20.546356,0,707-320,Aircraft
-89.41747,20.272184,0,707-320,Aircraft
-94.03878,22.96163,0,707-320,Aircraft
-88.93402,19.817968,0,707-320,Aircraft
-89.068405,19.766914,0,707-320,Aircraft
-93.420204,21.582426,0,707-320,Aircraft
-89.09687,19.692064,0,707-320,Aircraft
-89.55877,20.90791,0,707-320,Aircraft
-95.87863,24.797852,0,707-320,Aircraft
-88.93204,21.017593,0,707-320,Aircraft
-93.14447,21.480675,0,707-320,Aircraft
-90.26982,19.99901,0,707-320,Aircraft
-93.07777,23.01386,0,707-320,Aircraft
-88.65709,21.650677,0,707-320,Aircraft
-89.399994,20.456722,0,707-320,Aircraft
-90.277885,20.102316,0,707-320,Aircraft
-90.5676,20.624468,0,707-320,Aircraft
-92.712364,20.040367,0,707-320,Aircraft
-93.31964,21.346657,0,707-320,Aircraft
-88.965034,19.696022,0,707-320,Aircraft
-88.632996,20.92715,0,707-320,Aircraft
-92.06885,20.646366,0,707-320,Aircraft
-89.11341,19.747042,0,707-320,Aircraft
-90.88471,19.699606,0,707-320,Aircraft
-89.09911,19.679218,0,707-320,Aircraft
-89.59001,20.47821,0,707-320,Aircraft
-89.70282,21.423218,0,707-320,Aircraft
-89.140236,19.913591,0,707-320,Aircraft
-88.993034,19.667202,0,707-320,Aircraft
-93.70424,22.370344,0,707-320,Aircraft
-89.61122,20.187359,0,707-320,Aircraft
-93.212616,21.034843,0,707-320,Aircraft
-89.1275,18.94899,0,707-320,Aircraft
-89.242386,20.839968,1,727-200,Aircraft
-95.41015,24.560179,1,727-200,Aircraft
-92.70631,20.140976,1,727-200,Aircraft
-92.97294,19.391369,1,727-200,Aircraft
-92.59888,19.894785,1,727-200,Aircraft
-89.571106,20.986107,1,727-200,Aircraft
-92.51331,28.794643,1,727-200,Aircraft
-89.80243,20.95423,1,727-200,Aircraft
-90.773094,20.699247,1,727-200,Aircraft
-90.28784,21.736921,1,727-200,Aircraft
-93.31661,21.911707,1,727-200,Aircraft
-88.88604,21.193491,1,727-200,Aircraft
-94.2755,24.153496,1,727-200,Aircraft
-92.1732,17.20146,1,727-200,Aircraft
-89.414696,20.306967,1,727-200,Aircraft
-89.47704,20.680788,1,727-200,Aircraft
-93.24359,21.618229,1,727-200,Aircraft
-91.336044,18.321247,1,727-200,Aircraft
-90.06562,20.251871,1,727-200,Aircraft
-92.74763,21.155529,1,727-200,Aircraft
-91.46714,21.528667,1,727-200,Aircraft
-94.336876,21.502184,1,727-200,Aircraft
-89.88702,23.003283,1,727-200,Aircraft
-89.092865,19.700249,1,727-200,Aircraft
-88.766365,19.815922,1,727-200,Aircraft
-90.60855,19.561535,1,727-200,Aircraft
-95.25171,22.43928,1,727-200,Aircraft
-88.94736,19.627596,1,727-200,Aircraft
-89.00288,19.335848,1,727-200,Aircraft
-91.23357,19.810286,1,727-200,Aircraft
-92.20798,19.021936,1,727-200,Aircraft
-92.70535,19.635546,1,727-200,Aircraft
-97.57293,25.098179,1,727-200,Aircraft
-91.925385,26.146568,2,737-200,Aircraft
-88.217896,20.933035,2,737-200,Aircraft
-91.11306,21.219995,2,737-200,Aircraft
-95.58949,24.595348,2,737-200,Aircraft
-88.9477,21.395557,2,737-200,Aircraft
-90.4236,23.526798,2,737-200,Aircraft
-89.47751,22.195147,2,737-200,Aircraft
-90.39237,21.080914,2,737-200,Aircraft
-93.83356,26.536314,2,737-200,Aircraft
-93.57523,22.278545,2,737-200,Aircraft
-89.80857,21.150782,2,737-200,Aircraft
-91.11532,26.968071,2,737-200,Aircraft
-95.10731,23.630283,2,737-200,Aircraft
-94.01172,26.041294,2,737-200,Aircraft
-93.52913,22.547913,2,737-200,Aircraft
-95.36587,25.574121,2,737-200,Aircraft
-92.39019,18.467014,2,737-200,Aircraft
-94.60954,25.406042,2,737-200,Aircraft
-90.90913,20.933933,2,737-200,Aircraft
-92.63341,24.634762,2,737-200,Aircraft
-94.43849,21.119783,2,737-200,Aircraft
-93.459305,24.696192,2,737-200,Aircraft
-92.42977,22.849426,2,737-200,Aircraft
