x,y,label,classname,dataset
5.106112,-47.164,0,707-320,Aircraft
4.52465,-49.40075,0,707-320,Aircraft
5.7438197,-49.34763,0,707-320,Aircraft
3.0882204,-48.462128,0,707-320,Aircraft
3.6120853,-49.103138,0,707-320,Aircraft
6.434538,-48.444427,0,707-320,Aircraft
3.429253,-49.1719,0,707-320,Aircraft
4.2444243,-48.462807,0,707-320,Aircraft
6.7549067,-47.689594,0,707-320,Aircraft
3.0798836,-47.245483,0,707-320,Aircraft
5.873987,-48.636906,0,707-320,Aircraft
4.54983,-47.347538,0,707-320,Aircraft
6.2550087,-48.442093,0,707-320,Aircraft
4.320877,-50.37744,0,707-320,Aircraft
4.1886554,-48.569828,0,707-320,Aircraft
4.6204567,-47.27131,0,707-320,Aircraft
4.910939,-48.438858,0,707-320,Aircraft
5.8722463,-48.061897,0,707-320,Aircraft
6.458183,-49.467857,0,707-320,Aircraft
3.0571306,-48.042786,0,707-320,Aircraft
3.7366645,-47.34859,0,707-320,Aircraft
5.209593,-49.576786,0,707-320,Aircraft
3.3152635,-48.758564,0,707-320,Aircraft
5.1770916,-47.87377,0,707-320,Aircraft
3.5364525,-49.227547,0,707-320,Aircraft
4.4053717,-48.121937,0,707-320,Aircraft
4.7513385,-48.855072,0,707-320,Aircraft
3.6506073,-48.536747,0,707-320,Aircraft
2.7050257,-48.96285,0,707-320,Aircraft
6.2091947,-48.717953,0,707-320,Aircraft
3.8754427,-48.070477,0,707-320,Aircraft
6.01806,-50.08279,0,707-320,Aircraft
2.2700074,-47.975685,0,707-320,Aircraft
40.227608,-1.5750657,1,off-center face,Caltech101
42.029446,-1.4370396,1,off-center face,Caltech101
39.720177,-1.2605563,1,off-center face,Caltech101
35.833725,0.9935636,2,centered face,Caltech101
39.007072,2.0297253,1,off-center face,Caltech101
38.95916,1.9632019,1,off-center face,Caltech101
36.49809,2.7881224,2,centered face,Caltech101
40.905643,-2.8792908,1,off-center face,Caltech101
36.71438,-0.33287218,1,off-center face,Caltech101
41.621555,0.7030372,2,centered face,Caltech101
38.060608,0.61743647,1,off-center face,Caltech101
36.45835,2.8587153,1,off-center face,Caltech101
36.35753,2.7534473,1,off-center face,Caltech101
41.24564,-0.8490757,2,centered face,Caltech101
38.04613,0.53546166,2,centered face,Caltech101
39.090977,-1.3077729,1,off-center face,Caltech101
38.618587,-1.3664976,1,off-center face,Caltech101
37.45889,1.206677,1,off-center face,Caltech101
41.604317,0.68085057,1,off-center face,Caltech101
41.623764,0.6400845,2,centered face,Caltech101
39.886024,-2.274223,1,off-center face,Caltech101
39.979538,-2.4347353,1,off-center face,Caltech101
41.505116,0.15475272,1,off-center face,Caltech101
36.42044,2.9853513,2,centered face,Caltech101
40.169804,-3.1700819,1,off-center face,Caltech101
41.43571,-2.3062215,2,centered face,Caltech101
38.61027,-2.340485,2,centered face,Caltech101
41.421703,0.6501124,1,off-center face,Caltech101
40.123837,-3.2623823,2,centered face,Caltech101
40.19737,-3.4079359,2,centered face,Caltech101
40.287205,-3.3522959,2,centered face,Caltech101
41.638485,-1.2235278,2,centered face,Caltech101
39.7074,-0.4901711,1,off-center face,Caltech101
37.989967,0.6264888,2,centered face,Caltech101
39.193077,2.2875946,1,off-center face,Caltech101
35.797344,0.9687825,1,off-center face,Caltech101
39.889545,-1.158924,1,off-center face,Caltech101
38.60977,-2.3506413,2,centered face,Caltech101
38.183018,2.0820968,2,centered face,Caltech101
37.15581,-0.096994415,1,off-center face,Caltech101
35.840683,1.0203949,2,centered face,Caltech101
37.21744,0.1120739,2,centered face,Caltech101
36.62291,-0.40123367,1,off-center face,Caltech101
36.94839,0.077093236,2,centered face,Caltech101
40.07698,-2.0180333,1,off-center face,Caltech101
38.267796,2.112258,1,off-center face,Caltech101
37.611996,0.42553958,1,off-center face,Caltech101
41.89432,-1.2631143,1,off-center face,Caltech101
41.76947,-1.2414279,2,centered face,Caltech101
11.940977,-30.96469,3,airplane,CIFAR10
16.100138,-30.441462,3,airplane,CIFAR10
18.802269,-31.807362,3,airplane,CIFAR10
15.264218,-31.064331,3,airplane,CIFAR10
13.222878,-34.61128,3,airplane,CIFAR10
17.015905,-33.373062,3,airplane,CIFAR10
11.69523,-33.411793,3,airplane,CIFAR10
13.966806,-34.89699,3,airplane,CIFAR10
16.473392,-35.30451,3,airplane,CIFAR10
17.088467,-31.782618,3,airplane,CIFAR10
13.68499,-32.92469,3,airplane,CIFAR10
15.812494,-33.38435,3,airplane,CIFAR10
16.1275,-31.352772,3,airplane,CIFAR10
12.398528,-36.264824,3,airplane,CIFAR10
15.103504,-32.591633,3,airplane,CIFAR10
10.96815,-33.335857,3,airplane,CIFAR10
10.792681,-33.2101,3,airplane,CIFAR10
17.44575,-29.496496,3,airplane,CIFAR10
12.052672,-31.157171,3,airplane,CIFAR10
13.544205,-33.088165,3,airplane,CIFAR10
16.976587,-32.54363,3,airplane,CIFAR10
17.253227,-29.768875,3,airplane,CIFAR10
14.728636,-34.71902,3,airplane,CIFAR10
11.957444,-32.600006,3,airplane,CIFAR10
14.934865,-32.94859,3,airplane,CIFAR10
13.873244,-31.816103,3,airplane,CIFAR10
15.379461,-34.150978,3,airplane,CIFAR10
12.547523,-35.90337,3,airplane,CIFAR10
14.861182,-31.800783,3,airplane,CIFAR10
16.518105,-29.777578,3,airplane,CIFAR10
14.542497,-33.47528,3,airplane,CIFAR10
14.950188,-30.740393,3,airplane,CIFAR10
12.498852,-34.31884,3,airplane,CIFAR10
15.493075,-35.986492,3,airplane,CIFAR10
16.158978,-32.62072,3,airplane,CIFAR10
12.553436,-31.786842,3,airplane,CIFAR10
13.669118,-30.570179,3,airplane,CIFAR10
18.13653,-32.66232,3,airplane,CIFAR10
16.324501,-32.219162,3,airplane,CIFAR10
13.518793,-34.33213,3,airplane,CIFAR10
14.234947,-35.440594,3,airplane,CIFAR10
14.518533,-34.173893,3,airplane,CIFAR10
16.39841,-33.45139,3,airplane,CIFAR10
17.134272,-31.531202,3,airplane,CIFAR10
14.269362,-35.576653,3,airplane,CIFAR10
14.150691,-33.844437,3,airplane,CIFAR10
16.47659,-29.644909,3,airplane,CIFAR10
12.340681,-36.36548,3,airplane,CIFAR10
17.556978,-30.533167,3,airplane,CIFAR10
13.067909,-34.190376,3,airplane,CIFAR10
16.280815,-34.595497,3,airplane,CIFAR10
13.757949,-32.461708,3,airplane,CIFAR10
11.9613905,-32.93578,3,airplane,CIFAR10
16.76797,-32.327007,3,airplane,CIFAR10
11.667193,-27.868673,3,airplane,CIFAR10
14.755893,-31.427061,3,airplane,CIFAR10
18.485666,-31.8872,3,airplane,CIFAR10
15.649363,-25.225227,4,apple,CIFAR100
15.460931,-24.881437,4,apple,CIFAR100
15.713205,-24.842875,4,apple,CIFAR100
16.240223,-24.664032,4,apple,CIFAR100
15.544741,-25.147238,4,apple,CIFAR100
15.5676,-24.977392,4,apple,CIFAR100
15.514453,-25.010258,4,apple,CIFAR100
15.9891405,-13.076124,5,banded,DTD
15.521642,-12.209327,5,banded,DTD
15.900029,-13.758734,5,banded,DTD
13.146111,-11.951767,5,banded,DTD
18.124598,-13.853683,5,banded,DTD
14.8823805,-12.697924,5,banded,DTD
17.549948,-13.04655,5,banded,DTD
16.003304,-12.288937,5,banded,DTD
15.836261,-13.590948,5,banded,DTD
13.903238,-11.705773,5,banded,DTD
14.788335,-12.78244,5,banded,DTD
17.306898,-12.301236,5,banded,DTD
17.685402,-13.504494,5,banded,DTD
16.294718,-13.264891,5,banded,DTD
15.629568,-13.223741,5,banded,DTD
17.287306,-12.320152,5,banded,DTD
17.5259,-13.3455105,5,banded,DTD
16.230625,-14.238387,5,banded,DTD
16.418747,-11.34127,5,banded,DTD
16.365734,-12.333767,5,banded,DTD
15.009047,-8.386136,5,banded,DTD
14.758942,-9.478378,5,banded,DTD
13.886341,-9.266358,5,banded,DTD
15.535287,-9.045616,5,banded,DTD
14.345067,-9.1424265,5,banded,DTD
14.273948,-9.792513,5,banded,DTD
15.029589,-8.554704,5,banded,DTD
15.747956,-9.14582,5,banded,DTD
13.4608755,-9.430739,5,banded,DTD
12.679797,-11.511708,5,banded,DTD
15.195988,-10.53604,5,banded,DTD
13.557948,-10.5647135,5,banded,DTD
14.168202,-8.498812,5,banded,DTD
12.838678,-13.047259,5,banded,DTD
14.140774,-9.286393,5,banded,DTD
14.395751,-10.242676,5,banded,DTD
14.211124,-9.776556,5,banded,DTD
15.28446,-11.592786,5,banded,DTD
14.341606,-11.776951,5,banded,DTD
14.385913,-11.7848625,5,banded,DTD
3.014266,-23.889008,6,annual crop land,EuroSAT
1.1240922,-24.944366,6,annual crop land,EuroSAT
6.116416,-24.397984,6,annual crop land,EuroSAT
6.0515323,-25.331741,6,annual crop land,EuroSAT
3.9821274,-26.181038,6,annual crop land,EuroSAT
8.743923,-24.50511,6,annual crop land,EuroSAT
4.8670588,-24.451338,6,annual crop land,EuroSAT
7.641591,-25.703194,6,annual crop land,EuroSAT
1.6964657,-24.19211,6,annual crop land,EuroSAT
5.7981224,-23.79643,6,annual crop land,EuroSAT
3.0266962,-25.569483,6,annual crop land,EuroSAT
8.320521,-23.973713,6,annual crop land,EuroSAT
3.7982976,-25.987875,6,annual crop land,EuroSAT
6.5233116,-26.360113,6,annual crop land,EuroSAT
4.073072,-24.862516,6,annual crop land,EuroSAT
4.681225,-25.324842,6,annual crop land,EuroSAT
7.1603208,-24.193453,6,annual crop land,EuroSAT
8.4224825,-23.312664,6,annual crop land,EuroSAT
7.3884625,-23.463322,6,annual crop land,EuroSAT
3.4773138,-22.801622,6,annual crop land,EuroSAT
3.9432366,-22.58036,6,annual crop land,EuroSAT
0.34928587,-24.869747,6,annual crop land,EuroSAT
1.9398278,-23.844196,6,annual crop land,EuroSAT
7.900565,-24.580105,6,annual crop land,EuroSAT
2.5116205,-25.842688,6,annual crop land,EuroSAT
7.177416,-24.900614,6,annual crop land,EuroSAT
1.0880959,-23.808857,6,annual crop land,EuroSAT
9.194274,-25.208374,6,annual crop land,EuroSAT
6.69498,-22.772268,6,annual crop land,EuroSAT
1.6090752,-26.563662,6,annual crop land,EuroSAT
6.987476,-25.779179,6,annual crop land,EuroSAT
4.0999656,-24.738293,6,annual crop land,EuroSAT
7.033731,-25.61355,6,annual crop land,EuroSAT
1.5739381,-25.115398,6,annual crop land,EuroSAT
8.674997,-26.314814,6,annual crop land,EuroSAT
1.4244435,-25.904755,6,annual crop land,EuroSAT
2.2886586,-24.32343,6,annual crop land,EuroSAT
3.6163416,-23.631329,6,annual crop land,EuroSAT
3.9171689,-24.031933,6,annual crop land,EuroSAT
2.2483823,-25.098108,6,annual crop land,EuroSAT
7.746932,-26.534882,6,annual crop land,EuroSAT
7.1870217,-25.00063,6,annual crop land,EuroSAT
7.243914,-24.824032,6,annual crop land,EuroSAT
9.260577,-26.900658,6,annual crop land,EuroSAT
3.2326775,-24.789774,6,annual crop land,EuroSAT
9.891368,-24.948822,6,annual crop land,EuroSAT
8.467107,-25.23981,6,annual crop land,EuroSAT
8.324433,-25.72953,6,annual crop land,EuroSAT
2.5961952,-23.964565,6,annual crop land,EuroSAT
4.4150505,-23.694042,6,annual crop land,EuroSAT
5.377948,-26.249195,6,annual crop land,EuroSAT
6.340895,-24.541964,6,annual crop land,EuroSAT
8.780893,-25.557116,6,annual crop land,EuroSAT
2.1419477,-25.062899,6,annual crop land,EuroSAT
1.3920981,-24.283192,6,annual crop land,EuroSAT
1.398549,-24.522226,6,annual crop land,EuroSAT
