x,y,label,classname,dataset
35.82068,-24.887558,0,707-320,Aircraft
36.559357,-22.885355,0,707-320,Aircraft
35.44686,-22.702929,0,707-320,Aircraft
37.795628,-24.047634,0,707-320,Aircraft
37.442024,-23.385118,0,707-320,Aircraft
34.694912,-23.462412,0,707-320,Aircraft
37.581486,-23.377823,0,707-320,Aircraft
36.69669,-23.805569,0,707-320,Aircraft
34.339504,-24.235136,0,707-320,Aircraft
37.645138,-25.182087,0,707-320,Aircraft
35.234234,-23.467403,0,707-320,Aircraft
36.270943,-24.808783,0,707-320,Aircraft
34.82802,-23.565487,0,707-320,Aircraft
36.973583,-22.043568,0,707-320,Aircraft
36.797314,-23.923483,0,707-320,Aircraft
36.19976,-24.853987,0,707-320,Aircraft
36.091446,-23.71272,0,707-320,Aircraft
35.18176,-23.934473,0,707-320,Aircraft
34.772255,-22.629135,0,707-320,Aircraft
37.74439,-24.470873,0,707-320,Aircraft
37.058464,-24.93182,0,707-320,Aircraft
35.947124,-22.64403,0,707-320,Aircraft
37.684258,-23.674559,0,707-320,Aircraft
35.746437,-24.28576,0,707-320,Aircraft
37.534237,-23.229038,0,707-320,Aircraft
36.48402,-24.03988,0,707-320,Aircraft
36.326496,-23.375782,0,707-320,Aircraft
37.293064,-23.849861,0,707-320,Aircraft
38.232834,-23.584085,0,707-320,Aircraft
34.869484,-23.325752,0,707-320,Aircraft
36.96437,-24.16924,0,707-320,Aircraft
35.306442,-22.031017,0,707-320,Aircraft
38.54946,-24.496576,0,707-320,Aircraft
44.611996,-0.94147015,1,off-center face,Caltech101
46.09232,-0.1572263,1,off-center face,Caltech101
44.026802,-0.8803862,1,off-center face,Caltech101
40.739075,1.9129466,2,centered face,Caltech101
39.74696,0.21967626,1,off-center face,Caltech101
39.817074,0.24449712,1,off-center face,Caltech101
42.211765,2.6895423,2,centered face,Caltech101
45.74642,-1.8584719,1,off-center face,Caltech101
42.08707,0.85103065,1,off-center face,Caltech101
45.17469,1.616609,2,centered face,Caltech101
41.274635,-0.21995585,1,off-center face,Caltech101
42.279007,2.7576036,1,off-center face,Caltech101
42.232998,2.6772892,1,off-center face,Caltech101
45.30553,0.1683631,2,centered face,Caltech101
41.25852,-0.15783653,2,centered face,Caltech101
