x,y,label,classname,dataset
-84.06318,23.195454,0,707-320,Aircraft
-83.11481,21.907583,0,707-320,Aircraft
-88.48568,21.326733,0,707-320,Aircraft
-82.71274,21.474619,0,707-320,Aircraft
-82.73106,21.483707,0,707-320,Aircraft
-87.67913,20.57553,0,707-320,Aircraft
-82.69044,21.452106,0,707-320,Aircraft
-83.7526,22.160074,0,707-320,Aircraft
-90.965,22.547092,0,707-320,Aircraft
-83.05577,22.53333,0,707-320,Aircraft
-87.26572,20.969065,0,707-320,Aircraft
-83.66923,22.897919,0,707-320,Aircraft
-88.3962,20.16091,0,707-320,Aircraft
-83.31318,23.268116,0,707-320,Aircraft
-83.283066,21.830908,0,707-320,Aircraft
-83.8371,22.91655,0,707-320,Aircraft
-84.37841,21.584322,0,707-320,Aircraft
-86.18471,19.842903,0,707-320,Aircraft
-87.24459,20.96073,0,707-320,Aircraft
-82.65033,21.482414,0,707-320,Aircraft
-82.929565,22.613956,0,707-320,Aircraft
-85.75743,21.635427,0,707-320,Aircraft
-82.83344,21.376867,0,707-320,Aircraft
-83.90734,20.149666,0,707-320,Aircraft
-82.722824,21.421696,0,707-320,Aircraft
-83.49575,21.960487,0,707-320,Aircraft
-84.22819,22.506348,0,707-320,Aircraft
-82.91796,21.548763,0,707-320,Aircraft
-82.67511,21.325487,0,707-320,Aircraft
-88.18979,20.984634,0,707-320,Aircraft
-83.50549,21.740967,0,707-320,Aircraft
-86.61252,21.539246,0,707-320,Aircraft
-82.05312,20.068373,0,707-320,Aircraft
-83.34897,22.186125,1,727-200,Aircraft
-90.25659,22.355326,1,727-200,Aircraft
-86.24543,19.964775,1,727-200,Aircraft
-86.348404,19.067966,1,727-200,Aircraft
-86.12069,19.845598,1,727-200,Aircraft
-84.02304,22.079405,1,727-200,Aircraft
-90.725746,19.409233,1,727-200,Aircraft
-83.978325,22.181181,1,727-200,Aircraft
-84.501785,21.015553,1,727-200,Aircraft
-84.347496,22.764925,1,727-200,Aircraft
-87.2231,20.788769,1,727-200,Aircraft
-83.962654,21.50244,1,727-200,Aircraft
-89.82951,20.945677,1,727-200,Aircraft
-82.8735,18.44766,1,727-200,Aircraft
