x,y,label,classname,dataset
0.83072245,-46.29326,0,707-320,Aircraft
2.0552106,-45.86268,0,707-320,Aircraft
1.1979598,-44.59412,0,707-320,Aircraft
2.182321,-47.819736,0,707-320,Aircraft
2.0774868,-47.204155,0,707-320,Aircraft
2.2112885,-44.14356,0,707-320,Aircraft
1.9516793,-47.408848,0,707-320,Aircraft
1.5330493,-46.396957,0,707-320,Aircraft
2.9745235,-43.92521,0,707-320,Aircraft
0.96866035,-47.839653,0,707-320,Aircraft
1.9347808,-44.74627,0,707-320,Aircraft
0.34492266,-45.844273,0,707-320,Aircraft
2.1580071,-44.372875,0,707-320,Aircraft
-0.19786805,-46.7432,0,707-320,Aircraft
1.6622856,-46.59386,0,707-320,Aircraft
0.60135955,-45.972206,0,707-320,Aircraft
1.5745754,-45.514233,0,707-320,Aircraft
2.6191792,-44.827698,0,707-320,Aircraft
1.2573746,-43.77568,0,707-320,Aircraft
2.5767763,-47.9752,0,707-320,Aircraft
0.934058,-47.214367,0,707-320,Aircraft
0.6753342,-44.84675,0,707-320,Aircraft
2.5481198,-47.018673,0,707-320,Aircraft
2.6096683,-45.47012,0,707-320,Aircraft
2.437697,-47.117016,0,707-320,Aircraft
1.8248633,-46.068535,0,707-320,Aircraft
1.3075646,-45.89549,0,707-320,Aircraft
2.161141,-47.027775,0,707-320,Aircraft
3.0206418,-47.36226,0,707-320,Aircraft
1.9456196,-44.35255,0,707-320,Aircraft
2.727095,-46.231335,0,707-320,Aircraft
0.6167566,-44.177002,0,707-320,Aircraft
3.4817872,-47.0916,0,707-320,Aircraft
49.39508,-6.6668744,1,off-center face,Caltech101
51.209736,-6.339473,1,off-center face,Caltech101
48.966305,-6.4292803,1,off-center face,Caltech101
45.676376,-2.7091687,2,centered face,Caltech101
47.96076,-2.1767108,1,off-center face,Caltech101
47.884415,-2.3253512,1,off-center face,Caltech101
44.362785,-4.16079,2,centered face,Caltech101
50.25502,-8.081359,1,off-center face,Caltech101
46.15818,-4.566715,1,off-center face,Caltech101
50.59105,-4.2786217,2,centered face,Caltech101
47.427967,-4.038696,1,off-center face,Caltech101
44.278675,-4.228316,1,off-center face,Caltech101
44.31649,-4.2225094,1,off-center face,Caltech101
50.3057,-5.7495923,2,centered face,Caltech101
47.293026,-4.1300845,2,centered face,Caltech101
48.383865,-6.468039,1,off-center face,Caltech101
47.893436,-6.4261427,1,off-center face,Caltech101
47.910053,-3.7406077,1,off-center face,Caltech101
50.56505,-4.3511024,1,off-center face,Caltech101
50.567574,-4.3877215,2,centered face,Caltech101
49.136295,-7.527096,1,off-center face,Caltech101
49.175114,-7.6568065,1,off-center face,Caltech101
50.396103,-4.8198333,1,off-center face,Caltech101
44.170982,-4.196974,2,centered face,Caltech101
49.403736,-8.394964,1,off-center face,Caltech101
50.52471,-7.2534795,2,centered face,Caltech101
47.549305,-7.2704177,2,centered face,Caltech101
50.40945,-4.4932194,1,off-center face,Caltech101
49.330048,-8.509255,2,centered face,Caltech101
49.467438,-8.586891,2,centered face,Caltech101
49.572506,-8.53961,2,centered face,Caltech101
50.85597,-6.1236978,2,centered face,Caltech101
48.5851,-5.7705245,1,off-center face,Caltech101
47.32676,-4.018413,2,centered face,Caltech101
48.0505,-1.9672397,1,off-center face,Caltech101
45.669624,-2.6535072,1,off-center face,Caltech101
49.115353,-6.2630563,1,off-center face,Caltech101
47.54197,-7.278719,2,centered face,Caltech101
47.206165,-2.727181,2,centered face,Caltech101
46.46533,-4.6392975,1,off-center face,Caltech101
45.604435,-2.7549243,2,centered face,Caltech101
46.50811,-4.369097,2,centered face,Caltech101
46.078033,-4.492334,1,off-center face,Caltech101
46.244247,-4.1647305,2,centered face,Caltech101
49.329983,-7.2677293,1,off-center face,Caltech101
47.25725,-2.6867232,1,off-center face,Caltech101
47.164757,-4.692229,1,off-center face,Caltech101
51.076885,-6.1604853,1,off-center face,Caltech101
50.942432,-6.149547,2,centered face,Caltech101
18.99193,-32.11767,3,airplane,CIFAR10
15.342033,-30.146364,3,airplane,CIFAR10
15.164814,-32.123295,3,airplane,CIFAR10
16.491943,-30.707813,3,airplane,CIFAR10
13.255615,-33.994003,3,airplane,CIFAR10
