x,y,label,classname,dataset
7.8557215,-49.242535,0,707-320,Aircraft
6.0959735,-50.242577,0,707-320,Aircraft
5.3901343,-49.348583,0,707-320,Aircraft
7.4699583,-51.525352,0,707-320,Aircraft
7.548033,-50.850002,0,707-320,Aircraft
5.861114,-48.257107,0,707-320,Aircraft
7.627007,-50.857002,0,707-320,Aircraft
7.0837107,-50.070534,0,707-320,Aircraft
6.3804045,-47.643658,0,707-320,Aircraft
8.8093815,-50.270473,0,707-320,Aircraft
5.873354,-48.802464,0,707-320,Aircraft
7.923185,-48.71935,0,707-320,Aircraft
5.7980127,-48.439167,0,707-320,Aircraft
5.6683645,-51.095734,0,707-320,Aircraft
7.5135317,-50.04461,0,707-320,Aircraft
7.792277,-48.993744,0,707-320,Aircraft
6.55557,-49.347176,0,707-320,Aircraft
6.543723,-48.483616,0,707-320,Aircraft
4.873947,-48.733097,0,707-320,Aircraft
8.004424,-51.46293,0,707-320,Aircraft
8.310556,-49.936897,0,707-320,Aircraft
5.5001097,-49.758812,0,707-320,Aircraft
7.1472445,-51.012913,0,707-320,Aircraft
7.056796,-48.849884,0,707-320,Aircraft
7.090559,-50.942528,0,707-320,Aircraft
7.073214,-49.492832,0,707-320,Aircraft
6.5705256,-50.055855,0,707-320,Aircraft
7.2824473,-50.835575,0,707-320,Aircraft
6.991061,-51.610783,0,707-320,Aircraft
5.699733,-48.59034,0,707-320,Aircraft
7.127811,-49.78791,0,707-320,Aircraft
4.9049244,-49.559162,0,707-320,Aircraft
8.577183,-51.09386,0,707-320,Aircraft
31.195421,-9.369959,1,off-center face,Caltech101
32.71855,-9.653497,1,off-center face,Caltech101
30.689093,-9.083722,1,off-center face,Caltech101
29.645859,-4.4607787,2,centered face,Caltech101
27.786583,-5.3628817,1,off-center face,Caltech101
28.001286,-5.442454,1,off-center face,Caltech101
31.357178,-4.895438,2,centered face,Caltech101
31.34053,-10.871779,1,off-center face,Caltech101
29.987064,-6.208215,1,off-center face,Caltech101
32.767403,-7.666801,2,centered face,Caltech101
28.838873,-6.7233515,1,off-center face,Caltech101
31.482748,-4.882807,1,off-center face,Caltech101
31.479845,-4.8958817,1,off-center face,Caltech101
32.04728,-8.8382635,2,centered face,Caltech101
28.917412,-6.740367,2,centered face,Caltech101
30.139675,-8.9948435,1,off-center face,Caltech101
29.527422,-8.868579,1,off-center face,Caltech101
28.225838,-7.010199,1,off-center face,Caltech101
32.703934,-7.747224,1,off-center face,Caltech101
32.7062,-7.768882,2,centered face,Caltech101
30.596544,-10.203158,1,off-center face,Caltech101
30.628746,-10.256548,1,off-center face,Caltech101
32.402573,-8.080756,1,off-center face,Caltech101
31.550459,-4.765135,2,centered face,Caltech101
30.595263,-11.106434,1,off-center face,Caltech101
32.105793,-10.707057,2,centered face,Caltech101
29.229769,-9.56213,2,centered face,Caltech101
32.559624,-7.820116,1,off-center face,Caltech101
30.427935,-11.176068,2,centered face,Caltech101
30.641775,-11.139424,2,centered face,Caltech101
30.718197,-11.189599,2,centered face,Caltech101
32.36135,-9.451383,2,centered face,Caltech101
30.298904,-8.413282,1,off-center face,Caltech101
28.904644,-6.670066,2,centered face,Caltech101
27.553818,-5.258933,1,off-center face,Caltech101
29.62739,-4.4294124,1,off-center face,Caltech101
30.805527,-9.004412,1,off-center face,Caltech101
29.258608,-9.527235,2,centered face,Caltech101
28.627764,-5.424188,2,centered face,Caltech101
29.87442,-6.439093,1,off-center face,Caltech101
29.743586,-4.4741597,2,centered face,Caltech101
29.747396,-6.3273196,2,centered face,Caltech101
29.94358,-6.1408715,1,off-center face,Caltech101
29.822407,-6.017579,2,centered face,Caltech101
30.954292,-9.949882,1,off-center face,Caltech101
28.592571,-5.4155574,1,off-center face,Caltech101
28.99701,-7.1234,1,off-center face,Caltech101
32.59988,-9.567073,1,off-center face,Caltech101
32.48271,-9.503325,2,centered face,Caltech101
0.32769117,-30.909657,3,airplane,CIFAR10
0.69231117,-33.47762,3,airplane,CIFAR10
0.25092062,-34.453304,3,airplane,CIFAR10
2.3309295,-34.554585,3,airplane,CIFAR10
0.09996477,-37.81372,3,airplane,CIFAR10
1.2602721,-34.12215,3,airplane,CIFAR10
-2.2183008,-37.135273,3,airplane,CIFAR10
1.0544791,-38.46894,3,airplane,CIFAR10
-1.7733163,-32.9935,3,airplane,CIFAR10
3.1824868,-34.354565,3,airplane,CIFAR10
-0.94425553,-35.587513,3,airplane,CIFAR10
0.16178569,-33.492508,3,airplane,CIFAR10
2.7800035,-36.151875,3,airplane,CIFAR10
-0.77164775,-39.30896,3,airplane,CIFAR10
0.055657662,-35.17062,3,airplane,CIFAR10
-2.9221694,-36.00297,3,airplane,CIFAR10
-2.1336093,-36.45946,3,airplane,CIFAR10
2.0220263,-32.887215,3,airplane,CIFAR10
0.31480458,-31.297764,3,airplane,CIFAR10
-1.7853686,-36.139503,3,airplane,CIFAR10
1.4226079,-34.87869,3,airplane,CIFAR10
1.9459162,-32.921074,3,airplane,CIFAR10
1.1281973,-37.99031,3,airplane,CIFAR10
-2.1291971,-36.517006,3,airplane,CIFAR10
0.7133315,-32.30516,3,airplane,CIFAR10
1.1021878,-31.806688,3,airplane,CIFAR10
-1.1243571,-35.352192,3,airplane,CIFAR10
0.11253361,-38.45723,3,airplane,CIFAR10
1.4886448,-35.436028,3,airplane,CIFAR10
2.2377348,-33.13729,3,airplane,CIFAR10
-0.56190443,-36.4219,3,airplane,CIFAR10
2.4317796,-35.027287,3,airplane,CIFAR10
-0.09645838,-38.370216,3,airplane,CIFAR10
-3.177753,-35.32982,3,airplane,CIFAR10
0.3079809,-33.75915,3,airplane,CIFAR10
0.56110626,-36.453075,3,airplane,CIFAR10
2.8414836,-28.051256,3,airplane,CIFAR10
2.4774835,-31.814442,3,airplane,CIFAR10
-0.20983993,-32.782005,3,airplane,CIFAR10
1.6970485,-36.487606,3,airplane,CIFAR10
1.460991,-38.929092,3,airplane,CIFAR10
0.85360587,-37.930096,3,airplane,CIFAR10
2.8608742,-36.225533,3,airplane,CIFAR10
0.80082005,-33.864666,3,airplane,CIFAR10
1.4938954,-38.987965,3,airplane,CIFAR10
0.23471382,-36.700436,3,airplane,CIFAR10
1.6640636,-33.28349,3,airplane,CIFAR10
-0.80440634,-39.33631,3,airplane,CIFAR10
0.91441077,-35.69067,3,airplane,CIFAR10
-1.1439441,-37.17563,3,airplane,CIFAR10
-1.3976672,-33.0694,3,airplane,CIFAR10
-0.48896426,-34.832577,3,airplane,CIFAR10
1.4946243,-37.00118,3,airplane,CIFAR10
-0.29847556,-33.354973,3,airplane,CIFAR10
-2.4711614,-37.273224,3,airplane,CIFAR10
1.3844624,-35.52476,3,airplane,CIFAR10
0.41919482,-34.43193,3,airplane,CIFAR10
