x,y,label,classname,dataset
5.9425173,-39.71212,0,707-320,Aircraft
7.6943865,-38.81008,0,707-320,Aircraft
6.3446712,-37.453037,0,707-320,Aircraft
7.641302,-40.923565,0,707-320,Aircraft
7.248394,-40.396225,0,707-320,Aircraft
7.0905313,-37.308548,0,707-320,Aircraft
7.476303,-40.215454,0,707-320,Aircraft
7.2147408,-39.454525,0,707-320,Aircraft
6.182312,-36.93953,0,707-320,Aircraft
8.648656,-40.057053,0,707-320,Aircraft
7.1775093,-38.000084,0,707-320,Aircraft
5.335563,-39.289486,0,707-320,Aircraft
7.1442356,-37.488186,0,707-320,Aircraft
8.554873,-39.011696,0,707-320,Aircraft
6.6625905,-39.780674,0,707-320,Aircraft
5.794132,-39.36245,0,707-320,Aircraft
6.3952403,-38.685562,0,707-320,Aircraft
6.714558,-38.209225,0,707-320,Aircraft
8.062299,-37.59854,0,707-320,Aircraft
7.150293,-41.229572,0,707-320,Aircraft
6.129417,-40.449886,0,707-320,Aircraft
5.847508,-38.12368,0,707-320,Aircraft
7.511395,-40.23802,0,707-320,Aircraft
5.853011,-38.59245,0,707-320,Aircraft
7.4893103,-40.10906,0,707-320,Aircraft
6.7243123,-39.092697,0,707-320,Aircraft
7.481264,-39.12276,0,707-320,Aircraft
7.3241267,-40.383568,0,707-320,Aircraft
8.070582,-40.70567,0,707-320,Aircraft
7.2743216,-37.658825,0,707-320,Aircraft
6.5811353,-39.357685,0,707-320,Aircraft
8.108937,-37.84486,0,707-320,Aircraft
6.5532136,-41.07807,0,707-320,Aircraft
29.287642,2.0560248,1,off-center face,Caltech101
30.134918,0.7068564,1,off-center face,Caltech101
29.00681,2.5818675,1,off-center face,Caltech101
30.760412,7.1729574,2,centered face,Caltech101
31.711927,4.5640826,1,off-center face,Caltech101
31.599455,4.6148334,1,off-center face,Caltech101
32.36282,6.6450214,2,centered face,Caltech101
28.394659,0.9106453,1,off-center face,Caltech101
30.170652,6.026976,1,off-center face,Caltech101
31.581676,2.0208323,2,centered face,Caltech101
29.98761,4.8475437,1,off-center face,Caltech101
32.511383,6.7234845,1,off-center face,Caltech101
32.44714,6.7142725,1,off-center face,Caltech101
30.261137,1.8723329,2,centered face,Caltech101
29.94187,4.917284,2,centered face,Caltech101
28.637798,3.040082,1,off-center face,Caltech101
28.350723,3.5699627,1,off-center face,Caltech101
29.041475,5.58611,1,off-center face,Caltech101
31.539751,2.006918,1,off-center face,Caltech101
31.560406,1.9772856,2,centered face,Caltech101
28.20659,1.8142974,1,off-center face,Caltech101
28.233768,1.7595731,1,off-center face,Caltech101
31.051317,2.055506,1,off-center face,Caltech101
32.604137,6.779763,2,centered face,Caltech101
27.678017,1.1004244,1,off-center face,Caltech101
28.978071,0.38008538,2,centered face,Caltech101
27.534033,3.3525941,2,centered face,Caltech101
31.400696,2.049287,1,off-center face,Caltech101
27.473497,1.0620456,2,centered face,Caltech101
27.650728,0.9644411,2,centered face,Caltech101
27.717901,0.9073023,2,centered face,Caltech101
30.03037,1.1576008,2,centered face,Caltech101
29.269466,3.241414,1,off-center face,Caltech101
30.014606,4.9326553,2,centered face,Caltech101
31.952393,4.4477906,1,off-center face,Caltech101
30.742508,7.206304,1,off-center face,Caltech101
29.171398,2.5415068,1,off-center face,Caltech101
27.532013,3.3594666,2,centered face,Caltech101
31.459839,5.2214146,2,centered face,Caltech101
29.96048,5.8598104,1,off-center face,Caltech101
30.772585,7.2311697,2,centered face,Caltech101
30.146404,5.787968,2,centered face,Caltech101
30.230614,6.0101604,1,off-center face,Caltech101
30.41999,5.9171195,2,centered face,Caltech101
28.570621,1.6328804,1,off-center face,Caltech101
31.458105,5.1808605,1,off-center face,Caltech101
29.383286,5.2566953,1,off-center face,Caltech101
30.134521,0.910793,1,off-center face,Caltech101
30.085344,1.0743272,2,centered face,Caltech101
4.8136616,-21.56493,3,airplane,CIFAR10
5.2406344,-24.1437,3,airplane,CIFAR10
3.7995288,-24.002941,3,airplane,CIFAR10
6.5959606,-23.172697,3,airplane,CIFAR10
7.1206946,-26.87941,3,airplane,CIFAR10
5.2096663,-23.194372,3,airplane,CIFAR10
8.285037,-26.17746,3,airplane,CIFAR10
6.087028,-28.114079,3,airplane,CIFAR10
2.6189091,-24.800303,3,airplane,CIFAR10
6.2333417,-23.849474,3,airplane,CIFAR10
3.8870244,-26.560492,3,airplane,CIFAR10
4.5288687,-24.975567,3,airplane,CIFAR10
8.157825,-23.835,3,airplane,CIFAR10
6.2524915,-26.452372,3,airplane,CIFAR10
4.308882,-25.202616,3,airplane,CIFAR10
9.352109,-26.191889,3,airplane,CIFAR10
8.829175,-25.475052,3,airplane,CIFAR10
5.9245214,-22.634504,3,airplane,CIFAR10
5.092189,-26.211693,3,airplane,CIFAR10
8.907282,-25.137228,3,airplane,CIFAR10
5.444084,-25.0156,3,airplane,CIFAR10
5.583174,-22.789175,3,airplane,CIFAR10
5.4092846,-27.94205,3,airplane,CIFAR10
8.753488,-25.614029,3,airplane,CIFAR10
4.948841,-25.257895,3,airplane,CIFAR10
4.9177885,-22.172283,3,airplane,CIFAR10
3.74669,-26.749287,3,airplane,CIFAR10
