x,y,label,classname,dataset
-29.701563,-26.622053,0,707-320,Aircraft
-31.395424,-25.590704,0,707-320,Aircraft
-30.630777,-30.651772,0,707-320,Aircraft
-30.67357,-24.573332,0,707-320,Aircraft
-30.704865,-24.63297,0,707-320,Aircraft
-31.804365,-29.591341,0,707-320,Aircraft
-30.660025,-24.71086,0,707-320,Aircraft
-29.86019,-25.84184,0,707-320,Aircraft
-31.276268,-34.55573,0,707-320,Aircraft
-29.708324,-25.309721,0,707-320,Aircraft
-31.087969,-29.345442,0,707-320,Aircraft
-29.877481,-26.861305,0,707-320,Aircraft
-31.721018,-30.558455,0,707-320,Aircraft
-29.245777,-25.724379,0,707-320,Aircraft
-30.286798,-25.727829,0,707-320,Aircraft
-29.888754,-26.835852,0,707-320,Aircraft
-30.715208,-27.32899,0,707-320,Aircraft
-32.811726,-28.117474,0,707-320,Aircraft
-31.19359,-29.075312,0,707-320,Aircraft
-30.768723,-24.46012,0,707-320,Aircraft
-29.821167,-25.303947,0,707-320,Aircraft
-30.682365,-28.463734,0,707-320,Aircraft
-30.689602,-24.726236,0,707-320,Aircraft
-32.01753,-26.68815,0,707-320,Aircraft
-30.733454,-24.72237,0,707-320,Aircraft
-30.319656,-26.010433,0,707-320,Aircraft
-29.911987,-26.146233,0,707-320,Aircraft
-30.65782,-24.715012,0,707-320,Aircraft
-30.751722,-24.587534,0,707-320,Aircraft
-30.91693,-29.741808,0,707-320,Aircraft
-30.379993,-26.209103,0,707-320,Aircraft
-31.05221,-28.71196,0,707-320,Aircraft
-30.569506,-25.070864,0,707-320,Aircraft
-30.02386,-25.382998,1,727-200,Aircraft
-29.375868,-32.705795,1,727-200,Aircraft
-31.941336,-27.747627,1,727-200,Aircraft
-33.192577,-28.665775,1,727-200,Aircraft
-32.71122,-28.261621,1,727-200,Aircraft
-29.96022,-26.118273,1,727-200,Aircraft
-27.150854,-27.32812,1,727-200,Aircraft
-29.882109,-26.408585,1,727-200,Aircraft
-30.865932,-27.173267,1,727-200,Aircraft
-29.670568,-28.32242,1,727-200,Aircraft
-31.401356,-29.128262,1,727-200,Aircraft
-29.456442,-25.870977,1,727-200,Aircraft
-30.69145,-31.47893,1,727-200,Aircraft
-34.935234,-24.540379,1,727-200,Aircraft
-30.16333,-25.678247,1,727-200,Aircraft
-30.183224,-26.165112,1,727-200,Aircraft
-31.038538,-29.416533,1,727-200,Aircraft
-32.916904,-28.738476,1,727-200,Aircraft
-30.19951,-26.59513,1,727-200,Aircraft
-29.950888,-28.208433,1,727-200,Aircraft
-32.987465,-30.448738,1,727-200,Aircraft
-29.297134,-29.665434,1,727-200,Aircraft
-28.574425,-35.15183,1,727-200,Aircraft
-30.678505,-24.72008,1,727-200,Aircraft
-30.724644,-24.503605,1,727-200,Aircraft
-31.644444,-25.873322,1,727-200,Aircraft
-28.376505,-29.303291,1,727-200,Aircraft
-30.474163,-24.93533,1,727-200,Aircraft
-30.306622,-24.921124,1,727-200,Aircraft
-31.973234,-26.824375,1,727-200,Aircraft
-33.427143,-27.31629,1,727-200,Aircraft
-32.91633,-28.183725,1,727-200,Aircraft
-27.82354,-30.262642,1,727-200,Aircraft
-34.344307,-32.018738,2,737-200,Aircraft
-29.254671,-24.793987,2,737-200,Aircraft
-31.581755,-27.337782,2,737-200,Aircraft
-29.90377,-32.105625,2,737-200,Aircraft
-29.415976,-25.712355,2,737-200,Aircraft
-26.420593,-29.114979,2,737-200,Aircraft
-29.197533,-26.720026,2,737-200,Aircraft
-30.706583,-25.865223,2,737-200,Aircraft
-30.078112,-36.23426,2,737-200,Aircraft
-31.190786,-29.655514,2,737-200,Aircraft
-30.301926,-25.796902,2,737-200,Aircraft
-32.398823,-32.653786,2,737-200,Aircraft
-27.888624,-30.813742,2,737-200,Aircraft
-31.445663,-33.06052,2,737-200,Aircraft
-31.241552,-29.73708,2,737-200,Aircraft
-29.536558,-33.58082,2,737-200,Aircraft
-34.153236,-27.02932,2,737-200,Aircraft
-29.472181,-32.422997,2,737-200,Aircraft
-31.49061,-27.335869,2,737-200,Aircraft
-32.129433,-30.84607,2,737-200,Aircraft
-29.411182,-29.854935,2,737-200,Aircraft
-31.8922,-31.96,2,737-200,Aircraft
-32.331615,-30.415857,2,737-200,Aircraft
-31.020416,-28.719807,2,737-200,Aircraft
-30.909859,-31.792597,2,737-200,Aircraft
-31.397589,-27.284437,2,737-200,Aircraft
-29.929327,-31.80857,2,737-200,Aircraft
-31.828135,-29.65177,2,737-200,Aircraft
