x,y,z,label,classname,dataset
3.7777517,-21.76167,1.8628274,0,707-320,Aircraft
3.201776,-21.17313,4.0109468,0,707-320,Aircraft
4.243786,-20.352926,3.1079612,0,707-320,Aircraft
2.559544,-23.324442,3.676202,0,707-320,Aircraft
3.0976167,-22.476269,4.067063,0,707-320,Aircraft
2.4834325,-19.63036,2.753347,0,707-320,Aircraft
3.1634855,-22.737581,4.1550927,0,707-320,Aircraft
3.3101704,-22.071144,3.1374538,0,707-320,Aircraft
4.032961,-20.03657,1.6967262,0,707-320,Aircraft
3.895248,-23.321398,3.1368315,0,707-320,Aircraft
3.3267858,-20.234116,2.879873,0,707-320,Aircraft
2.1418676,-21.97089,1.8065511,0,707-320,Aircraft
3.2763512,-19.866093,2.4320164,0,707-320,Aircraft
4.5159645,-21.64958,4.226723,0,707-320,Aircraft
2.8595057,-22.17601,2.9038072,0,707-320,Aircraft
2.7187006,-21.942951,1.7127358,0,707-320,Aircraft
3.2183151,-21.357258,2.6710353,0,707-320,Aircraft
2.2433224,-20.285471,2.5892093,0,707-320,Aircraft
3.3252828,-19.619188,3.762901,0,707-320,Aircraft
2.004849,-23.113178,3.0058208,0,707-320,Aircraft
3.1682765,-23.037016,2.364488,0,707-320,Aircraft
2.0366006,-20.586437,3.7623382,0,707-320,Aircraft
2.1726034,-22.280006,4.037743,0,707-320,Aircraft
2.3659,-21.053652,2.0690503,0,707-320,Aircraft
2.6916597,-22.120028,4.3937387,0,707-320,Aircraft
2.3453186,-21.401203,3.2091875,0,707-320,Aircraft
4.027762,-21.675062,3.0513303,0,707-320,Aircraft
2.532093,-22.485659,3.4110618,0,707-320,Aircraft
1.8606743,-22.827602,4.383426,0,707-320,Aircraft
3.499092,-19.879618,2.830841,0,707-320,Aircraft
1.72828,-21.846806,3.1709006,0,707-320,Aircraft
2.7707236,-19.928318,4.349698,0,707-320,Aircraft
0.9290382,-22.720339,3.3417637,0,707-320,Aircraft
11.929456,-3.9125798,-11.035607,1,off-center face,Caltech101
11.363743,-5.685663,-11.683091,1,off-center face,Caltech101
12.614519,-4.707624,-10.4657135,1,off-center face,Caltech101
8.713648,-1.5489136,-9.622471,2,centered face,Caltech101
9.749938,-1.1281368,-11.66318,1,off-center face,Caltech101
9.779181,-1.2142802,-11.578236,1,off-center face,Caltech101
8.741981,-3.7586799,-10.44421,2,centered face,Caltech101
13.057178,-3.829784,-12.599814,1,off-center face,Caltech101
10.2406,-2.7253716,-8.847392,1,off-center face,Caltech101
10.909811,-3.5766919,-13.447638,2,centered face,Caltech101
10.853863,-1.5681673,-10.3361225,1,off-center face,Caltech101
8.702902,-3.8716846,-10.426435,1,off-center face,Caltech101
8.755606,-3.7636554,-10.050521,1,off-center face,Caltech101
11.979172,-5.1655035,-12.82008,2,centered face,Caltech101
10.900222,-1.6789953,-10.344191,2,centered face,Caltech101
12.897571,-4.7600374,-9.742187,1,off-center face,Caltech101
12.998559,-4.5847073,-9.18699,1,off-center face,Caltech101
10.83869,-0.63483226,-9.534794,1,off-center face,Caltech101
10.851714,-3.586095,-13.440685,1,off-center face,Caltech101
11.000993,-3.6460326,-13.372242,2,centered face,Caltech101
12.657271,-3.4866905,-11.183648,1,off-center face,Caltech101
12.600835,-3.3056905,-11.431833,1,off-center face,Caltech101
10.994286,-4.1002564,-12.669134,1,off-center face,Caltech101
8.586428,-3.9504242,-10.529808,2,centered face,Caltech101
13.567316,-3.2405252,-11.867255,1,off-center face,Caltech101
13.113699,-5.227744,-11.950537,2,centered face,Caltech101
13.083371,-3.1710908,-9.798772,2,centered face,Caltech101
10.529314,-3.6846056,-13.148066,1,off-center face,Caltech101
13.312092,-2.8613963,-11.915923,2,centered face,Caltech101
13.53909,-2.7894638,-12.253283,2,centered face,Caltech101
13.420972,-2.9434838,-12.233486,2,centered face,Caltech101
11.585645,-5.1541934,-12.046023,2,centered face,Caltech101
11.635154,-4.7899914,-9.885105,1,off-center face,Caltech101
10.768875,-1.642562,-10.301359,2,centered face,Caltech101
9.6514225,-0.8543931,-11.956021,1,off-center face,Caltech101
8.6735735,-1.4788333,-9.594386,1,off-center face,Caltech101
12.285912,-4.685056,-10.558398,1,off-center face,Caltech101
13.093884,-3.178572,-9.799808,2,centered face,Caltech101
9.516015,-2.249183,-11.312661,2,centered face,Caltech101
10.7027025,-2.4768755,-9.355275,1,off-center face,Caltech101
8.694161,-1.6828905,-9.574496,2,centered face,Caltech101
10.498545,-2.3590837,-9.534233,2,centered face,Caltech101
10.134569,-2.7667367,-8.729823,1,off-center face,Caltech101
10.110408,-2.522473,-9.399477,2,centered face,Caltech101
13.023345,-4.1339,-11.113576,1,off-center face,Caltech101
9.520978,-2.2109454,-11.380797,1,off-center face,Caltech101
11.079375,-1.5550107,-9.4631605,1,off-center face,Caltech101
11.326758,-5.308904,-11.937951,1,off-center face,Caltech101
11.454041,-5.2968683,-11.96391,2,centered face,Caltech101
11.932475,-12.89892,-2.8709795,3,airplane,CIFAR10
10.412427,-11.242895,0.46652558,3,airplane,CIFAR10
11.669686,-12.234442,0.9289002,3,airplane,CIFAR10
9.592372,-11.277434,-0.26779383,3,airplane,CIFAR10
9.081567,-14.246926,-1.5021374,3,airplane,CIFAR10
11.8091545,-13.477533,0.5175668,3,airplane,CIFAR10
8.964197,-11.381446,-3.830035,3,airplane,CIFAR10
8.547445,-14.5088625,-0.39478755,3,airplane,CIFAR10
8.349007,-14.401385,2.1633883,3,airplane,CIFAR10
11.152815,-12.001363,1.825956,3,airplane,CIFAR10
9.633433,-11.381558,-2.3853037,3,airplane,CIFAR10
9.4860525,-13.759008,0.76242244,3,airplane,CIFAR10
8.824279,-10.645512,0.8555958,3,airplane,CIFAR10
7.1550303,-12.389597,-0.8242619,3,airplane,CIFAR10
10.954932,-13.022393,-0.30297315,3,airplane,CIFAR10
8.9964485,-10.987536,-3.7209709,3,airplane,CIFAR10
9.163476,-10.624106,-3.3970785,3,airplane,CIFAR10
10.266899,-9.125176,1.004872,3,airplane,CIFAR10
11.519467,-13.107424,-2.9027135,3,airplane,CIFAR10
9.679424,-11.973866,-2.210484,3,airplane,CIFAR10
8.690265,-12.431779,1.1279736,3,airplane,CIFAR10
10.285955,-9.297692,0.9566014,3,airplane,CIFAR10
8.711242,-14.057161,0.1830467,3,airplane,CIFAR10
9.796676,-12.545459,-3.490469,3,airplane,CIFAR10
9.674771,-13.171,-0.20553082,3,airplane,CIFAR10
10.371759,-11.620394,-1.4208143,3,airplane,CIFAR10
10.062835,-14.549002,0.63852096,3,airplane,CIFAR10
7.5738454,-12.844312,-1.2893885,3,airplane,CIFAR10
10.732243,-11.848225,-0.7698518,3,airplane,CIFAR10
10.59711,-10.062164,1.4743195,3,airplane,CIFAR10
10.920503,-14.655732,-0.22275588,3,airplane,CIFAR10
9.86294,-10.344667,-0.5932421,3,airplane,CIFAR10
8.967112,-12.853867,-2.0723393,3,airplane,CIFAR10
7.945622,-14.65328,1.9412086,3,airplane,CIFAR10
10.192368,-12.821967,1.0833634,3,airplane,CIFAR10
10.9804,-13.338534,-2.4622693,3,airplane,CIFAR10
9.414153,-11.636342,2.3902676,3,airplane,CIFAR10
11.4990835,-12.876628,-0.0037935544,3,airplane,CIFAR10
9.813712,-12.095649,1.497082,3,airplane,CIFAR10
9.156875,-13.954176,-0.88408446,3,airplane,CIFAR10
8.362877,-14.78332,-0.10178233,3,airplane,CIFAR10
8.931324,-12.603144,-0.5347705,3,airplane,CIFAR10
9.937546,-13.624211,2.1209197,3,airplane,CIFAR10
11.874028,-11.342316,1.597306,3,airplane,CIFAR10
8.093969,-14.997649,-0.07658456,3,airplane,CIFAR10
9.384499,-13.627443,-0.3915826,3,airplane,CIFAR10
10.714988,-10.228527,1.3997223,3,airplane,CIFAR10
7.0034437,-12.27113,-0.781233,3,airplane,CIFAR10
12.146534,-11.287337,-0.13760443,3,airplane,CIFAR10
9.483392,-13.659035,-1.969868,3,airplane,CIFAR10
9.387844,-13.813713,1.2123116,3,airplane,CIFAR10
10.658279,-12.376791,-1.6498055,3,airplane,CIFAR10
9.484328,-12.267102,-3.5181696,3,airplane,CIFAR10
9.723002,-12.211754,1.4239587,3,airplane,CIFAR10
9.38931,-10.336047,-2.6794899,3,airplane,CIFAR10
11.386772,-11.817939,-1.2036067,3,airplane,CIFAR10
11.40184,-12.288136,0.60499847,3,airplane,CIFAR10
8.147713,-6.2965236,-1.8199146,4,apple,CIFAR100
7.9666967,-5.995819,-0.8153785,4,apple,CIFAR100
8.347778,-5.589183,-1.1451681,4,apple,CIFAR100
7.865132,-5.357461,-2.0016682,4,apple,CIFAR100
8.301065,-6.4209647,-1.6497836,4,apple,CIFAR100
8.257291,-6.1858983,-1.3713675,4,apple,CIFAR100
8.101796,-6.1902976,-1.2962625,4,apple,CIFAR100
12.397404,-2.8189392,6.127398,5,banded,DTD
11.884309,-1.7606193,5.847411,5,banded,DTD
12.777182,-2.7484221,6.655343,5,banded,DTD
10.018258,-0.64277554,7.4663577,5,banded,DTD
12.601335,-4.3341036,3.7861512,5,banded,DTD
11.332996,-2.071065,7.130219,5,banded,DTD
12.317446,-3.3568237,4.4532423,5,banded,DTD
12.507355,-1.715002,5.7931924,5,banded,DTD
11.825906,-3.701129,5.6797724,5,banded,DTD
10.185554,-0.9833591,6.6210265,5,banded,DTD
11.715,-2.7586386,6.731399,5,banded,DTD
13.379274,-2.0547087,5.0116444,5,banded,DTD
12.3402605,-3.8730042,4.27609,5,banded,DTD
12.9010105,-2.975386,6.0430245,5,banded,DTD
11.877912,-3.2503533,6.213077,5,banded,DTD
13.452724,-1.9979771,4.987777,5,banded,DTD
12.286491,-3.702412,4.395639,5,banded,DTD
13.710991,-2.836114,6.3517346,5,banded,DTD
13.046274,-1.2840409,6.497077,5,banded,DTD
12.7424345,-1.6993947,5.6099734,5,banded,DTD
7.7508,-2.598382,5.423081,5,banded,DTD
8.965002,-2.0419424,4.257983,5,banded,DTD
8.3636265,-0.7002745,4.550694,5,banded,DTD
8.039558,-2.6115484,4.4753194,5,banded,DTD
8.26241,-1.202482,4.8239822,5,banded,DTD
9.069667,-1.7779125,4.9426026,5,banded,DTD
7.6505904,-1.747868,5.3150578,5,banded,DTD
8.031591,-2.5895,4.4072003,5,banded,DTD
8.6872225,-0.49038413,5.3002596,5,banded,DTD
8.903179,-1.4299606,7.0366573,5,banded,DTD
9.375071,-2.103177,6.581729,5,banded,DTD
8.928413,-1.5709099,5.9538655,5,banded,DTD
7.6523232,-1.9369675,4.4215083,5,banded,DTD
10.720757,-4.066845,4.645866,5,banded,DTD
8.771854,-1.2639996,4.2435174,5,banded,DTD
9.452145,-0.6882969,5.185227,5,banded,DTD
8.946293,-1.4817017,5.080246,5,banded,DTD
11.123088,-1.7536219,5.457561,5,banded,DTD
10.380027,-1.1265279,6.5132055,5,banded,DTD
10.07061,-2.0863683,6.8296914,5,banded,DTD
3.510235,-6.093354,11.102807,6,annual crop land,EuroSAT
2.1127975,-6.87303,13.500162,6,annual crop land,EuroSAT
