x,y,z,label,classname,dataset
-24.46646,10.772665,-0.8978648,0,707-320,Aircraft
-25.178072,12.451963,-1.5444198,0,707-320,Aircraft
-26.666647,12.4465275,7.634066,0,707-320,Aircraft
-28.530258,12.11228,-2.159537,0,707-320,Aircraft
-25.700378,11.996327,-1.6574667,0,707-320,Aircraft
-24.338991,10.697964,-0.8681077,0,707-320,Aircraft
-30.05151,9.065111,0.052284643,0,707-320,Aircraft
-25.803864,10.99148,-1.9600502,0,707-320,Aircraft
-26.111948,13.119207,3.3922133,0,707-320,Aircraft
-27.757067,12.984549,-1.4137758,0,707-320,Aircraft
-27.94391,14.085661,0.662183,0,707-320,Aircraft
-26.74346,10.813417,-1.3375571,0,707-320,Aircraft
-27.791222,11.641621,-0.16280128,0,707-320,Aircraft
-29.275747,11.117958,-3.818268,0,707-320,Aircraft
-24.860744,12.827746,-1.0994874,0,707-320,Aircraft
-22.80117,11.423414,1.839675,0,707-320,Aircraft
-25.314735,14.289521,3.6520708,0,707-320,Aircraft
-27.050537,8.23676,-2.6559765,0,707-320,Aircraft
-34.205254,6.0215187,1.2130824,0,707-320,Aircraft
-25.614576,11.795513,-1.2597463,0,707-320,Aircraft
-29.067438,9.272254,-2.4849308,0,707-320,Aircraft
-26.898338,13.94493,3.1822472,0,707-320,Aircraft
-28.62428,11.206334,-2.7551682,0,707-320,Aircraft
-24.597319,13.605394,4.5000005,0,707-320,Aircraft
-28.71218,12.170557,-2.1224363,0,707-320,Aircraft
-27.048626,9.848875,-1.5818417,0,707-320,Aircraft
-29.170332,11.12536,-3.6942356,0,707-320,Aircraft
-25.356777,12.243562,-1.3622937,0,707-320,Aircraft
-28.751062,12.128395,-2.0134783,0,707-320,Aircraft
-28.051535,11.171199,2.2666473,0,707-320,Aircraft
-24.739328,13.518436,-0.25600424,0,707-320,Aircraft
-23.611183,10.335502,-0.04124495,0,707-320,Aircraft
-28.162294,12.024644,-1.9557484,0,707-320,Aircraft
-23.764297,11.060903,-1.3905,1,727-200,Aircraft
-27.214228,8.909306,2.639548,1,727-200,Aircraft
-25.195505,11.188863,-0.8328663,1,727-200,Aircraft
-23.108974,11.265881,1.3521541,1,727-200,Aircraft
-27.33334,8.760227,-3.088627,1,727-200,Aircraft
-29.187994,11.483665,-0.5461201,1,727-200,Aircraft
-29.152033,9.051792,-1.3297386,1,727-200,Aircraft
-26.40232,9.537148,-0.7360063,1,727-200,Aircraft
-25.25338,11.095629,-0.58491004,1,727-200,Aircraft
-27.73725,8.366973,4.320803,1,727-200,Aircraft
-24.77022,10.7656145,2.276515,1,727-200,Aircraft
-25.966686,10.779357,-3.8721113,1,727-200,Aircraft
-25.504333,10.795754,-0.88458866,1,727-200,Aircraft
-29.324474,10.935957,-3.7629716,1,727-200,Aircraft
-27.598475,11.114064,-2.4412808,1,727-200,Aircraft
-27.851707,11.089119,-2.4522688,1,727-200,Aircraft
-27.33668,7.754938,-3.508396,1,727-200,Aircraft
-21.937513,9.040289,7.6963353,1,727-200,Aircraft
-25.009117,9.4315815,1.9292619,1,727-200,Aircraft
-26.158108,7.278599,2.0592217,1,727-200,Aircraft
-27.483036,9.224334,-2.931186,1,727-200,Aircraft
-26.06122,13.404573,3.3580084,1,727-200,Aircraft
-28.952011,10.898119,-0.38356608,1,727-200,Aircraft
-27.886044,14.295738,0.19882697,1,727-200,Aircraft
-26.533108,12.158474,-1.3517343,1,727-200,Aircraft
-27.985985,11.135768,-2.3152907,1,727-200,Aircraft
-27.37112,7.8827753,0.21415958,1,727-200,Aircraft
-25.621275,8.7951355,0.18402557,1,727-200,Aircraft
-25.540525,7.069999,1.7457142,1,727-200,Aircraft
-24.309053,11.971822,1.4204187,1,727-200,Aircraft
-26.290413,12.388293,-0.37148392,1,727-200,Aircraft
-25.363453,11.337125,-0.92350346,1,727-200,Aircraft
-27.05296,11.134482,1.4004856,1,727-200,Aircraft
-24.153162,13.306102,4.499948,2,737-200,Aircraft
-27.824625,11.911423,-1.9667974,2,737-200,Aircraft
-26.08003,8.460833,2.2855394,2,737-200,Aircraft
-28.30977,10.760911,-0.013575715,2,737-200,Aircraft
-24.62327,7.8636327,1.0874443,2,737-200,Aircraft
-29.186062,11.120136,-3.9182253,2,737-200,Aircraft
-27.94867,12.107529,0.19350408,2,737-200,Aircraft
-24.367811,11.884582,1.217689,2,737-200,Aircraft
-28.61934,8.394171,-0.88252604,2,737-200,Aircraft
-26.726507,12.231592,3.7117634,2,737-200,Aircraft
-24.35216,10.387461,-1.309808,2,737-200,Aircraft
-26.860226,13.50196,5.5946083,2,737-200,Aircraft
-25.816372,7.6486807,4.899249,2,737-200,Aircraft
-26.640146,12.521812,7.5615997,2,737-200,Aircraft
-25.929014,8.221508,0.36096197,2,737-200,Aircraft
-26.722088,13.391997,5.488632,2,737-200,Aircraft
-23.29218,7.8034725,10.082847,2,737-200,Aircraft
-28.411287,10.342579,-0.6890104,2,737-200,Aircraft
-25.174274,12.341981,-1.2485346,2,737-200,Aircraft
-28.876823,11.071761,-3.2777197,2,737-200,Aircraft
-24.426357,9.435431,-0.08501389,2,737-200,Aircraft
-25.917646,9.758349,0.16677384,2,737-200,Aircraft
-26.802107,10.74049,-2.317822,2,737-200,Aircraft
-27.505407,9.001327,-3.0472987,2,737-200,Aircraft
-26.434792,9.327431,-1.517979,2,737-200,Aircraft
-25.300526,11.165067,0.0573562,2,737-200,Aircraft
-25.510462,13.920786,5.2786107,2,737-200,Aircraft
-26.652027,11.491166,-1.1174363,2,737-200,Aircraft
-25.79085,11.227752,1.8614142,2,737-200,Aircraft
-25.786144,13.282355,3.8212106,2,737-200,Aircraft
-28.320812,9.8509,-2.642671,2,737-200,Aircraft
-27.327978,10.286078,-0.19236961,2,737-200,Aircraft
-29.105547,11.017917,-4.1922727,2,737-200,Aircraft
-1.4533272,7.7550035,25.902061,2,737-200,Aircraft
-29.19601,11.18752,-0.3633958,3,737-300,Aircraft
-26.398796,10.899625,1.5264668,3,737-300,Aircraft
-26.16154,11.363011,-1.0036372,3,737-300,Aircraft
-27.15492,13.246311,2.4700468,3,737-300,Aircraft
-25.29103,11.248294,-0.4205825,3,737-300,Aircraft
-26.878845,10.109745,4.1018186,3,737-300,Aircraft
-25.70681,9.032126,5.541585,3,737-300,Aircraft
-24.989485,14.241752,3.6862187,3,737-300,Aircraft
-27.576664,11.903777,-0.42295808,3,737-300,Aircraft
-26.612572,10.460186,1.5418901,3,737-300,Aircraft
-26.329912,13.999023,3.5370455,3,737-300,Aircraft
-25.26696,14.062145,7.165185,3,737-300,Aircraft
-26.7717,13.610216,0.66490805,3,737-300,Aircraft
-25.991905,7.6978283,3.728419,3,737-300,Aircraft
-27.423525,12.618349,-1.4224176,3,737-300,Aircraft
-29.913494,9.172406,-0.08522455,3,737-300,Aircraft
-26.893625,6.737205,2.2445567,3,737-300,Aircraft
-24.185509,10.577886,-0.77646476,3,737-300,Aircraft
-28.069078,8.427513,-0.2705917,3,737-300,Aircraft
-23.458801,8.19857,10.216137,3,737-300,Aircraft
-22.930817,11.290833,1.3470691,3,737-300,Aircraft
-26.99385,6.7484856,2.1808844,3,737-300,Aircraft
-24.273771,9.2297535,1.0400616,3,737-300,Aircraft
-26.165108,10.58071,-1.8057673,3,737-300,Aircraft
-25.315012,13.761587,6.30965,3,737-300,Aircraft
-25.932316,8.685267,5.2065325,3,737-300,Aircraft
-27.359558,8.38495,0.5595239,3,737-300,Aircraft
-27.470943,9.409678,-2.7053425,3,737-300,Aircraft
-25.654156,7.704431,4.9749293,3,737-300,Aircraft
-26.258339,14.568029,3.2642117,3,737-300,Aircraft
-25.719969,9.314031,-0.20928214,3,737-300,Aircraft
-26.114569,11.897598,3.9913044,3,737-300,Aircraft
-25.409967,5.569972,3.5957017,3,737-300,Aircraft
-26.290743,13.353271,4.8006682,4,737-400,Aircraft
-28.571783,11.294675,1.4756984,4,737-400,Aircraft
-23.274788,9.935552,-0.4270967,4,737-400,Aircraft
-27.184813,8.601062,-0.13511427,4,737-400,Aircraft
-26.943094,9.638036,4.037263,4,737-400,Aircraft
-26.290743,6.853467,2.2669969,4,737-400,Aircraft
-25.290565,13.761426,6.4564424,4,737-400,Aircraft
-25.878788,8.923808,5.4336376,4,737-400,Aircraft
-28.182247,8.344435,-0.67815775,4,737-400,Aircraft
-29.3834,11.78721,-0.9386877,4,737-400,Aircraft
-25.08377,13.922915,5.8910565,4,737-400,Aircraft
-26.968512,11.3207655,-2.9783392,4,737-400,Aircraft
-26.797283,13.879038,3.2085037,4,737-400,Aircraft
-22.805779,15.024595,1.6837054,4,737-400,Aircraft
-26.741783,14.129015,3.3808398,4,737-400,Aircraft
-25.230467,14.880222,4.8948784,4,737-400,Aircraft
-27.8804,11.002485,2.333034,4,737-400,Aircraft
-27.110895,8.239252,-2.6481462,4,737-400,Aircraft
-24.031069,7.6461587,5.1987877,4,737-400,Aircraft
-27.412127,11.578078,0.87217486,4,737-400,Aircraft
-29.058163,11.684455,-1.3609322,4,737-400,Aircraft
-27.597218,6.4592576,1.9523644,4,737-400,Aircraft
-24.218117,11.047059,-1.0036533,4,737-400,Aircraft
-25.78537,12.268276,-2.0101058,4,737-400,Aircraft
-27.761415,11.076526,-2.8200188,4,737-400,Aircraft
-24.559559,8.62478,2.1581607,4,737-400,Aircraft
-28.15349,14.002747,1.467536,4,737-400,Aircraft
-25.102734,9.247928,-0.18969321,4,737-400,Aircraft
-25.639534,13.441382,6.041668,4,737-400,Aircraft
-25.888535,13.295038,4.9509892,4,737-400,Aircraft
-27.402729,11.865196,-1.110407,4,737-400,Aircraft
-25.862944,11.516122,4.7875643,4,737-400,Aircraft
-27.444977,10.453053,0.1483869,4,737-400,Aircraft
-26.891132,8.735431,1.7948686,5,737-500,Aircraft
-27.039848,9.126906,-1.5037585,5,737-500,Aircraft
-26.193537,7.678725,1.9949095,5,737-500,Aircraft
-26.460817,13.147307,5.307757,5,737-500,Aircraft
-25.836763,13.41004,6.990133,5,737-500,Aircraft
-26.350262,12.572172,7.4992085,5,737-500,Aircraft
-25.355047,8.593538,4.185916,5,737-500,Aircraft
-27.163069,13.870422,1.0159513,5,737-500,Aircraft
-26.12676,12.900406,4.3071747,5,737-500,Aircraft
-26.017956,13.268818,5.7895675,5,737-500,Aircraft
-27.24248,8.108699,4.250117,5,737-500,Aircraft
-27.302599,7.2181563,1.3939998,5,737-500,Aircraft
-29.20595,8.800046,-1.2730281,5,737-500,Aircraft
-26.36945,10.386534,3.8496227,5,737-500,Aircraft
-21.324696,12.088283,3.1509264,5,737-500,Aircraft
-26.124874,8.377599,0.8585366,5,737-500,Aircraft
-26.280058,9.469993,0.4914556,5,737-500,Aircraft
-28.097252,8.418248,-1.0335974,5,737-500,Aircraft
-23.454159,8.993418,0.7680055,5,737-500,Aircraft
-26.769405,7.6733813,1.2752733,5,737-500,Aircraft
-27.079185,11.094463,1.630758,5,737-500,Aircraft
-25.877756,11.849807,4.8009377,5,737-500,Aircraft
-27.077036,-2.5331116,10.311977,5,737-500,Aircraft
-24.993017,7.875795,5.1894217,5,737-500,Aircraft
-25.11339,9.221983,1.9376712,5,737-500,Aircraft
-28.559927,9.614097,-2.4010208,5,737-500,Aircraft
-25.907084,12.6463995,4.3442044,5,737-500,Aircraft
-28.817663,11.671101,0.72134787,5,737-500,Aircraft
-26.05782,7.740375,2.05819,5,737-500,Aircraft
-25.318777,13.970361,7.1016273,5,737-500,Aircraft
-24.476446,7.75247,1.2757728,5,737-500,Aircraft
-23.684649,9.350991,-1.1986095,5,737-500,Aircraft
-27.048037,7.1535206,4.6984353,5,737-500,Aircraft
-25.13899,9.672361,-0.24214509,5,737-500,Aircraft
-23.697636,4.423694,-1.270957,6,737-600,Aircraft
-25.11651,1.0949244,1.2298663,6,737-600,Aircraft
-25.643797,12.772536,3.9129994,6,737-600,Aircraft
-25.986383,8.739086,2.8596652,6,737-600,Aircraft
-25.678274,8.564566,4.102269,6,737-600,Aircraft
-26.023575,11.348259,3.9904094,6,737-600,Aircraft
-25.587372,7.3580184,1.4475805,6,737-600,Aircraft
-26.25539,8.484147,2.7170236,6,737-600,Aircraft
-25.16596,13.9310875,7.2126155,6,737-600,Aircraft
-25.991955,10.571162,0.95394254,6,737-600,Aircraft
-25.767975,8.873903,5.6202416,6,737-600,Aircraft
-26.074804,13.072132,4.6935396,6,737-600,Aircraft
-26.874498,7.619876,5.2311387,6,737-600,Aircraft
-26.973879,8.488681,-0.27597624,6,737-600,Aircraft
-26.358683,8.250406,2.6769493,6,737-600,Aircraft
-25.329927,9.117251,1.7287433,6,737-600,Aircraft
-26.424923,11.520302,-0.7237926,6,737-600,Aircraft
-25.727606,8.685861,4.0354867,6,737-600,Aircraft
-25.711073,7.8508115,0.6140461,6,737-600,Aircraft
-26.070324,11.2715645,4.0244346,6,737-600,Aircraft
-25.98972,12.83176,4.789704,6,737-600,Aircraft
-25.010012,9.64851,-0.03403058,6,737-600,Aircraft
-25.810032,8.654828,5.419779,6,737-600,Aircraft
-34.044758,6.14294,1.1590351,6,737-600,Aircraft
-27.043455,8.154113,4.2211704,6,737-600,Aircraft
-26.665745,9.447986,3.8461485,6,737-600,Aircraft
-22.925722,8.637261,1.935607,6,737-600,Aircraft
-27.438417,9.083864,-1.6149818,6,737-600,Aircraft
-24.92467,8.857118,4.1827188,6,737-600,Aircraft
-25.58194,8.581949,4.220819,6,737-600,Aircraft
-28.764505,11.418507,0.5936455,6,737-600,Aircraft
-26.966305,8.45886,4.192022,6,737-600,Aircraft
-26.988073,10.800165,5.831118,6,737-600,Aircraft
-26.08372,9.26123,-0.42078075,7,737-700,Aircraft
-29.206717,11.076225,-3.7469566,7,737-700,Aircraft
-27.966194,10.143297,0.6178149,7,737-700,Aircraft
-26.394588,10.567838,0.48953563,7,737-700,Aircraft
-29.385305,12.88192,0.28348294,7,737-700,Aircraft
-26.037256,9.756667,1.1059433,7,737-700,Aircraft
-26.462507,10.356996,-0.5358916,7,737-700,Aircraft
-25.987339,11.085615,-3.8188517,7,737-700,Aircraft
-23.815903,9.165431,0.4884441,7,737-700,Aircraft
-26.269684,8.134272,4.6939955,7,737-700,Aircraft
-23.898281,14.523407,3.6705089,7,737-700,Aircraft
-25.42874,13.716939,6.567975,7,737-700,Aircraft
-27.717548,12.97339,0.44555828,7,737-700,Aircraft
-26.77876,11.815381,-0.5947739,7,737-700,Aircraft
-29.354603,12.779737,0.2543133,7,737-700,Aircraft
-23.837126,9.147333,0.48313543,7,737-700,Aircraft
-26.312355,7.9947867,4.4859033,7,737-700,Aircraft
-29.320368,12.791243,0.2643087,7,737-700,Aircraft
-26.540287,7.984707,4.692424,7,737-700,Aircraft
-27.856323,6.4633784,1.8582844,7,737-700,Aircraft
-26.820768,14.20621,1.3488123,7,737-700,Aircraft
-26.136292,8.2491455,4.4661136,7,737-700,Aircraft
-25.795732,10.135097,0.28448966,7,737-700,Aircraft
-28.83046,10.453445,-2.2237089,7,737-700,Aircraft
-24.234991,10.108056,-0.67294466,7,737-700,Aircraft
-23.304228,8.666326,1.8341326,7,737-700,Aircraft
