x,y,z,label,classname,dataset
5.296508,-3.0035148,-18.021929,0,707-320,Aircraft
16.968615,-10.290979,19.030022,0,707-320,Aircraft
22.890284,-10.225739,1.8843008,0,707-320,Aircraft
2.7620666,-1.193756,-13.946986,0,707-320,Aircraft
5.4018636,-1.1177022,-21.628862,0,707-320,Aircraft
10.371458,-1.1155097,-18.599123,0,707-320,Aircraft
13.645224,-17.097572,7.895404,0,707-320,Aircraft
18.567497,3.1874485,12.031753,0,707-320,Aircraft
17.068554,-0.36267152,-3.9948697,0,707-320,Aircraft
-7.947897,-10.109721,-18.58699,0,707-320,Aircraft
6.4402018,-1.9794624,-14.545259,0,707-320,Aircraft
3.6181154,-0.72387385,-23.048527,0,707-320,Aircraft
8.5081,-7.5282335,-3.3603556,0,707-320,Aircraft
29.814676,-4.438042,1.7692589,0,707-320,Aircraft
1.1321039,0.8115154,-17.243977,0,707-320,Aircraft
7.218772,-1.1121207,-22.426033,0,707-320,Aircraft
6.442746,-1.0865792,-21.41279,0,707-320,Aircraft
7.2909994,-6.970917,-3.6163983,0,707-320,Aircraft
1.2241349,0.65814894,-17.012344,0,707-320,Aircraft
2.7106783,-0.09992991,-19.794998,0,707-320,Aircraft
7.2719817,-4.644567,-11.053079,0,707-320,Aircraft
4.6233535,-1.1072241,-21.182281,0,707-320,Aircraft
9.344508,-18.791824,5.3783445,0,707-320,Aircraft
4.81147,-2.5470068,-20.128714,0,707-320,Aircraft
-13.172642,4.9141026,-18.944933,0,707-320,Aircraft
5.310978,-2.4504542,-17.265055,0,707-320,Aircraft
5.2214766,-1.534973,-21.119564,0,707-320,Aircraft
27.55858,4.132673,2.5522985,0,707-320,Aircraft
-15.579279,9.369799,-15.272533,0,707-320,Aircraft
1.9575988,-0.5086126,-15.751209,0,707-320,Aircraft
30.146711,-1.6111083,3.2857645,0,707-320,Aircraft
5.125767,0.6862959,-24.58099,0,707-320,Aircraft
8.908701,-4.815362,-4.6134424,0,707-320,Aircraft
23.320526,-5.9883857,19.12239,1,727-200,Aircraft
5.5086756,-2.8304195,-17.993244,1,727-200,Aircraft
2.4326527,0.48851317,-22.457031,1,727-200,Aircraft
10.632528,-16.694315,5.3329797,1,727-200,Aircraft
24.424772,-10.086516,5.0495167,1,727-200,Aircraft
2.3066342,2.2523038,-25.084307,1,727-200,Aircraft
14.6257305,-8.376369,-0.6240214,1,727-200,Aircraft
1.8018281,3.260466,-24.898544,1,727-200,Aircraft
6.2777886,-2.4259672,-19.236115,1,727-200,Aircraft
6.320925,-2.1435163,-18.828617,1,727-200,Aircraft
11.6558275,7.767387,6.4437838,1,727-200,Aircraft
6.461217,-4.507151,-19.350136,1,727-200,Aircraft
3.3978763,1.2407597,-24.746,1,727-200,Aircraft
1.3823297,0.6374124,-20.204866,1,727-200,Aircraft
4.6320324,1.0144948,-25.217796,1,727-200,Aircraft
5.0280275,-1.4661566,-11.287396,1,727-200,Aircraft
7.6301956,-1.5512428,-14.72265,1,727-200,Aircraft
11.452384,-12.665372,12.828547,1,727-200,Aircraft
6.3193436,-1.945037,-15.312544,1,727-200,Aircraft
12.094114,-2.7491086,-2.3466063,1,727-200,Aircraft
16.568077,-11.747241,14.710708,1,727-200,Aircraft
9.537103,-4.609518,-4.163756,1,727-200,Aircraft
4.6314015,-2.3654954,-18.164303,1,727-200,Aircraft
26.6449,-5.0455112,10.418511,1,727-200,Aircraft
5.2314315,-2.7092338,-17.873686,1,727-200,Aircraft
12.20179,-15.820017,8.848095,1,727-200,Aircraft
23.200947,-5.8219194,18.88765,1,727-200,Aircraft
4.2914844,-0.9916626,-20.988937,1,727-200,Aircraft
26.770176,-9.292687,6.5276847,1,727-200,Aircraft
27.862793,-5.5002675,14.342226,1,727-200,Aircraft
20.793074,-7.3871937,19.723064,1,727-200,Aircraft
24.463572,-9.962968,3.868284,1,727-200,Aircraft
10.19222,-8.824122,-2.2796452,1,727-200,Aircraft
5.2494574,-2.712587,-17.308796,2,737-200,Aircraft
-8.428962,-23.057873,11.439046,2,737-200,Aircraft
5.7785544,3.3574889,14.150621,2,737-200,Aircraft
3.0077503,0.19576062,-22.793463,2,737-200,Aircraft
5.984194,-0.91249025,-22.062727,2,737-200,Aircraft
3.0985203,-2.03409,-18.127096,2,737-200,Aircraft
6.2864847,-2.162598,-16.15472,2,737-200,Aircraft
1.1592131,0.78390753,-17.665955,2,737-200,Aircraft
5.594433,-3.3382592,-20.77313,2,737-200,Aircraft
18.821749,7.448548,-0.22485149,2,737-200,Aircraft
1.3691841,1.0221931,-19.411486,2,737-200,Aircraft
27.838844,-7.095833,10.294732,2,737-200,Aircraft
-3.580838,-23.872139,-4.3471675,2,737-200,Aircraft
6.223408,-2.0836139,-14.142338,2,737-200,Aircraft
17.26057,-12.450335,14.034051,2,737-200,Aircraft
0.5536193,-26.363829,1.0427547,2,737-200,Aircraft
