x,y,z,label,classname,dataset
8.4312935,-9.095145,-11.599959,0,707-320,Aircraft
4.4552665,-14.34585,-12.298938,0,707-320,Aircraft
-20.502237,3.341767,2.690499,0,707-320,Aircraft
-17.44834,-9.365137,2.4501781,0,707-320,Aircraft
-5.1702557,-17.657581,9.086722,0,707-320,Aircraft
14.974295,5.009377,-3.018143,0,707-320,Aircraft
-14.857312,-14.072851,2.96312,0,707-320,Aircraft
5.8362346,-10.998464,-12.266562,0,707-320,Aircraft
-5.011203,-12.738263,0.89221716,0,707-320,Aircraft
-1.5252906,-9.461233,-0.67012745,0,707-320,Aircraft
-12.719638,-3.0289948,-4.964818,0,707-320,Aircraft
13.614627,-5.8080163,-3.5655158,0,707-320,Aircraft
-5.0569086,-15.174052,-0.53693014,0,707-320,Aircraft
-9.665067,-8.268638,-7.21663,0,707-320,Aircraft
-6.3869348,-3.5580783,-2.319316,0,707-320,Aircraft
13.551122,-10.325973,-6.3471828,0,707-320,Aircraft
-2.1697958,-3.7882512,5.380719,0,707-320,Aircraft
4.181247,-14.37211,-12.800695,0,707-320,Aircraft
-4.858755,-1.0701677,2.5442624,0,707-320,Aircraft
-4.2780523,-14.951643,-3.0485015,0,707-320,Aircraft
-12.313039,-13.993823,-2.246759,0,707-320,Aircraft
-0.54509026,-1.7927206,12.660666,0,707-320,Aircraft
-13.028415,-10.786318,-2.8362184,0,707-320,Aircraft
15.7439785,-1.4713819,-1.5214441,0,707-320,Aircraft
-2.6336417,-9.011663,-6.5859575,0,707-320,Aircraft
8.716362,-10.918718,-9.591338,0,707-320,Aircraft
-12.8332815,-6.7270107,-6.9242907,0,707-320,Aircraft
-6.8251905,-10.776201,-5.6463923,0,707-320,Aircraft
-9.177886,-19.212204,0.6219546,0,707-320,Aircraft
-13.818772,1.1459794,-7.0977793,0,707-320,Aircraft
11.742141,-5.4162645,-8.427305,0,707-320,Aircraft
-4.532674,10.029961,-10.3458185,0,707-320,Aircraft
-9.883545,-13.896218,-8.4532175,0,707-320,Aircraft
-6.41362,-12.68042,-4.538142,1,727-200,Aircraft
-2.274633,-13.647239,-1.6362725,1,727-200,Aircraft
-13.759428,9.219134,5.834136,1,727-200,Aircraft
-4.9933496,-16.171808,10.23461,1,727-200,Aircraft
0.9095626,-11.542361,20.097048,1,727-200,Aircraft
7.64123,6.6208177,3.669786,1,727-200,Aircraft
-6.8440475,0.56074685,-15.359868,1,727-200,Aircraft
