x,y,z,label,classname,dataset
9.796114,-4.1320434,0.69683224,0,707-320,Aircraft
6.3936305,-7.4307384,0.6428332,0,707-320,Aircraft
6.7513294,6.509665,2.3294027,0,707-320,Aircraft
10.177307,1.483779,2.4703517,0,707-320,Aircraft
7.562072,0.2798303,3.125602,0,707-320,Aircraft
6.3054748,-6.926511,4.260157,0,707-320,Aircraft
6.487234,-1.2967404,2.742228,0,707-320,Aircraft
10.025033,2.846441,0.99799293,0,707-320,Aircraft
8.795763,-5.7081995,1.4064065,0,707-320,Aircraft
9.173912,-5.5232325,1.0200562,0,707-320,Aircraft
9.822589,2.3283403,0.82151526,0,707-320,Aircraft
9.45861,-3.5680633,1.843058,0,707-320,Aircraft
8.044529,-0.5645498,3.1552517,0,707-320,Aircraft
7.671443,2.7791848,2.1638267,0,707-320,Aircraft
6.2592163,-6.967106,4.380276,0,707-320,Aircraft
6.860594,-7.2454143,1.3478122,0,707-320,Aircraft
6.0566797,-7.3725634,4.1131206,0,707-320,Aircraft
7.6351814,-6.0331254,2.5092313,0,707-320,Aircraft
5.711166,-5.873047,2.8619459,0,707-320,Aircraft
5.7762847,-0.5753203,1.9352491,0,707-320,Aircraft
4.0801177,-0.9455689,-6.8434105,0,707-320,Aircraft
6.991178,-6.1879673,3.4098399,0,707-320,Aircraft
7.79811,0.26123506,3.1951404,0,707-320,Aircraft
7.2679567,-6.8928056,2.2009454,0,707-320,Aircraft
12.103465,4.1195283,0.0052977074,0,707-320,Aircraft
5.4378686,-6.2408633,5.4592776,0,707-320,Aircraft
6.9259,4.6692123,1.5349109,0,707-320,Aircraft
10.077318,-2.76839,2.2442305,0,707-320,Aircraft
7.8242702,3.8375404,1.7938523,0,707-320,Aircraft
6.763129,-5.286382,4.3141956,0,707-320,Aircraft
8.133817,-5.9124303,2.2862453,0,707-320,Aircraft
-4.4823203,-8.90245,3.2660863,0,707-320,Aircraft
5.048864,8.473232,-1.2176241,0,707-320,Aircraft
7.334615,4.5339484,-1.8044612,1,off-center face,Caltech101
4.8233576,5.629202,1.4067426,1,off-center face,Caltech101
-0.42124185,9.20823,1.3141961,1,off-center face,Caltech101
2.7525058,5.485676,1.8952131,2,centered face,Caltech101
