x,y,z,label,classname,dataset
-23.358707,4.238928,1.4810336,0,707-320,Aircraft
-25.139263,2.722942,2.2211878,0,707-320,Aircraft
-27.895926,5.949971,2.311576,0,707-320,Aircraft
-24.35066,2.516128,2.8015351,0,707-320,Aircraft
-24.341206,2.5413668,2.6923206,0,707-320,Aircraft
-27.06134,5.306267,3.2944725,0,707-320,Aircraft
-24.25181,2.494957,2.6982927,0,707-320,Aircraft
-24.565296,3.2720795,1.9928387,0,707-320,Aircraft
-29.17639,7.2075543,0.26408044,0,707-320,Aircraft
-24.36719,2.768964,1.5351048,0,707-320,Aircraft
-26.774086,5.0272264,2.7744088,0,707-320,Aircraft
-23.20297,3.8692908,1.7432662,0,707-320,Aircraft
-26.909826,6.287262,2.922466,0,707-320,Aircraft
-25.327343,2.6880107,1.3398988,0,707-320,Aircraft
-24.51228,3.012962,2.3424194,0,707-320,Aircraft
-23.301722,4.007454,1.7165316,0,707-320,Aircraft
-25.387148,3.572959,2.495145,0,707-320,Aircraft
-26.259892,4.9073653,3.6540549,0,707-320,Aircraft
-27.144981,4.736163,2.9154704,0,707-320,Aircraft
-24.34752,2.541399,2.8222313,0,707-320,Aircraft
-24.171652,2.766449,1.5942872,0,707-320,Aircraft
-26.439241,3.3081348,2.5103064,0,707-320,Aircraft
-24.405336,2.647062,2.8596244,0,707-320,Aircraft
-25.436794,3.4413292,3.4977508,0,707-320,Aircraft
-24.359142,2.4918015,2.774087,0,707-320,Aircraft
-24.483986,3.3239882,2.2582998,0,707-320,Aircraft
-24.950832,3.577657,1.3675156,0,707-320,Aircraft
-24.440647,2.7263238,2.6728017,0,707-320,Aircraft
-24.328882,2.5007052,2.95392,0,707-320,Aircraft
-27.021969,5.6036453,2.424299,0,707-320,Aircraft
-24.262648,3.3209856,2.617348,0,707-320,Aircraft
-27.22412,3.6200829,2.661346,0,707-320,Aircraft
-23.764475,3.2069077,3.637552,0,707-320,Aircraft
-24.069412,3.099233,1.8525712,1,727-200,Aircraft
-27.732883,7.1047244,0.6776654,1,727-200,Aircraft
-25.99217,5.0905633,3.480589,1,727-200,Aircraft
-25.502642,5.7179823,3.9910583,1,727-200,Aircraft
-25.984003,5.001091,3.5797143,1,727-200,Aircraft
-24.090853,3.873181,2.1969054,1,727-200,Aircraft
-28.356207,9.057931,2.7119908,1,727-200,Aircraft
-24.148853,4.0027924,1.9988242,1,727-200,Aircraft
-25.341066,4.100943,2.77832,1,727-200,Aircraft
-23.920599,4.656094,1.674871,1,727-200,Aircraft
-26.868269,4.938972,2.778827,1,727-200,Aircraft
-23.434605,3.9625168,2.945291,1,727-200,Aircraft
-27.270704,7.1956897,2.3630686,1,727-200,Aircraft
-23.059378,2.6395528,5.5414553,1,727-200,Aircraft
-24.209463,3.1699774,2.4035778,1,727-200,Aircraft
-23.893108,3.3451738,2.0837069,1,727-200,Aircraft
-27.060045,4.9484215,2.9590776,1,727-200,Aircraft
-25.549635,6.6788907,4.622314,1,727-200,Aircraft
-23.42378,4.0727243,2.2180622,1,727-200,Aircraft
-26.29017,4.6956573,2.300569,1,727-200,Aircraft
-24.06016,5.272887,3.0192897,1,727-200,Aircraft
-27.479622,4.7926583,1.6056497,1,727-200,Aircraft
-23.90206,4.428921,0.7014098,1,727-200,Aircraft
-24.447779,2.5990875,2.908416,1,727-200,Aircraft
-24.497398,2.3297951,2.7278194,1,727-200,Aircraft
-25.344032,3.350752,3.4946184,1,727-200,Aircraft
-28.5912,5.542007,1.227338,1,727-200,Aircraft
-24.189953,2.4946344,2.8600366,1,727-200,Aircraft
-23.95605,2.8299892,3.430682,1,727-200,Aircraft
-25.584871,3.9674792,3.3634853,1,727-200,Aircraft
-26.03575,4.4634447,3.965973,1,727-200,Aircraft
-25.694227,5.231779,3.8597503,1,727-200,Aircraft
-25.612623,6.6905766,-0.19941922,1,727-200,Aircraft
-24.768023,8.629518,2.2099752,2,737-200,Aircraft
-23.928972,2.5093248,1.1415215,2,737-200,Aircraft
-24.724913,4.9495792,2.6161969,2,737-200,Aircraft
-29.069496,7.5149918,1.1456857,2,737-200,Aircraft
-25.059399,2.8516245,1.5230879,2,737-200,Aircraft
-25.302084,4.746652,-0.32921833,2,737-200,Aircraft
-24.05116,4.0990987,0.92350936,2,737-200,Aircraft
-24.104149,4.6981854,2.6766896,2,737-200,Aircraft
-25.26975,8.0144825,0.8091935,2,737-200,Aircraft
-26.927149,5.645074,2.6650732,2,737-200,Aircraft
-24.562738,3.6026947,1.9404261,2,737-200,Aircraft
-26.111593,8.302569,3.039127,2,737-200,Aircraft
-26.373384,6.828484,1.2936238,2,737-200,Aircraft
-26.082476,8.294069,1.3467014,2,737-200,Aircraft
-26.643164,5.8462605,2.6724129,2,737-200,Aircraft
-28.091635,8.135353,0.8365946,2,737-200,Aircraft
-25.928019,4.562288,4.739497,2,737-200,Aircraft
-26.66361,7.7652698,0.838865,2,737-200,Aircraft
-24.863884,4.3609753,2.661249,2,737-200,Aircraft
-26.784317,7.365925,3.6418889,2,737-200,Aircraft
-27.53193,4.593631,1.9273391,2,737-200,Aircraft
-29.010958,6.8073406,2.5761662,2,737-200,Aircraft
-27.201838,6.592898,3.934767,2,737-200,Aircraft
