x,y,z,label,classname,dataset
-2.1761618,-17.153694,5.9670763,0,707-320,Aircraft
-2.526765,-15.550082,4.2259574,0,707-320,Aircraft
-1.355372,-15.647405,5.566157,0,707-320,Aircraft
-4.3670936,-17.260536,4.1574655,0,707-320,Aircraft
-3.5477636,-16.37144,4.101102,0,707-320,Aircraft
-0.34238887,-16.375362,3.8068786,0,707-320,Aircraft
-3.9690504,-16.195324,4.08424,0,707-320,Aircraft
-2.989567,-16.725594,4.846423,0,707-320,Aircraft
-0.3505544,-16.754997,5.7468176,0,707-320,Aircraft
-4.268125,-16.76997,5.44812,0,707-320,Aircraft
-1.0904553,-16.07965,4.630999,0,707-320,Aircraft
-2.1439042,-18.380457,4.7515287,0,707-320,Aircraft
-0.3749142,-16.212055,4.7488484,0,707-320,Aircraft
-3.3286989,-15.106081,5.400114,0,707-320,Aircraft
-2.7691646,-17.413961,4.4182587,0,707-320,Aircraft
-2.0736303,-18.037985,5.288156,0,707-320,Aircraft
-1.9433198,-16.91537,4.8470616,0,707-320,Aircraft
-0.7696644,-16.984177,3.893866,0,707-320,Aircraft
-0.94831336,-14.98277,4.072117,0,707-320,Aircraft
-3.716488,-18.044464,3.9605217,0,707-320,Aircraft
-3.6303093,-17.816442,5.3617396,0,707-320,Aircraft
-1.5998024,-16.397081,3.1032755,0,707-320,Aircraft
-3.4534607,-16.937319,3.245774,0,707-320,Aircraft
-1.3142213,-17.748514,4.200752,0,707-320,Aircraft
-3.410581,-16.113825,3.4294796,0,707-320,Aircraft
-2.286548,-16.741243,3.8509862,0,707-320,Aircraft
-2.6243856,-16.236965,5.4428573,0,707-320,Aircraft
-3.4198692,-17.112074,4.100156,0,707-320,Aircraft
-4.262774,-16.972063,3.0492005,0,707-320,Aircraft
-0.7347697,-15.774289,4.708042,0,707-320,Aircraft
-2.484528,-17.571499,3.3241308,0,707-320,Aircraft
-1.4464601,-15.097609,3.2939079,0,707-320,Aircraft
-3.4609005,-18.242115,2.7637413,0,707-320,Aircraft
8.204882,-8.847445,-10.426426,1,off-center face,Caltech101
6.479902,-9.900163,-9.476358,1,off-center face,Caltech101
8.527238,-9.479781,-9.376436,1,off-center face,Caltech101
8.168032,-4.9437103,-12.541345,2,centered face,Caltech101
8.043354,-6.92714,-13.94469,1,off-center face,Caltech101
8.046012,-6.9063106,-13.802022,1,off-center face,Caltech101
6.466322,-6.0781393,-11.084727,2,centered face,Caltech101
8.277377,-10.613565,-11.385515,1,off-center face,Caltech101
8.920769,-5.8284616,-10.736512,1,off-center face,Caltech101
6.567475,-9.579092,-12.554866,2,centered face,Caltech101
9.413017,-7.0132275,-12.5308695,1,off-center face,Caltech101
6.3740606,-6.078502,-10.984512,1,off-center face,Caltech101
6.7186937,-5.8082576,-10.685545,1,off-center face,Caltech101
6.7751665,-10.776975,-10.808488,2,centered face,Caltech101
9.374166,-7.192954,-12.38023,2,centered face,Caltech101
9.032157,-9.165974,-8.912636,1,off-center face,Caltech101
9.628451,-8.643672,-8.733562,1,off-center face,Caltech101
10.251362,-6.082489,-12.696529,1,off-center face,Caltech101
6.4528475,-9.505215,-12.538275,1,off-center face,Caltech101
6.6823955,-9.639016,-12.4045515,2,centered face,Caltech101
8.904258,-9.407831,-10.780832,1,off-center face,Caltech101
8.761467,-9.414001,-11.074963,1,off-center face,Caltech101
6.5921574,-9.257417,-11.570612,1,off-center face,Caltech101
6.109399,-6.03559,-11.016162,2,centered face,Caltech101
9.398571,-10.525016,-11.337974,1,off-center face,Caltech101
7.9589,-11.094135,-10.043322,2,centered face,Caltech101
10.082576,-8.58396,-10.1373825,2,centered face,Caltech101
6.2980175,-9.122945,-12.140114,1,off-center face,Caltech101
9.444375,-9.974628,-11.664218,2,centered face,Caltech101
9.261847,-10.345447,-12.118377,2,centered face,Caltech101
9.147775,-10.344365,-11.962892,2,centered face,Caltech101
6.7686734,-9.958164,-10.252205,2,centered face,Caltech101
8.153692,-8.223941,-9.133723,1,off-center face,Caltech101
9.29684,-6.909164,-12.430319,2,centered face,Caltech101
8.006232,-7.0096073,-14.345758,1,off-center face,Caltech101
8.224788,-4.8854694,-12.6730995,1,off-center face,Caltech101
8.218204,-9.240884,-9.545903,1,off-center face,Caltech101
10.1108675,-8.583233,-10.145238,2,centered face,Caltech101
7.4305434,-6.7864146,-12.72966,2,centered face,Caltech101
9.182347,-6.5925107,-11.0648155,1,off-center face,Caltech101
8.046844,-4.8962035,-12.26741,2,centered face,Caltech101
8.952413,-6.5270786,-11.389822,2,centered face,Caltech101
8.908101,-5.7002597,-10.709559,1,off-center face,Caltech101
8.579997,-6.0814576,-11.275257,2,centered face,Caltech101
9.002207,-10.006772,-10.244918,1,off-center face,Caltech101
7.408258,-6.8264937,-12.837008,1,off-center face,Caltech101
9.981074,-6.6215334,-11.777284,1,off-center face,Caltech101
6.4070854,-9.748954,-9.996911,1,off-center face,Caltech101
6.631412,-9.894314,-10.08342,2,centered face,Caltech101
10.048371,-14.2096,3.2408154,3,airplane,CIFAR10
8.720346,-11.367724,6.2957892,3,airplane,CIFAR10
10.816525,-13.19727,6.7888227,3,airplane,CIFAR10
9.223708,-11.482166,4.4210553,3,airplane,CIFAR10
6.7813525,-12.78811,4.595369,3,airplane,CIFAR10
9.733005,-13.780631,7.12704,3,airplane,CIFAR10
7.5375857,-11.940193,3.2148187,3,airplane,CIFAR10
6.3127546,-13.129879,5.5623255,3,airplane,CIFAR10
7.4932604,-13.357385,8.535332,3,airplane,CIFAR10
10.974548,-12.0754385,6.042618,3,airplane,CIFAR10
8.66725,-14.79484,5.909673,3,airplane,CIFAR10
8.496324,-12.410882,7.110647,3,airplane,CIFAR10
10.154232,-10.8937,8.755369,3,airplane,CIFAR10
6.1882486,-15.544931,4.778862,3,airplane,CIFAR10
9.351233,-13.758579,6.231905,3,airplane,CIFAR10
7.1674504,-11.787506,2.432637,3,airplane,CIFAR10
7.278423,-11.580516,2.2868066,3,airplane,CIFAR10
10.6676655,-9.459374,6.4780912,3,airplane,CIFAR10
9.727857,-14.225559,3.1362782,3,airplane,CIFAR10
8.397761,-14.100857,4.9240303,3,airplane,CIFAR10
9.211047,-11.781232,8.361566,3,airplane,CIFAR10
10.580639,-9.692306,6.4864798,3,airplane,CIFAR10
7.018158,-13.455649,6.4958673,3,airplane,CIFAR10
8.386118,-12.733274,2.8620286,3,airplane,CIFAR10
8.295346,-12.922944,5.965532,3,airplane,CIFAR10
8.420146,-11.481966,5.647784,3,airplane,CIFAR10
8.182988,-14.904075,7.0958633,3,airplane,CIFAR10
5.977037,-14.631065,4.8785753,3,airplane,CIFAR10
9.274609,-12.773324,5.160862,3,airplane,CIFAR10
9.438934,-10.077049,6.256297,3,airplane,CIFAR10
8.828163,-15.230187,6.4627028,3,airplane,CIFAR10
9.494658,-11.2899,4.2685566,3,airplane,CIFAR10
6.8534384,-13.927071,4.135545,3,airplane,CIFAR10
6.0274816,-13.711884,7.887191,3,airplane,CIFAR10
9.016256,-12.599795,7.0422153,3,airplane,CIFAR10
8.886644,-13.944839,3.5352273,3,airplane,CIFAR10
7.503724,-10.456992,6.066293,3,airplane,CIFAR10
10.94173,-12.661773,7.838565,3,airplane,CIFAR10
9.46338,-10.956157,7.2727933,3,airplane,CIFAR10
7.081476,-12.499028,4.976724,3,airplane,CIFAR10
5.8682837,-13.086366,6.1543784,3,airplane,CIFAR10
7.1871977,-14.116006,5.7372966,3,airplane,CIFAR10
7.7619977,-11.774439,7.4793396,3,airplane,CIFAR10
10.188093,-12.029373,6.292352,3,airplane,CIFAR10
5.629114,-13.268083,6.406671,3,airplane,CIFAR10
7.8207564,-13.415096,5.648642,3,airplane,CIFAR10
9.345023,-9.9838295,6.1639,3,airplane,CIFAR10
6.224023,-15.6687565,4.7707434,3,airplane,CIFAR10
10.918854,-11.045115,7.1739073,3,airplane,CIFAR10
7.4425535,-13.12505,4.207709,3,airplane,CIFAR10
7.991866,-13.168922,7.9978895,3,airplane,CIFAR10
8.227022,-14.869759,5.038459,3,airplane,CIFAR10
8.183086,-12.475233,3.4222536,3,airplane,CIFAR10
9.667682,-11.401152,7.6513076,3,airplane,CIFAR10
