x,y,z,label,classname,dataset
-28.474377,-0.38281104,-2.0186653,0,707-320,Aircraft
-29.187714,-1.3521475,-0.20067605,0,707-320,Aircraft
-31.465626,-3.8591661,-2.3817434,0,707-320,Aircraft
-28.140076,-1.500537,-0.106438786,0,707-320,Aircraft
-28.177143,-1.4417294,-0.1518728,0,707-320,Aircraft
-30.3382,-4.107367,-2.2054365,0,707-320,Aircraft
-28.056643,-1.4055101,-0.10379605,0,707-320,Aircraft
-28.869434,-1.1699841,-0.9068857,0,707-320,Aircraft
-32.477966,-4.7221446,-1.7137064,0,707-320,Aircraft
-28.981277,-0.60845006,-0.6692365,0,707-320,Aircraft
-30.534798,-3.3125756,-1.8964689,0,707-320,Aircraft
-28.032393,-0.44597208,-1.7588158,0,707-320,Aircraft
-30.597742,-3.7496462,-3.1658452,0,707-320,Aircraft
-29.767086,-0.8186739,-0.193801,0,707-320,Aircraft
-28.538694,-1.4696769,-0.5972913,0,707-320,Aircraft
-28.161924,-0.49074718,-1.9088738,0,707-320,Aircraft
-29.216215,-2.0960717,-0.8876827,0,707-320,Aircraft
-29.724043,-3.917726,-1.879373,0,707-320,Aircraft
-30.626564,-3.515783,-1.5870612,0,707-320,Aircraft
-28.129845,-1.5188982,-0.09666349,0,707-320,Aircraft
-28.61895,-0.39611086,-0.5652162,0,707-320,Aircraft
-30.255629,-2.6096456,-0.31707665,0,707-320,Aircraft
-28.17223,-1.5860718,-0.20808753,0,707-320,Aircraft
-28.850084,-2.9046953,-0.5337147,0,707-320,Aircraft
-28.08258,-1.4765364,-0.07091849,0,707-320,Aircraft
-28.630823,-1.3026565,-0.89481753,0,707-320,Aircraft
-29.52694,-0.91375774,-1.1772393,0,707-320,Aircraft
-28.313423,-1.4833025,-0.30436465,0,707-320,Aircraft
-28.041113,-1.6034452,-0.059589628,0,707-320,Aircraft
-30.98881,-3.3567874,-2.475205,0,707-320,Aircraft
-28.27818,-1.5400676,-0.8155174,0,707-320,Aircraft
-30.721361,-2.9772,-0.44261274,0,707-320,Aircraft
-27.348753,-2.343183,-0.62280244,0,707-320,Aircraft
-28.277935,-0.89691716,-0.72936654,1,727-200,Aircraft
-33.06017,-2.371948,-3.5634408,1,727-200,Aircraft
-29.384773,-3.515207,-2.106723,1,727-200,Aircraft
-28.847452,-4.2018385,-2.6194644,1,727-200,Aircraft
-29.536898,-3.737815,-1.9153134,1,727-200,Aircraft
-28.460882,-1.3195201,-1.4404533,1,727-200,Aircraft
-31.552622,-1.2235476,-5.483978,1,727-200,Aircraft
-28.56726,-1.1816136,-1.6424413,1,727-200,Aircraft
-29.364202,-2.4951532,-1.3607935,1,727-200,Aircraft
-28.497526,-0.75828475,-2.2950416,1,727-200,Aircraft
-30.57153,-3.477235,-1.6125057,1,727-200,Aircraft
-27.824427,-1.7284504,-1.7396718,1,727-200,Aircraft
-31.336533,-2.5379071,-3.3991077,1,727-200,Aircraft
-25.820768,-3.090199,-0.9523919,1,727-200,Aircraft
-28.32196,-1.2209725,-0.8112251,1,727-200,Aircraft
-28.162907,-0.9583682,-1.1225581,1,727-200,Aircraft
-30.595482,-3.2348738,-1.8103985,1,727-200,Aircraft
-29.848955,-6.287036,-3.326053,1,727-200,Aircraft
-27.76462,-0.9551003,-1.7932442,1,727-200,Aircraft
-30.690548,-3.092293,-1.4947798,1,727-200,Aircraft
-28.25742,-2.2984617,-3.1047282,1,727-200,Aircraft
-31.598656,-3.328022,-1.3558908,1,727-200,Aircraft
-29.518158,-0.44690907,-2.5301378,1,727-200,Aircraft
-28.150375,-1.6239507,-0.15551841,1,727-200,Aircraft
-28.297333,-1.454532,0.06595041,1,727-200,Aircraft
-28.752089,-2.737551,-0.47324467,1,727-200,Aircraft
-31.835289,-2.316216,-1.6026257,1,727-200,Aircraft
-27.890966,-1.5337112,-0.13059865,1,727-200,Aircraft
-27.629171,-1.8533175,-0.2341274,1,727-200,Aircraft
-29.175226,-3.0013216,-1.1359468,1,727-200,Aircraft
-29.348907,-3.8722072,-1.3824623,1,727-200,Aircraft
-29.122992,-3.966006,-2.0877059,1,727-200,Aircraft
-33.14778,-4.262787,-2.483887,1,727-200,Aircraft
-30.863762,-4.5856233,-6.1364145,2,737-200,Aircraft
-28.664528,0.07594107,-0.52838033,2,737-200,Aircraft
-28.702572,-2.4603398,-2.3671086,2,737-200,Aircraft
-32.51287,-1.400174,-3.8141825,2,737-200,Aircraft
-29.50928,-0.8673142,-0.41858128,2,737-200,Aircraft
-30.483654,-0.12242941,-1.6098875,2,737-200,Aircraft
-29.099579,-0.4134907,-1.9188377,2,737-200,Aircraft
-28.267117,-1.7752692,-2.4933488,2,737-200,Aircraft
-32.427795,-4.9814963,-5.6355047,2,737-200,Aircraft
-30.715406,-3.472133,-2.4989972,2,737-200,Aircraft
-29.074404,-1.0810828,-1.1793505,2,737-200,Aircraft
-30.141314,-3.010012,-5.4008393,2,737-200,Aircraft
-31.048323,-2.440084,-4.2708735,2,737-200,Aircraft
-31.815502,-4.247651,-5.5257015,2,737-200,Aircraft
-30.526642,-3.3642733,-2.7397876,2,737-200,Aircraft
-33.05386,-2.283203,-4.5330343,2,737-200,Aircraft
-29.017986,-4.425594,-1.2772709,2,737-200,Aircraft
-32.68052,-3.7662876,-4.3726974,2,737-200,Aircraft
-28.792074,-2.3110895,-2.0195594,2,737-200,Aircraft
-30.777134,-5.129045,-3.2756023,2,737-200,Aircraft
-31.430172,-3.659979,-1.216531,2,737-200,Aircraft
-31.50314,-4.658528,-3.9772122,2,737-200,Aircraft
-29.885525,-4.1398454,-3.650739,2,737-200,Aircraft
-30.683558,-2.9189653,-0.49963754,2,737-200,Aircraft
-31.663904,-2.620952,-3.7815053,2,737-200,Aircraft
-28.818323,-2.1119666,-2.308565,2,737-200,Aircraft
-32.49473,-1.4670517,-3.8235161,2,737-200,Aircraft
