x,y,z,label,classname,dataset
-26.30951,-0.2862895,-8.951587,0,707-320,Aircraft
-26.375671,-1.423677,-7.101069,0,707-320,Aircraft
-28.12749,1.672862,-6.4345016,0,707-320,Aircraft
-25.33487,-1.3659322,-7.264844,0,707-320,Aircraft
-25.404293,-1.3338004,-7.4003425,0,707-320,Aircraft
-26.506958,1.8370161,-5.7572765,0,707-320,Aircraft
-25.299278,-1.3702141,-7.4513645,0,707-320,Aircraft
-26.353289,-0.87970495,-7.5998487,0,707-320,Aircraft
-27.611769,2.5972564,-3.7869275,0,707-320,Aircraft
-26.742168,-1.4410897,-7.9729195,0,707-320,Aircraft
-27.122437,1.3358368,-5.86957,0,707-320,Aircraft
-25.938557,-0.5068935,-8.920943,0,707-320,Aircraft
-27.277283,2.559748,-6.784611,0,707-320,Aircraft
-27.173523,-1.6486865,-7.2193675,0,707-320,Aircraft
-25.873667,-1.0019981,-7.380949,0,707-320,Aircraft
-26.055702,-0.35159963,-8.907625,0,707-320,Aircraft
-26.371462,-0.2395518,-6.8094287,0,707-320,Aircraft
-25.980988,1.4291482,-5.800526,0,707-320,Aircraft
-27.140596,1.118422,-5.619539,0,707-320,Aircraft
-25.340982,-1.3654962,-7.274988,0,707-320,Aircraft
-26.470234,-1.634345,-8.201127,0,707-320,Aircraft
-27.392591,-0.3857031,-5.6684213,0,707-320,Aircraft
-25.390615,-1.2197661,-7.262551,0,707-320,Aircraft
-25.66577,-0.057899747,-6.171073,0,707-320,Aircraft
-25.28425,-1.3598161,-7.3884177,0,707-320,Aircraft
-26.08546,-0.8148398,-7.648057,0,707-320,Aircraft
-27.029524,-0.6509578,-7.547416,0,707-320,Aircraft
-25.560404,-1.1788782,-7.334538,0,707-320,Aircraft
-25.228813,-1.3288015,-7.285062,0,707-320,Aircraft
-27.426693,1.9741194,-5.8236766,0,707-320,Aircraft
-25.736256,-0.7521172,-7.54167,0,707-320,Aircraft
-27.57225,-0.16130112,-5.486539,0,707-320,Aircraft
