x,y,z,label,classname,dataset
-24.014563,4.329958,0.10494304,0,707-320,Aircraft
-25.214926,3.1240983,1.5539153,0,707-320,Aircraft
-27.790434,6.5578284,1.5070838,0,707-320,Aircraft
-24.318243,2.787549,1.9226454,0,707-320,Aircraft
-24.407112,2.824247,1.9261215,0,707-320,Aircraft
-27.018047,5.755799,2.5693367,0,707-320,Aircraft
-24.430983,2.79572,2.0084603,0,707-320,Aircraft
-24.793945,3.560214,1.060576,0,707-320,Aircraft
-29.563478,6.0963078,1.2602447,0,707-320,Aircraft
-24.744549,2.918378,0.7953786,0,707-320,Aircraft
-26.59518,5.4069266,1.9951577,0,707-320,Aircraft
-23.525812,3.7863872,0.3463498,0,707-320,Aircraft
-26.409933,6.696248,1.5422908,0,707-320,Aircraft
-25.757015,2.9553752,0.8188121,0,707-320,Aircraft
-24.56535,3.3002775,1.4304464,0,707-320,Aircraft
-23.602764,3.8980048,0.34640276,0,707-320,Aircraft
-25.430244,4.0873523,1.6148343,0,707-320,Aircraft
-26.0867,5.3883905,2.8770838,0,707-320,Aircraft
-27.015745,5.1476946,2.3412254,0,707-320,Aircraft
-24.294127,2.7566826,1.9245571,0,707-320,Aircraft
-24.506233,3.00591,0.66579086,0,707-320,Aircraft
-27.180876,3.9003243,2.2976134,0,707-320,Aircraft
-24.35378,2.944661,1.9615321,0,707-320,Aircraft
-25.084969,4.1531196,2.8284438,0,707-320,Aircraft
-24.443743,2.824783,2.0200047,0,707-320,Aircraft
-24.538177,3.5773757,1.3105352,0,707-320,Aircraft
-25.339798,3.863024,0.8212062,0,707-320,Aircraft
-24.450905,3.010393,1.773772,0,707-320,Aircraft
-24.256802,2.7760348,2.0622633,0,707-320,Aircraft
-26.975512,5.9306846,1.6286644,0,707-320,Aircraft
-24.257263,3.4837477,1.6669779,0,707-320,Aircraft
-27.360905,4.076803,2.380411,0,707-320,Aircraft
-23.58713,3.3918743,2.1765013,0,707-320,Aircraft
-24.171545,3.1853578,0.91691303,1,727-200,Aircraft
-26.861553,6.391761,-0.8813353,1,727-200,Aircraft
-25.671629,5.5592837,2.5419414,1,727-200,Aircraft
-25.417475,7.069358,2.7853463,1,727-200,Aircraft
-25.667507,5.4278483,2.695353,1,727-200,Aircraft
-24.344814,4.008771,0.9403833,1,727-200,Aircraft
-25.280472,8.423475,-0.24435198,1,727-200,Aircraft
-24.386003,4.0031676,0.905079,1,727-200,Aircraft
-25.316185,4.5778265,1.7910017,1,727-200,Aircraft
-24.408695,4.8870597,0.27645043,1,727-200,Aircraft
-26.704254,5.3620267,2.2061536,1,727-200,Aircraft
-23.292524,4.655664,1.4117908,1,727-200,Aircraft
-26.350578,6.879921,0.5657673,1,727-200,Aircraft
-22.073189,3.8149607,3.807461,1,727-200,Aircraft
-24.299366,3.4081128,1.525193,1,727-200,Aircraft
-24.145828,3.6353533,1.0101554,1,727-200,Aircraft
-26.649673,5.5406904,1.8767926,1,727-200,Aircraft
-25.836647,3.218923,3.8355823,1,727-200,Aircraft
-23.556469,4.0141873,0.84249026,1,727-200,Aircraft
-26.096905,5.000711,1.5541273,1,727-200,Aircraft
-23.978718,5.814617,1.6278731,1,727-200,Aircraft
-27.687004,5.0005856,1.210844,1,727-200,Aircraft
-25.573795,5.8826513,-1.3906748,1,727-200,Aircraft
-24.347347,2.8916423,1.9924808,1,727-200,Aircraft
-24.424006,2.615603,1.8946064,1,727-200,Aircraft
-24.941555,3.9572809,2.6934435,1,727-200,Aircraft
-28.608349,4.3689327,1.6250303,1,727-200,Aircraft
-24.03456,2.90947,1.9932463,1,727-200,Aircraft
-23.648905,3.2563035,2.2066374,1,727-200,Aircraft
-25.369022,4.6692524,2.5278642,1,727-200,Aircraft
