x,y,z,label,classname,dataset
-1.8293241,-17.265516,8.658265,0,707-320,Aircraft
0.19834715,-16.094309,8.448997,0,707-320,Aircraft
-0.8620747,-16.040476,7.2694864,0,707-320,Aircraft
0.29720783,-17.609203,10.40348,0,707-320,Aircraft
0.4330048,-17.121046,9.441407,0,707-320,Aircraft
-1.4723376,-14.512844,8.475328,0,707-320,Aircraft
0.70944214,-17.298344,9.439107,0,707-320,Aircraft
-0.5732238,-16.952791,9.066748,0,707-320,Aircraft
-2.3289204,-16.094315,7.3748856,0,707-320,Aircraft
-0.30100995,-18.320799,9.167303,0,707-320,Aircraft
-1.2453907,-15.480029,8.152302,0,707-320,Aircraft
-1.9661278,-16.669233,10.123484,0,707-320,Aircraft
-1.9001911,-15.316678,8.099486,0,707-320,Aircraft
0.4107378,-17.213785,7.6229243,0,707-320,Aircraft
-0.733934,-16.631733,9.749673,0,707-320,Aircraft
-2.006761,-16.80601,9.596509,0,707-320,Aircraft
-1.1555232,-16.371935,8.760675,0,707-320,Aircraft
-1.3112848,-14.920889,9.154689,0,707-320,Aircraft
-0.5540949,-14.717848,7.553083,0,707-320,Aircraft
-0.4198812,-17.217041,10.829636,0,707-320,Aircraft
-1.0980313,-17.856813,9.81539,0,707-320,Aircraft
-0.037540432,-14.88651,9.00943,0,707-320,Aircraft
0.48334688,-16.481634,10.095901,0,707-320,Aircraft
-1.7382684,-15.627945,9.661188,0,707-320,Aircraft
0.8012601,-16.534897,9.48065,0,707-320,Aircraft
-0.41606224,-15.80845,9.407455,0,707-320,Aircraft
-0.7120751,-17.01768,8.250747,0,707-320,Aircraft
-0.10824527,-16.955545,9.888196,0,707-320,Aircraft
1.0675395,-16.72897,10.625568,0,707-320,Aircraft
-1.4628497,-15.32435,7.7996244,0,707-320,Aircraft
-0.43477687,-15.814825,10.312315,0,707-320,Aircraft
0.24340226,-14.789898,7.8994465,0,707-320,Aircraft
-0.03827979,-16.10628,11.303708,0,707-320,Aircraft
7.3559127,-9.752412,-9.440674,1,off-center face,Caltech101
8.730011,-11.614159,-8.702619,1,off-center face,Caltech101
7.253008,-10.032753,-8.297472,1,off-center face,Caltech101
6.989628,-6.0738125,-11.554772,2,centered face,Caltech101
8.986454,-6.7529907,-10.256464,1,off-center face,Caltech101
8.8221,-6.864441,-10.296476,1,off-center face,Caltech101
7.077905,-8.255376,-12.614075,2,centered face,Caltech101
7.428971,-11.519395,-10.201167,1,off-center face,Caltech101
5.7221975,-7.671629,-10.708683,1,off-center face,Caltech101
9.290246,-10.088474,-10.974772,2,centered face,Caltech101
7.3004756,-7.1239586,-9.442168,1,off-center face,Caltech101
7.0254884,-8.3260765,-12.712161,1,off-center face,Caltech101
6.6634326,-8.261165,-12.6012,1,off-center face,Caltech101
9.07792,-9.921963,-8.800522,2,centered face,Caltech101
7.2634077,-7.259369,-9.412963,2,centered face,Caltech101
6.780099,-9.651387,-7.8101697,1,off-center face,Caltech101
6.4085336,-9.173924,-7.596243,1,off-center face,Caltech101
6.508445,-6.157971,-9.21611,1,off-center face,Caltech101
9.32134,-10.030049,-10.842614,1,off-center face,Caltech101
9.158108,-10.152897,-10.889332,2,centered face,Caltech101
6.6188097,-10.1890135,-9.781054,1,off-center face,Caltech101
6.67741,-10.239886,-10.030068,1,off-center face,Caltech101
8.909601,-10.039824,-10.0669365,1,off-center face,Caltech101
7.1605186,-8.350328,-12.952385,2,centered face,Caltech101
6.221144,-11.348791,-9.985575,1,off-center face,Caltech101
7.1022825,-11.626402,-8.451924,2,centered face,Caltech101
5.5210176,-9.656535,-8.781774,2,centered face,Caltech101
9.300105,-9.6807575,-10.4219055,1,off-center face,Caltech101
6.147007,-10.990059,-10.512025,2,centered face,Caltech101
6.4065437,-11.419731,-10.6506195,2,centered face,Caltech101
6.512257,-11.393751,-10.571228,2,centered face,Caltech101
8.6717,-10.909549,-8.90549,2,centered face,Caltech101
7.866593,-8.98726,-8.013369,1,off-center face,Caltech101
7.2227683,-7.132398,-9.584359,2,centered face,Caltech101
9.280222,-6.5886755,-10.193932,1,off-center face,Caltech101
7.042376,-5.9874864,-11.548273,1,off-center face,Caltech101
7.5518966,-9.872293,-8.409416,1,off-center face,Caltech101
5.520458,-9.654664,-8.782911,2,centered face,Caltech101
8.190386,-7.5249944,-11.040391,2,centered face,Caltech101
6.125777,-7.7406974,-10.095873,1,off-center face,Caltech101
6.8016305,-6.163226,-11.655092,2,centered face,Caltech101
6.408621,-7.567278,-10.275426,2,centered face,Caltech101
5.681021,-7.579243,-10.85514,1,off-center face,Caltech101
6.326997,-7.49623,-10.771456,2,centered face,Caltech101
6.858004,-10.554797,-9.206324,1,off-center face,Caltech101
8.279986,-7.507542,-11.009151,1,off-center face,Caltech101
6.2638135,-7.0752945,-9.309575,1,off-center face,Caltech101
8.911044,-11.246273,-8.902404,1,off-center face,Caltech101
8.7878685,-11.049557,-8.813762,2,centered face,Caltech101
2.0694883,-7.2292495,7.698478,3,airplane,CIFAR10
4.022296,-4.9632726,10.621595,3,airplane,CIFAR10
1.986879,-4.448053,10.2912245,3,airplane,CIFAR10
4.132657,-7.332808,10.170226,3,airplane,CIFAR10
2.421625,-8.489411,11.503588,3,airplane,CIFAR10
2.0900989,-4.0834575,11.056592,3,airplane,CIFAR10
3.3074334,-9.30087,9.951691,3,airplane,CIFAR10
0.72672504,-7.8801856,11.939058,3,airplane,CIFAR10
1.4155554,-4.744445,13.1046095,3,airplane,CIFAR10
3.5835402,-3.8572516,12.09091,3,airplane,CIFAR10
0.77818966,-6.4304857,9.654008,3,airplane,CIFAR10
3.0805714,-5.6592507,11.300646,3,airplane,CIFAR10
4.372683,-7.7015853,11.9582,3,airplane,CIFAR10
1.7185788,-8.740346,13.680956,3,airplane,CIFAR10
1.6350358,-5.7143493,10.342193,3,airplane,CIFAR10
3.0661283,-9.706889,9.072463,3,airplane,CIFAR10
3.2139845,-9.521089,9.063713,3,airplane,CIFAR10
5.4470315,-4.591215,9.930083,3,airplane,CIFAR10
2.068065,-7.258331,8.057732,3,airplane,CIFAR10
1.4129316,-7.730004,9.69715,3,airplane,CIFAR10
3.3635004,-5.606978,12.853146,3,airplane,CIFAR10
