x,y,z,label,classname,dataset
-19.996656,-2.1901608,-11.070372,0,707-320,Aircraft
-20.158648,-2.2141063,-8.607072,0,707-320,Aircraft
-20.841385,1.9687489,-9.51908,0,707-320,Aircraft
-19.31271,-2.9358783,-8.881366,0,707-320,Aircraft
-19.331879,-2.8811057,-8.897003,0,707-320,Aircraft
-19.748709,1.2319596,-8.794748,0,707-320,Aircraft
-19.294298,-2.9126093,-8.91583,0,707-320,Aircraft
-20.174507,-2.126051,-9.537535,0,707-320,Aircraft
-23.092712,0.43220255,-12.38662,0,707-320,Aircraft
-20.561436,-2.7026534,-9.809501,0,707-320,Aircraft
-20.055458,0.6349999,-9.0021515,0,707-320,Aircraft
-19.53065,-2.5444157,-10.98251,0,707-320,Aircraft
-19.900574,1.3333671,-10.359846,0,707-320,Aircraft
-20.960331,-2.1912818,-8.674418,0,707-320,Aircraft
-19.742975,-2.3810475,-9.251211,0,707-320,Aircraft
-19.553007,-2.4290793,-11.011786,0,707-320,Aircraft
-20.188688,-1.065784,-9.00915,0,707-320,Aircraft
-19.067896,0.38949597,-8.768912,0,707-320,Aircraft
-20.057964,0.7909171,-8.440023,0,707-320,Aircraft
-19.321024,-2.9676852,-8.875259,0,707-320,Aircraft
-20.407026,-2.8679986,-9.7068,0,707-320,Aircraft
-20.461655,0.31834796,-7.5482473,0,707-320,Aircraft
-19.274294,-2.7921162,-8.906473,0,707-320,Aircraft
-18.505468,-1.2857083,-8.454525,0,707-320,Aircraft
-19.285566,-2.8602858,-8.877547,0,707-320,Aircraft
-19.7518,-2.207732,-9.476603,0,707-320,Aircraft
-20.622097,-1.7429655,-9.496374,0,707-320,Aircraft
-19.449295,-2.7343683,-8.991101,0,707-320,Aircraft
-19.180363,-2.9295375,-8.796257,0,707-320,Aircraft
-20.504555,1.0810878,-9.448733,0,707-320,Aircraft
-19.373283,-2.2276328,-9.521098,0,707-320,Aircraft
-20.400986,0.46717367,-7.56419,0,707-320,Aircraft
-18.694662,-2.522825,-9.571893,0,707-320,Aircraft
-19.91783,-2.5922687,-9.686332,1,727-200,Aircraft
-22.256763,0.7396855,-11.270516,1,727-200,Aircraft
-19.029808,-0.13588467,-9.361806,1,727-200,Aircraft
-18.934887,0.39440265,-11.611484,1,727-200,Aircraft
-19.005674,0.069596805,-9.035535,1,727-200,Aircraft
-19.866764,-1.8809986,-9.7929,1,727-200,Aircraft
-20.545303,1.3145974,-13.3099375,1,727-200,Aircraft
-19.826736,-1.8754247,-9.97666,1,727-200,Aircraft
-19.780745,-0.8910154,-9.06049,1,727-200,Aircraft
-20.062525,-1.1037827,-10.936248,1,727-200,Aircraft
-19.841894,0.7950513,-8.882388,1,727-200,Aircraft
-20.293097,-2.316208,-10.424643,1,727-200,Aircraft
-19.778591,1.3721219,-10.153597,1,727-200,Aircraft
-16.75393,-2.5098581,-8.866353,1,727-200,Aircraft
-19.547852,-2.3411162,-9.610478,1,727-200,Aircraft
-19.723375,-2.2354875,-9.968678,1,727-200,Aircraft
-20.06578,0.7895348,-9.224599,1,727-200,Aircraft
-17.951553,-1.7472619,-11.8165245,1,727-200,Aircraft
-19.24417,-2.1209054,-10.457096,1,727-200,Aircraft
-20.020212,-0.28881177,-9.282502,1,727-200,Aircraft
-18.974174,-0.10715441,-10.769804,1,727-200,Aircraft
-21.3685,0.6349369,-8.673565,1,727-200,Aircraft
-22.257572,-0.4703226,-12.139247,1,727-200,Aircraft
-19.243343,-2.7972975,-8.855909,1,727-200,Aircraft
-19.39786,-2.9936745,-8.758853,1,727-200,Aircraft
-18.755632,-1.5776775,-8.505362,1,727-200,Aircraft
-21.978117,1.3344616,-7.7079287,1,727-200,Aircraft
-19.09191,-2.7747216,-9.342873,1,727-200,Aircraft
-18.745003,-2.6615555,-9.559568,1,727-200,Aircraft
-19.074217,-0.7741584,-8.611985,1,727-200,Aircraft
-18.72069,-0.17122276,-8.345096,1,727-200,Aircraft
-18.747105,0.04785181,-9.2186165,1,727-200,Aircraft
-22.003794,0.52398145,-10.211717,1,727-200,Aircraft
-19.733461,4.195423,-10.946911,2,737-200,Aircraft
-20.675463,-3.2208052,-9.9032135,2,737-200,Aircraft
-19.234112,-0.6157578,-10.099611,2,737-200,Aircraft
-21.64012,0.6600686,-12.404171,2,737-200,Aircraft
-20.831875,-2.16464,-8.921909,2,737-200,Aircraft
-22.659903,-0.6546545,-11.002048,2,737-200,Aircraft
-20.849468,-2.0106406,-10.4328,2,737-200,Aircraft
-19.32096,-1.304696,-10.322483,2,737-200,Aircraft
-22.620663,4.1236777,-10.044513,2,737-200,Aircraft
-20.272587,1.1091475,-9.340384,2,737-200,Aircraft
-20.172823,-1.9623278,-9.702636,2,737-200,Aircraft
-19.39545,2.0243928,-11.926455,2,737-200,Aircraft
-22.442396,1.2812032,-9.975262,2,737-200,Aircraft
-21.28545,3.206762,-11.346447,2,737-200,Aircraft
-20.11161,1.0718261,-9.803646,2,737-200,Aircraft
-22.247917,1.4606731,-12.027204,2,737-200,Aircraft
