x,y,z,label,classname,dataset
2.3360536,-3.1391928,-17.686016,0,707-320,Aircraft
4.117804,-4.696893,-18.340895,0,707-320,Aircraft
2.944088,-5.250472,-17.445564,0,707-320,Aircraft
4.648986,-2.4876523,-19.528557,0,707-320,Aircraft
4.2036633,-3.4909282,-19.30871,0,707-320,Aircraft
4.2744875,-4.4057574,-16.039099,0,707-320,Aircraft
4.3258023,-3.5566359,-19.64435,0,707-320,Aircraft
3.4889748,-3.5694833,-18.447866,0,707-320,Aircraft
2.1789663,-4.4338875,-16.321712,0,707-320,Aircraft
2.8584018,-3.0589406,-19.603895,0,707-320,Aircraft
3.5495365,-4.4479866,-16.890348,0,707-320,Aircraft
3.4970872,-2.0804543,-17.34615,0,707-320,Aircraft
3.3314657,-4.432521,-16.180834,0,707-320,Aircraft
3.177095,-5.0657597,-19.20955,0,707-320,Aircraft
3.802026,-3.0734463,-18.26315,0,707-320,Aircraft
3.0671365,-2.4143918,-17.406645,0,707-320,Aircraft
3.173036,-3.688593,-17.531519,0,707-320,Aircraft
4.3393927,-3.72034,-16.475742,0,707-320,Aircraft
4.202372,-5.50682,-16.953293,0,707-320,Aircraft
4.345836,-2.0278697,-18.809341,0,707-320,Aircraft
3.0012991,-2.335802,-18.826841,0,707-320,Aircraft
5.1340456,-4.3095336,-17.235327,0,707-320,Aircraft
5.0266023,-3.2914681,-18.806013,0,707-320,Aircraft
3.7487867,-2.9808545,-16.73548,0,707-320,Aircraft
4.7719626,-3.9034634,-19.091793,0,707-320,Aircraft
4.391837,-3.6266475,-17.761423,0,707-320,Aircraft
2.8678417,-4.13547,-18.34578,0,707-320,Aircraft
4.3259525,-3.0208895,-18.74319,0,707-320,Aircraft
5.623201,-3.0219104,-19.193665,0,707-320,Aircraft
3.3717203,-4.7245197,-16.580153,0,707-320,Aircraft
4.8333573,-2.7947779,-17.681465,0,707-320,Aircraft
4.903393,-5.405551,-17.348671,0,707-320,Aircraft
5.4620585,-2.11271,-18.138016,0,707-320,Aircraft
2.043455,-11.838698,13.657604,1,off-center face,Caltech101
3.9521785,-13.065252,12.846932,1,off-center face,Caltech101
2.0676684,-12.100286,12.530126,1,off-center face,Caltech101
0.9535537,-8.333051,15.964544,2,centered face,Caltech101
2.9669142,-8.563142,14.631248,1,off-center face,Caltech101
2.86359,-8.679574,14.66707,1,off-center face,Caltech101
1.5663774,-10.447714,16.87329,2,centered face,Caltech101
2.7581828,-13.588037,14.354902,1,off-center face,Caltech101
0.03645869,-10.18318,15.002508,1,off-center face,Caltech101
4.13224,-11.792399,15.301411,2,centered face,Caltech101
1.4540123,-9.245239,13.789854,1,off-center face,Caltech101
1.5379493,-10.557896,16.996517,1,off-center face,Caltech101
1.1546829,-10.556332,16.879381,1,off-center face,Caltech101
3.8281815,-11.436702,13.122505,2,centered face,Caltech101
1.4287728,-9.407443,13.743564,2,centered face,Caltech101
1.5051391,-11.96205,12.020818,1,off-center face,Caltech101
0.94177526,-11.529285,11.825191,1,off-center face,Caltech101
0.4550376,-8.410224,13.648889,1,off-center face,Caltech101
4.1882277,-11.705764,15.192917,1,off-center face,Caltech101
3.9696672,-11.891055,15.230883,2,centered face,Caltech101
1.5498562,-12.436834,14.173047,1,off-center face,Caltech101
