x,y,z,label,classname,dataset
-28.126734,-12.240723,-2.2249572,0,707-320,Aircraft
-27.21667,-11.438286,-1.456548,0,707-320,Aircraft
-25.653387,-10.977325,-5.071505,0,707-320,Aircraft
-26.999136,-12.249905,-0.41553363,0,707-320,Aircraft
-27.009697,-12.185275,-0.56237483,0,707-320,Aircraft
-25.614752,-9.8578205,-3.9457507,0,707-320,Aircraft
-27.09463,-12.182135,-0.55077636,0,707-320,Aircraft
-27.05065,-12.547968,-1.9099301,0,707-320,Aircraft
-25.951933,-13.558554,-6.535139,0,707-320,Aircraft
-26.926188,-13.131235,-1.3818157,0,707-320,Aircraft
-26.163193,-10.455366,-3.8601203,0,707-320,Aircraft
-28.46649,-11.884146,-1.9912119,0,707-320,Aircraft
-24.922155,-10.63181,-4.296585,0,707-320,Aircraft
-27.156624,-13.290741,-2.3051274,0,707-320,Aircraft
-27.114183,-12.13967,-1.181659,0,707-320,Aircraft
-28.369839,-11.897973,-2.0288157,0,707-320,Aircraft
-26.544975,-11.523853,-2.6417472,0,707-320,Aircraft
-25.746859,-9.691539,-2.7424495,0,707-320,Aircraft
-26.447676,-9.950259,-3.7788627,0,707-320,Aircraft
-26.920044,-12.204539,-0.31481445,0,707-320,Aircraft
-27.562815,-13.026647,-1.5878384,0,707-320,Aircraft
-27.608898,-9.895328,-3.52299,0,707-320,Aircraft
-27.020952,-12.140053,-0.5525742,0,707-320,Aircraft
-26.788345,-10.426129,-1.7625895,0,707-320,Aircraft
-27.056324,-12.110046,-0.52438194,0,707-320,Aircraft
-27.386765,-12.026254,-1.6386915,0,707-320,Aircraft
-26.960361,-12.565954,-2.2789612,0,707-320,Aircraft
-26.945372,-12.217729,-0.6481785,0,707-320,Aircraft
-26.979097,-12.10532,-0.36336398,0,707-320,Aircraft
-25.987125,-10.50898,-4.414529,0,707-320,Aircraft
-27.377953,-11.912233,-1.4388647,0,707-320,Aircraft
-27.4553,-9.794632,-3.6289306,0,707-320,Aircraft
-27.619884,-11.944225,-0.6187963,0,707-320,Aircraft
-27.15146,-12.572622,-1.4368349,1,727-200,Aircraft
-25.624594,-12.222716,-6.148667,1,727-200,Aircraft
-25.568966,-10.419098,-2.763673,1,727-200,Aircraft
-25.38799,-8.681251,-6.012048,1,727-200,Aircraft
-25.733784,-9.830561,-2.7088406,1,727-200,Aircraft
-27.207344,-12.273817,-1.9870957,1,727-200,Aircraft
-23.050625,-12.395918,-5.277562,1,727-200,Aircraft
-27.312191,-12.186504,-2.0779827,1,727-200,Aircraft
-26.150402,-11.511548,-2.3924568,1,727-200,Aircraft
-27.254469,-11.634572,-3.6117518,1,727-200,Aircraft
-26.413904,-9.471852,-4.5732636,1,727-200,Aircraft
-26.283056,-12.957254,-1.8966748,1,727-200,Aircraft
-25.1621,-11.718786,-4.7819476,1,727-200,Aircraft
-25.443691,-9.414263,-0.20369647,1,727-200,Aircraft
-27.401783,-12.216947,-1.36384,1,727-200,Aircraft
-27.609005,-12.114805,-1.7653897,1,727-200,Aircraft
-25.997984,-10.726904,-3.924904,1,727-200,Aircraft
-26.02045,-8.028185,-4.552254,1,727-200,Aircraft
-27.914667,-11.693756,-1.9742013,1,727-200,Aircraft
-26.985764,-11.323848,-3.522947,1,727-200,Aircraft
-24.952463,-11.759659,-1.8301575,1,727-200,Aircraft
-27.304583,-11.210417,-4.549039,1,727-200,Aircraft
-25.798332,-13.951343,-5.609298,1,727-200,Aircraft
-27.032892,-12.161241,-0.5226693,1,727-200,Aircraft
-26.87731,-12.263795,-0.3578985,1,727-200,Aircraft
-26.947832,-11.323647,-0.90322155,1,727-200,Aircraft
-27.609484,-10.108243,-5.1407275,1,727-200,Aircraft
-27.457483,-12.272554,-0.56045705,1,727-200,Aircraft
-27.640182,-12.45171,-0.688915,1,727-200,Aircraft
-25.97696,-10.708393,-2.0687006,1,727-200,Aircraft
-25.403278,-9.874546,-2.2105124,1,727-200,Aircraft
-25.77841,-9.740016,-2.5706372,1,727-200,Aircraft
-27.159105,-10.691317,-6.9970565,1,727-200,Aircraft
-23.582985,-8.458661,-6.8354135,2,737-200,Aircraft
-27.825953,-13.405081,-1.3918005,2,737-200,Aircraft
-25.477253,-11.245764,-2.4363387,2,737-200,Aircraft
-25.009779,-12.617433,-5.5480103,2,737-200,Aircraft
-27.478802,-13.135304,-2.3057468,2,737-200,Aircraft
-27.204563,-13.649546,-5.240014,2,737-200,Aircraft
-27.897484,-12.755857,-2.8023763,2,737-200,Aircraft
-25.671011,-12.052287,-1.6716281,2,737-200,Aircraft
-26.269213,-9.085422,-7.697877,2,737-200,Aircraft
-25.831848,-10.344026,-4.203945,2,737-200,Aircraft
-26.337543,-12.335595,-1.9111017,2,737-200,Aircraft
-23.285265,-9.964629,-5.871506,2,737-200,Aircraft
-27.514572,-11.506296,-6.0809965,2,737-200,Aircraft
-24.30754,-10.456247,-6.728031,2,737-200,Aircraft
-25.450146,-10.512637,-3.9128168,2,737-200,Aircraft
-25.239815,-12.4146185,-6.813688,2,737-200,Aircraft
-25.07275,-9.310596,-1.9784697,2,737-200,Aircraft
-25.877287,-11.326412,-6.4824567,2,737-200,Aircraft
-25.843985,-11.329207,-2.3700075,2,737-200,Aircraft
-24.242357,-9.612952,-4.722475,2,737-200,Aircraft
-27.223341,-10.883898,-4.379111,2,737-200,Aircraft
-24.059643,-10.887869,-4.9201612,2,737-200,Aircraft
-24.445505,-10.784343,-3.8035219,2,737-200,Aircraft
-27.443363,-9.857911,-3.6748426,2,737-200,Aircraft
-24.867847,-11.845128,-5.2591844,2,737-200,Aircraft
-25.744202,-11.54508,-2.3471675,2,737-200,Aircraft
-25.47901,-12.371037,-5.5290847,2,737-200,Aircraft
-24.940178,-9.706778,-3.876857,2,737-200,Aircraft
-25.668835,-13.844337,-5.923816,2,737-200,Aircraft
-25.36907,-12.269455,-6.755953,2,737-200,Aircraft
-24.287067,-11.438644,-3.5951598,2,737-200,Aircraft
-27.854176,-13.231409,-3.8464706,2,737-200,Aircraft
-27.722721,-13.201401,-3.5027988,2,737-200,Aircraft
-26.921495,-10.717158,-7.315317,2,737-200,Aircraft
-28.455355,-10.130194,-5.621925,3,737-300,Aircraft
-24.606842,-12.020207,-4.5799885,3,737-300,Aircraft
