x,y,z,label,classname,dataset
5.5154266,-6.4764013,-15.374157,0,707-320,Aircraft
5.3021574,-8.7707815,-16.111147,0,707-320,Aircraft
5.111336,-8.339795,-14.477157,0,707-320,Aircraft
4.813723,-7.664457,-17.565147,0,707-320,Aircraft
5.879735,-7.443385,-17.280903,0,707-320,Aircraft
6.9855614,-8.6145115,-14.657064,0,707-320,Aircraft
6.0859585,-7.990131,-17.27223,0,707-320,Aircraft
5.498769,-7.5592914,-16.098244,0,707-320,Aircraft
5.870751,-7.828423,-13.644177,0,707-320,Aircraft
4.3974442,-6.752857,-16.480446,0,707-320,Aircraft
5.979551,-8.425819,-14.943798,0,707-320,Aircraft
7.1592293,-6.611712,-15.997685,0,707-320,Aircraft
6.253571,-8.370493,-14.424645,0,707-320,Aircraft
4.278344,-8.375104,-15.8994465,0,707-320,Aircraft
6.0429397,-7.0647626,-16.362013,0,707-320,Aircraft
6.6476674,-6.500396,-15.713377,0,707-320,Aircraft
5.854776,-7.297794,-15.146012,0,707-320,Aircraft
7.0960097,-8.069686,-15.166873,0,707-320,Aircraft
6.0105276,-9.549288,-15.16193,0,707-320,Aircraft
5.788659,-6.8918757,-17.904943,0,707-320,Aircraft
5.500261,-6.249688,-16.614664,0,707-320,Aircraft
7.1583824,-8.638005,-15.878004,0,707-320,Aircraft
5.447187,-8.059034,-17.147993,0,707-320,Aircraft
6.743382,-6.9948225,-14.922194,0,707-320,Aircraft
5.7611923,-8.262583,-17.068678,0,707-320,Aircraft
6.3188996,-7.8305216,-15.972135,0,707-320,Aircraft
5.1786413,-7.659983,-15.661614,0,707-320,Aircraft
5.3824806,-7.4876943,-17.077322,0,707-320,Aircraft
5.7081175,-8.268159,-17.95634,0,707-320,Aircraft
5.985853,-8.615288,-14.553703,0,707-320,Aircraft
6.8286314,-7.659264,-16.453287,0,707-320,Aircraft
6.4358416,-9.474725,-15.687602,0,707-320,Aircraft
7.127638,-7.5405364,-17.521372,0,707-320,Aircraft
-2.998454,-9.390352,10.947236,1,off-center face,Caltech101
-3.1525185,-8.730995,12.699697,1,off-center face,Caltech101
-3.54962,-9.984897,11.422016,1,off-center face,Caltech101
-3.3918736,-6.0002947,8.581994,2,centered face,Caltech101
-1.3030565,-7.0986114,8.950141,1,off-center face,Caltech101
-1.5106475,-7.0881853,9.009135,1,off-center face,Caltech101
-3.5233524,-6.148977,10.760711,2,centered face,Caltech101
-1.6840154,-10.631083,11.240524,1,off-center face,Caltech101
-4.194441,-7.613162,9.269672,1,off-center face,Caltech101
-0.9528401,-8.489562,11.5967455,2,centered face,Caltech101
-2.5751557,-8.203413,8.774783,1,off-center face,Caltech101
-3.6222503,-6.101158,10.902978,1,off-center face,Caltech101
-3.7225535,-6.1614385,10.864958,1,off-center face,Caltech101
-2.0457714,-9.660267,12.655082,2,centered face,Caltech101
-2.6823204,-8.306539,8.783633,2,centered face,Caltech101
-4.2924833,-10.575248,11.385372,1,off-center face,Caltech101
-4.771881,-10.540676,10.909515,1,off-center face,Caltech101
-3.1597767,-7.983278,7.758604,1,off-center face,Caltech101
-1.0627586,-8.530841,11.585141,1,off-center face,Caltech101
-0.99698764,-8.525496,11.813502,2,centered face,Caltech101
-2.3524985,-10.066036,10.511725,1,off-center face,Caltech101
-2.2303314,-10.006356,10.510953,1,off-center face,Caltech101
-1.7478713,-8.680792,11.615177,1,off-center face,Caltech101
-3.5881498,-5.8964643,11.026015,2,centered face,Caltech101
-1.9088267,-10.955978,10.081494,1,off-center face,Caltech101
-2.7675223,-10.711063,12.341339,2,centered face,Caltech101
-4.322869,-10.170397,9.825914,2,centered face,Caltech101
-1.2614629,-8.588613,11.421471,1,off-center face,Caltech101
-2.2058246,-11.335658,10.267738,2,centered face,Caltech101
-1.9394966,-11.284162,10.3886385,2,centered face,Caltech101
-1.878615,-11.195334,10.578433,2,centered face,Caltech101
-2.8879209,-9.103347,12.345459,2,centered face,Caltech101
-4.4463763,-9.378542,11.054153,1,off-center face,Caltech101
-2.7004993,-8.133696,8.77896,2,centered face,Caltech101
-1.0764958,-7.0876913,8.900002,1,off-center face,Caltech101
-3.3264096,-5.9795036,8.538457,1,off-center face,Caltech101
-3.464923,-9.821449,11.482463,1,off-center face,Caltech101
-4.3341784,-10.164599,9.864158,2,centered face,Caltech101
-2.2239456,-6.8455873,9.7449045,2,centered face,Caltech101
-3.8999612,-7.916806,9.157777,1,off-center face,Caltech101
-3.5448914,-5.9319406,8.623217,2,centered face,Caltech101
-3.7058961,-7.810889,9.175468,2,centered face,Caltech101
-4.2052765,-7.4165263,9.273188,1,off-center face,Caltech101
-3.8290126,-7.320271,9.360863,2,centered face,Caltech101
-2.954916,-10.625716,10.786857,1,off-center face,Caltech101
-2.1404517,-6.7977395,9.69999,1,off-center face,Caltech101
-3.3718061,-8.488594,8.342791,1,off-center face,Caltech101
-3.0640259,-8.790798,12.540932,1,off-center face,Caltech101
-2.9858222,-9.001159,12.413941,2,centered face,Caltech101
10.748334,-6.414173,-6.8652234,3,airplane,CIFAR10
8.4552555,-5.578951,-5.7093616,3,airplane,CIFAR10
9.431029,-4.7509985,-7.1172905,3,airplane,CIFAR10
