x,y,z,label,classname,dataset
5.2161584,-9.8567,-14.18651,0,707-320,Aircraft
6.6728373,-10.359771,-16.384953,0,707-320,Aircraft
4.832574,-9.068143,-16.676624,0,707-320,Aircraft
6.7855854,-12.00262,-14.619196,0,707-320,Aircraft
7.009843,-10.700657,-14.842554,0,707-320,Aircraft
6.3448076,-8.708887,-15.635271,0,707-320,Aircraft
7.204945,-10.930305,-15.194359,0,707-320,Aircraft
5.809596,-10.933793,-15.528157,0,707-320,Aircraft
5.117104,-8.049267,-15.602559,0,707-320,Aircraft
5.3637266,-12.132892,-14.632124,0,707-320,Aircraft
5.8711133,-9.271938,-16.241205,0,707-320,Aircraft
4.225769,-10.902861,-15.134975,0,707-320,Aircraft
5.8872924,-8.764204,-16.035078,0,707-320,Aircraft
5.80948,-11.519054,-16.947203,0,707-320,Aircraft
5.81792,-10.574466,-14.701108,0,707-320,Aircraft
4.553609,-10.461065,-14.791658,0,707-320,Aircraft
4.8929367,-9.9925585,-15.667358,0,707-320,Aircraft
6.035524,-9.198088,-15.143611,0,707-320,Aircraft
6.3450365,-9.406141,-17.29318,0,707-320,Aircraft
7.070355,-11.067395,-13.969037,0,707-320,Aircraft
5.505654,-11.182044,-13.88994,0,707-320,Aircraft
4.538201,-10.120997,-16.592882,0,707-320,Aircraft
6.657565,-11.421499,-15.282747,0,707-320,Aircraft
4.6023517,-9.531375,-15.205786,0,707-320,Aircraft
6.867388,-11.034249,-15.498907,0,707-320,Aircraft
5.873403,-10.022353,-15.31603,0,707-320,Aircraft
5.646788,-10.854598,-16.137981,0,707-320,Aircraft
6.597987,-11.154933,-14.732516,0,707-320,Aircraft
7.1473265,-11.916073,-15.591431,0,707-320,Aircraft
5.89497,-8.916071,-16.35793,0,707-320,Aircraft
5.227747,-10.955465,-15.629599,0,707-320,Aircraft
5.5064306,-10.072382,-17.332165,0,707-320,Aircraft
5.893475,-12.34753,-15.525633,0,707-320,Aircraft
-6.994951,5.5295243,13.345157,1,off-center face,Caltech101
-6.743393,3.745999,12.519034,1,off-center face,Caltech101
-8.038952,5.211343,12.95207,1,off-center face,Caltech101
-3.9730968,8.011754,12.048885,2,centered face,Caltech101
-4.1707377,5.8543935,11.322402,1,off-center face,Caltech101
-4.292955,5.9702125,11.487796,1,off-center face,Caltech101
-4.1364927,7.0955005,14.034136,2,centered face,Caltech101
-7.6413517,5.218741,14.768431,1,off-center face,Caltech101
-5.773478,7.9499593,12.865561,1,off-center face,Caltech101
-5.422273,4.40692,14.51344,2,centered face,Caltech101
-5.702918,6.738238,11.340186,1,off-center face,Caltech101
-4.136498,7.136785,14.229798,1,off-center face,Caltech101
-4.2307196,7.1946163,14.211566,1,off-center face,Caltech101
-7.2648506,3.8545167,13.8731985,2,centered face,Caltech101
-5.8122134,6.8015637,11.3778305,2,centered face,Caltech101
-8.755957,5.3722606,12.652004,1,off-center face,Caltech101
-9.00524,5.896863,12.041525,1,off-center face,Caltech101
-5.7179413,7.888533,10.799126,1,off-center face,Caltech101
-5.4846034,4.4375734,14.427957,1,off-center face,Caltech101
-5.641789,4.35391,14.560065,2,centered face,Caltech101
-7.205293,6.1651707,14.133561,1,off-center face,Caltech101
-7.090007,6.15766,14.231428,1,off-center face,Caltech101
-5.8940263,4.555855,13.833176,1,off-center face,Caltech101
-3.970778,7.1481104,14.37975,2,centered face,Caltech101
-8.362428,6.099532,14.802435,1,off-center face,Caltech101
-8.384122,4.238067,13.943254,2,centered face,Caltech101
-8.2547865,6.801716,12.441722,2,centered face,Caltech101
-5.714828,4.601329,14.227968,1,off-center face,Caltech101
-7.9202666,6.617674,14.886695,2,centered face,Caltech101
-8.06408,6.17718,15.094023,2,centered face,Caltech101
-7.930969,6.010632,15.122761,2,centered face,Caltech101
-7.003264,4.2195735,12.936024,2,centered face,Caltech101
-7.79711,5.3918543,11.830043,1,off-center face,Caltech101
-5.675942,6.858711,11.413222,2,centered face,Caltech101
-4.0331216,5.7052717,11.188601,1,off-center face,Caltech101
-3.9173827,7.964205,11.984408,1,off-center face,Caltech101
-7.8331037,5.0789123,12.897205,1,off-center face,Caltech101
-8.261249,6.7816668,12.41665,2,centered face,Caltech101
-4.4992585,6.1742687,12.431657,2,centered face,Caltech101
-5.9792447,7.6962075,12.482929,1,off-center face,Caltech101
-3.96623,8.200582,12.175961,2,centered face,Caltech101
-5.8324695,7.6477227,12.412533,2,centered face,Caltech101
-5.674285,8.02571,12.949951,1,off-center face,Caltech101
-5.431072,7.801945,12.813245,2,centered face,Caltech101
-7.820233,5.885071,13.800728,1,off-center face,Caltech101
-4.4755254,6.1372447,12.404169,1,off-center face,Caltech101
-6.1654544,7.5770335,11.311622,1,off-center face,Caltech101
-6.8012176,3.9875174,12.65727,1,off-center face,Caltech101
-6.9846516,4.1383195,12.804451,2,centered face,Caltech101
9.834472,-2.3163745,-12.338359,3,airplane,CIFAR10
8.328592,-1.1317291,-9.955052,3,airplane,CIFAR10
7.631896,-1.098374,-12.060699,3,airplane,CIFAR10
9.416923,-2.117533,-9.459332,3,airplane,CIFAR10
7.9691796,-5.6989164,-10.208881,3,airplane,CIFAR10
9.253408,-0.49735647,-10.886236,3,airplane,CIFAR10
6.265205,-4.2175245,-9.6990795,3,airplane,CIFAR10
7.494109,-5.912049,-12.43551,3,airplane,CIFAR10
5.996489,-0.9457191,-9.92876,3,airplane,CIFAR10
10.075005,-4.0378327,-10.780879,3,airplane,CIFAR10
6.5429215,-2.840455,-11.832001,3,airplane,CIFAR10
7.268519,-2.3360012,-10.98142,3,airplane,CIFAR10
8.14464,-3.2132096,-8.833911,3,airplane,CIFAR10
9.611073,-6.084542,-11.177467,3,airplane,CIFAR10
7.189315,-2.1644864,-12.259217,3,airplane,CIFAR10
5.7923794,-5.0531282,-10.68325,3,airplane,CIFAR10
6.7211,-4.095334,-10.829662,3,airplane,CIFAR10
9.364982,-1.5013069,-10.284196,3,airplane,CIFAR10
8.863147,-3.1041555,-12.641488,3,airplane,CIFAR10
6.615942,-3.7314734,-11.4715605,3,airplane,CIFAR10
7.9278336,-2.6186666,-10.112905,3,airplane,CIFAR10
9.46923,-1.7253333,-10.966832,3,airplane,CIFAR10
7.622963,-4.8859873,-12.885611,3,airplane,CIFAR10
6.9744477,-4.5030155,-10.322499,3,airplane,CIFAR10
8.373524,-2.8727183,-12.155716,3,airplane,CIFAR10
8.967179,-2.0301833,-11.616896,3,airplane,CIFAR10
6.354268,-2.5198953,-11.436785,3,airplane,CIFAR10
8.055137,-5.9888353,-11.181534,3,airplane,CIFAR10
8.562556,-3.2824295,-10.545688,3,airplane,CIFAR10
9.631185,-2.14145,-10.564318,3,airplane,CIFAR10
6.28378,-3.1659343,-13.071788,3,airplane,CIFAR10
9.143616,-3.1960695,-9.511001,3,airplane,CIFAR10
7.6060333,-5.2720046,-11.418048,3,airplane,CIFAR10
5.1386676,-4.63395,-10.659784,3,airplane,CIFAR10
7.949089,-1.4992205,-11.190212,3,airplane,CIFAR10
9.606575,-4.126408,-11.309768,3,airplane,CIFAR10
9.470861,-2.0355365,-8.704729,3,airplane,CIFAR10
8.433907,0.003624946,-11.646483,3,airplane,CIFAR10
7.6069846,-1.4106395,-9.432486,3,airplane,CIFAR10
8.535073,-4.31158,-9.891452,3,airplane,CIFAR10
7.1658516,-5.603618,-13.154753,3,airplane,CIFAR10
7.822451,-5.120191,-12.622319,3,airplane,CIFAR10
7.0101743,-2.6078413,-9.079398,3,airplane,CIFAR10
8.145837,-1.4363304,-10.701983,3,airplane,CIFAR10
7.0496707,-6.062304,-12.834727,3,airplane,CIFAR10
7.6453443,-4.736678,-12.66028,3,airplane,CIFAR10
8.789339,-1.5694975,-10.164871,3,airplane,CIFAR10
9.670984,-6.0734854,-11.181321,3,airplane,CIFAR10
8.023332,-4.562954,-12.280669,3,airplane,CIFAR10
7.3789697,-5.144711,-9.591396,3,airplane,CIFAR10
6.509442,-1.1955228,-10.108191,3,airplane,CIFAR10
7.605774,-2.6620553,-12.139759,3,airplane,CIFAR10
7.4239016,-4.620883,-10.305251,3,airplane,CIFAR10
7.1581197,-1.7306957,-9.661608,3,airplane,CIFAR10
6.397661,-3.5713565,-10.302328,3,airplane,CIFAR10
8.290374,-3.845057,-10.96468,3,airplane,CIFAR10
7.5382648,-1.5644028,-11.756257,3,airplane,CIFAR10
11.123698,-4.139475,-7.180789,4,apple,CIFAR100
10.648373,-3.3975244,-7.0609326,4,apple,CIFAR100
11.25522,-3.5215235,-6.669275,4,apple,CIFAR100
10.211942,-4.261596,-6.931886,4,apple,CIFAR100
11.298805,-3.6172607,-6.7717156,4,apple,CIFAR100
11.109057,-3.5409832,-6.8143206,4,apple,CIFAR100
10.9269285,-3.5599816,-6.9928484,4,apple,CIFAR100
8.102267,-9.63111,2.9714448,5,banded,DTD
8.737809,-9.233695,3.2724516,5,banded,DTD
7.259987,-10.243276,2.557907,5,banded,DTD
6.6918807,-8.482573,1.4456795,5,banded,DTD
9.455944,-10.113664,1.6475219,5,banded,DTD
8.101295,-9.218498,3.7891653,5,banded,DTD
9.300816,-9.76333,2.5856593,5,banded,DTD
8.993227,-9.27879,4.1923733,5,banded,DTD
6.59657,-10.459116,2.2983606,5,banded,DTD
7.2986274,-8.194243,1.7941772,5,banded,DTD
7.0493135,-9.032992,3.034484,5,banded,DTD
9.719084,-9.617884,3.5293205,5,banded,DTD
8.894371,-9.802071,1.6123412,5,banded,DTD
7.801565,-10.214239,2.365755,5,banded,DTD
7.1676836,-9.828129,3.191214,5,banded,DTD
9.602327,-9.459608,3.7110877,5,banded,DTD
8.977712,-9.580265,1.9825757,5,banded,DTD
8.637064,-10.6193905,3.8791943,5,banded,DTD
9.131974,-8.24966,4.1899533,5,banded,DTD
9.19523,-9.138403,4.162673,5,banded,DTD
7.068645,-5.546331,2.2049031,5,banded,DTD
8.981464,-5.9233046,2.5276213,5,banded,DTD
8.866397,-6.174084,1.815638,5,banded,DTD
8.355122,-7.384944,3.4240549,5,banded,DTD
8.3426485,-5.801879,2.0458777,5,banded,DTD
7.9721913,-6.6192365,1.7081583,5,banded,DTD
7.7462597,-5.973339,2.8980122,5,banded,DTD
8.549579,-6.8265953,2.7410607,5,banded,DTD
8.327505,-6.0343866,0.9233764,5,banded,DTD
6.158112,-6.854035,1.4034758,5,banded,DTD
7.6314783,-7.231801,2.9993114,5,banded,DTD
7.2747645,-6.851331,1.7975886,5,banded,DTD
7.842875,-5.291025,1.5897567,5,banded,DTD
6.8765388,-7.3102775,0.8189166,5,banded,DTD
8.240784,-6.6547904,1.5248764,5,banded,DTD
9.282139,-7.15025,2.154448,5,banded,DTD
8.075543,-6.3000045,1.9103408,5,banded,DTD
8.873185,-8.989216,2.5855577,5,banded,DTD
7.444336,-8.48386,2.2205484,5,banded,DTD
7.5740194,-8.734525,3.8246589,5,banded,DTD
1.0166514,-17.188461,-2.1204631,6,annual crop land,EuroSAT
0.1595816,-17.653463,-2.447679,6,annual crop land,EuroSAT
2.051277,-19.341805,-1.3234375,6,annual crop land,EuroSAT
-0.18885441,-20.089525,-1.8221948,6,annual crop land,EuroSAT
1.0536213,-21.568764,0.5251245,6,annual crop land,EuroSAT
2.5890489,-17.715372,-0.4328663,6,annual crop land,EuroSAT
0.53531677,-20.944649,-0.6433445,6,annual crop land,EuroSAT
-1.047802,-19.58522,-1.4458485,6,annual crop land,EuroSAT
0.24585971,-20.779583,-1.3156286,6,annual crop land,EuroSAT
1.9865085,-20.334288,-0.75531393,6,annual crop land,EuroSAT
2.9759536,-17.613373,-1.0709395,6,annual crop land,EuroSAT
2.478509,-18.322483,-1.1412069,6,annual crop land,EuroSAT
3.7440817,-17.4405,-1.4015653,6,annual crop land,EuroSAT
4.4138374,-18.099255,-2.010417,6,annual crop land,EuroSAT
0.02476183,-19.593193,-0.63843566,6,annual crop land,EuroSAT
2.5659947,-16.76005,-1.6055231,6,annual crop land,EuroSAT
4.4674144,-19.012993,-1.6902921,6,annual crop land,EuroSAT
0.723591,-19.806694,0.63434964,6,annual crop land,EuroSAT
1.5164521,-20.907873,1.2653942,6,annual crop land,EuroSAT
5.4117,-17.249712,-2.8664246,6,annual crop land,EuroSAT
3.7809515,-20.026325,-1.5763927,6,annual crop land,EuroSAT
0.39965788,-17.04423,-1.6584896,6,annual crop land,EuroSAT
0.31721687,-19.82852,-2.671551,6,annual crop land,EuroSAT
0.9819828,-22.512068,-0.7878934,6,annual crop land,EuroSAT
-0.6152781,-21.546902,-1.8666586,6,annual crop land,EuroSAT
-0.24753115,-20.47907,-1.2463329,6,annual crop land,EuroSAT
