x,y,z,label,classname,dataset
-1.286658,-15.3641815,8.338785,0,707-320,Aircraft
-1.0306344,-13.620798,9.940274,0,707-320,Aircraft
-2.244367,-13.713985,8.916366,0,707-320,Aircraft
0.38131875,-15.48894,10.452619,0,707-320,Aircraft
-0.33498627,-14.595879,10.51914,0,707-320,Aircraft
-0.70532817,-12.826641,7.9511447,0,707-320,Aircraft
-0.3167624,-14.767122,10.772111,0,707-320,Aircraft
-0.7134085,-14.840827,9.576144,0,707-320,Aircraft
-2.1434195,-14.059751,7.4739084,0,707-320,Aircraft
-0.8898448,-16.022871,10.327487,0,707-320,Aircraft
-1.2328247,-13.570024,8.453875,0,707-320,Aircraft
0.41987914,-15.118416,8.193225,0,707-320,Aircraft
-1.311739,-13.438614,7.8776016,0,707-320,Aircraft
-2.0391843,-14.485132,10.554791,0,707-320,Aircraft
-0.25759003,-14.988192,9.335902,0,707-320,Aircraft
-0.16905235,-15.324293,8.1719055,0,707-320,Aircraft
-0.8660582,-14.510991,8.845514,0,707-320,Aircraft
-0.19365361,-13.343449,8.154694,0,707-320,Aircraft
-1.6026055,-12.532524,8.903296,0,707-320,Aircraft
0.9955989,-15.225305,9.735853,0,707-320,Aircraft
-0.19417016,-16.052204,9.3962555,0,707-320,Aircraft
-0.06466032,-12.857312,9.276584,0,707-320,Aircraft
0.5456358,-14.227159,10.363937,0,707-320,Aircraft
-0.060763415,-14.3215065,8.069918,0,707-320,Aircraft
-0.080969825,-14.00759,10.615321,0,707-320,Aircraft
-0.10797441,-13.954578,9.274271,0,707-320,Aircraft
-1.5212893,-14.819727,9.410405,0,707-320,Aircraft
0.23244251,-14.72555,9.899079,0,707-320,Aircraft
0.95169646,-14.612012,10.915023,0,707-320,Aircraft
-1.5387033,-13.335589,8.276678,0,707-320,Aircraft
0.76532984,-14.097978,9.267767,0,707-320,Aircraft
-1.1480454,-12.275762,9.551319,0,707-320,Aircraft
1.7597383,-14.381975,9.677814,0,707-320,Aircraft
9.208365,-8.545073,-10.032613,1,off-center face,Caltech101
11.615862,-8.880538,-10.263685,1,off-center face,Caltech101
9.461164,-8.9149475,-8.990231,1,off-center face,Caltech101
5.851556,-6.3079877,-11.573714,2,centered face,Caltech101
7.9009366,-5.2866945,-10.590666,1,off-center face,Caltech101
7.8858194,-5.407155,-10.620577,1,off-center face,Caltech101
