x,y,z,label,classname,dataset
2.4104002,-19.406101,6.0137134,0,707-320,Aircraft
0.9614608,-18.618616,4.3767285,0,707-320,Aircraft
2.285342,-17.808384,4.7868466,0,707-320,Aircraft
0.0101677235,-20.236149,5.466075,0,707-320,Aircraft
0.16400379,-19.228199,5.0776706,0,707-320,Aircraft
2.761102,-19.053795,3.3660343,0,707-320,Aircraft
-0.076413624,-19.306316,5.2189455,0,707-320,Aircraft
1.1657106,-19.346884,5.316849,0,707-320,Aircraft
3.5962596,-18.52133,4.9750514,0,707-320,Aircraft
0.34984967,-19.460415,6.4880075,0,707-320,Aircraft
2.4539938,-18.659521,4.295298,0,707-320,Aircraft
2.1193972,-20.713879,5.140369,0,707-320,Aircraft
3.04422,-18.763357,4.0625343,0,707-320,Aircraft
0.72270346,-17.788446,5.5796976,0,707-320,Aircraft
1.1975151,-19.819704,5.449194,0,707-320,Aircraft
2.2744975,-20.34793,5.525164,0,707-320,Aircraft
1.9583111,-19.262527,5.088288,0,707-320,Aircraft
2.4761913,-19.59221,3.7197855,0,707-320,Aircraft
2.0937614,-17.88958,3.5236487,0,707-320,Aircraft
0.5079917,-20.875923,5.134187,0,707-320,Aircraft
1.1248937,-20.306446,6.246621,0,707-320,Aircraft
1.3711164,-19.307152,3.2666552,0,707-320,Aircraft
0.23037094,-19.919794,4.3831077,0,707-320,Aircraft
2.4990335,-20.093487,4.5576634,0,707-320,Aircraft
0.10588179,-19.269701,4.4637465,0,707-320,Aircraft
1.3829827,-19.693182,4.3487864,0,707-320,Aircraft
1.5732899,-18.648968,5.618811,0,707-320,Aircraft
0.6562459,-19.96609,4.920201,0,707-320,Aircraft
-0.43024236,-20.247967,4.4159784,0,707-320,Aircraft
2.7282588,-18.407028,4.145657,0,707-320,Aircraft
1.1484549,-20.433968,4.1680503,0,707-320,Aircraft
1.3945198,-18.076687,3.1449752,0,707-320,Aircraft
0.43500242,-21.320038,4.119599,0,707-320,Aircraft
8.920806,-7.524558,-9.636157,1,off-center face,Caltech101
10.300125,-9.205984,-9.242423,1,off-center face,Caltech101
8.609866,-7.6281657,-8.631152,1,off-center face,Caltech101
7.9870744,-4.1146903,-12.025242,2,centered face,Caltech101
9.799552,-4.333471,-10.516132,1,off-center face,Caltech101
9.723951,-4.4118676,-10.536136,1,off-center face,Caltech101
8.826616,-6.1147614,-12.893832,2,centered face,Caltech101
9.068981,-9.167684,-10.451287,1,off-center face,Caltech101
6.999982,-5.8194933,-11.336895,1,off-center face,Caltech101
10.970886,-7.440215,-10.86414,2,centered face,Caltech101
8.25113,-5.0246153,-9.929732,1,off-center face,Caltech101
8.840204,-6.1841803,-12.976032,1,off-center face,Caltech101
8.431489,-6.194389,-12.945563,1,off-center face,Caltech101
10.337415,-7.7818565,-8.857059,2,centered face,Caltech101
8.285244,-5.121882,-9.916979,2,centered face,Caltech101
8.041769,-7.2933583,-8.223551,1,off-center face,Caltech101
7.6005015,-6.78524,-8.231868,1,off-center face,Caltech101
7.367559,-4.2053137,-9.809757,1,off-center face,Caltech101
11.004952,-7.391016,-10.777834,1,off-center face,Caltech101
10.867661,-7.542838,-10.900858,2,centered face,Caltech101
8.290297,-7.940682,-9.981459,1,off-center face,Caltech101
8.412109,-8.019983,-10.298941,1,off-center face,Caltech101
10.695789,-7.5750103,-10.158735,1,off-center face,Caltech101
8.969779,-6.1914783,-13.126583,2,centered face,Caltech101
8.015718,-9.0509615,-10.434022,1,off-center face,Caltech101
8.918808,-9.162677,-8.624202,2,centered face,Caltech101
7.0290947,-7.622138,-9.356012,2,centered face,Caltech101
11.038872,-7.0741696,-10.454169,1,off-center face,Caltech101
7.9932837,-8.74535,-10.862285,2,centered face,Caltech101
8.064804,-9.004803,-11.018615,2,centered face,Caltech101
8.1723,-8.974422,-10.983031,2,centered face,Caltech101
10.1817045,-8.564382,-9.250387,2,centered face,Caltech101
9.136352,-6.6300807,-8.480958,1,off-center face,Caltech101
8.2356825,-5.0419474,-10.061823,2,centered face,Caltech101
10.099854,-4.120827,-10.45214,1,off-center face,Caltech101
7.959801,-4.0512023,-12.021341,1,off-center face,Caltech101
8.824076,-7.528688,-8.740506,1,off-center face,Caltech101
7.0155234,-7.6239705,-9.349544,2,centered face,Caltech101
9.51146,-5.1437206,-11.292974,2,centered face,Caltech101
7.3478246,-5.7451143,-10.750663,1,off-center face,Caltech101
7.962671,-4.232391,-12.088599,2,centered face,Caltech101
7.6458125,-5.5624247,-10.797643,2,centered face,Caltech101
6.9164968,-5.8372536,-11.4503355,1,off-center face,Caltech101
7.6188393,-5.5932746,-11.195342,2,centered face,Caltech101
8.378294,-8.312481,-9.481455,1,off-center face,Caltech101
9.593756,-5.1003795,-11.24904,1,off-center face,Caltech101
7.3478003,-5.0977283,-9.963793,1,off-center face,Caltech101
10.364014,-8.863028,-9.319892,1,off-center face,Caltech101
10.285802,-8.685712,-9.232473,2,centered face,Caltech101
7.8998966,-10.2608,-0.06766081,3,airplane,CIFAR10
8.875793,-10.164039,4.494474,3,airplane,CIFAR10
11.438021,-10.451678,2.0333807,3,airplane,CIFAR10
8.74191,-9.622102,2.869441,3,airplane,CIFAR10
7.7935038,-12.760711,1.1840539,3,airplane,CIFAR10
9.92328,-11.92811,2.4077063,3,airplane,CIFAR10
5.8264823,-10.866975,1.9300972,3,airplane,CIFAR10
7.844348,-13.292806,2.1182666,3,airplane,CIFAR10
8.730946,-13.4557905,4.8522573,3,airplane,CIFAR10
10.075491,-10.570085,3.063723,3,airplane,CIFAR10
6.6442986,-11.440545,3.491067,3,airplane,CIFAR10
8.798893,-12.019654,3.7455063,3,airplane,CIFAR10
11.236157,-10.936517,4.526033,3,airplane,CIFAR10
5.5322566,-13.77805,1.9406332,3,airplane,CIFAR10
8.867104,-11.38438,2.4453926,3,airplane,CIFAR10
5.2184343,-10.573447,2.3295789,3,airplane,CIFAR10
5.127528,-10.3886175,2.4936583,3,airplane,CIFAR10
10.351142,-8.730885,4.6460476,3,airplane,CIFAR10
7.810773,-10.450496,0.06866805,3,airplane,CIFAR10
6.899684,-11.548318,2.880746,3,airplane,CIFAR10
10.365008,-11.724981,4.4798245,3,airplane,CIFAR10
10.204332,-8.986594,4.4901447,3,airplane,CIFAR10
7.8420987,-13.155674,3.1814556,3,airplane,CIFAR10
6.5523763,-10.382606,1.3928795,3,airplane,CIFAR10
8.350911,-11.734302,2.820665,3,airplane,CIFAR10
7.3110933,-10.206218,3.496488,3,airplane,CIFAR10
7.4704466,-12.443529,4.3879905,3,airplane,CIFAR10
6.02957,-13.530643,1.7855021,3,airplane,CIFAR10
8.544848,-10.491852,2.3240151,3,airplane,CIFAR10
9.315415,-9.27039,4.7144666,3,airplane,CIFAR10
6.438813,-12.3576355,4.0905204,3,airplane,CIFAR10
8.505215,-9.303971,2.573454,3,airplane,CIFAR10
6.488045,-12.267909,1.6068963,3,airplane,CIFAR10
7.807187,-14.221305,4.140474,3,airplane,CIFAR10
9.1653,-11.28603,3.6235821,3,airplane,CIFAR10
7.8130245,-11.148374,0.6860659,3,airplane,CIFAR10
7.5681205,-10.656477,4.8675704,3,airplane,CIFAR10
11.16082,-11.573761,2.6868901,3,airplane,CIFAR10
9.389467,-11.08632,4.138921,3,airplane,CIFAR10
7.951222,-12.585752,1.6463008,3,airplane,CIFAR10
7.9174223,-13.981007,2.4221845,3,airplane,CIFAR10
7.3618317,-12.665679,2.983102,3,airplane,CIFAR10
9.741803,-12.473025,3.363674,3,airplane,CIFAR10
10.030548,-10.308955,3.0722551,3,airplane,CIFAR10
7.907061,-14.121403,2.4295175,3,airplane,CIFAR10
7.732763,-12.291636,2.6113853,3,airplane,CIFAR10
9.2045,-9.204328,4.861263,3,airplane,CIFAR10
5.4131474,-13.837191,1.9653354,3,airplane,CIFAR10
10.67925,-9.504394,3.858478,3,airplane,CIFAR10
7.4909735,-12.256424,1.2482983,3,airplane,CIFAR10
8.768909,-12.8360615,4.484579,3,airplane,CIFAR10
7.21175,-10.97006,3.2873075,3,airplane,CIFAR10
6.382542,-10.54067,1.4493601,3,airplane,CIFAR10
10.14612,-11.330146,3.9489665,3,airplane,CIFAR10
6.3229613,-8.149145,3.5686936,3,airplane,CIFAR10
8.594565,-10.157688,1.9361254,3,airplane,CIFAR10
11.209254,-10.575719,2.20819,3,airplane,CIFAR10
8.69873,-6.095649,1.6885628,4,apple,CIFAR100
8.427884,-5.7576137,2.4336257,4,apple,CIFAR100
8.715907,-5.3754277,2.0923457,4,apple,CIFAR100
9.47914,-5.7623286,2.3787427,4,apple,CIFAR100
8.398879,-5.808865,1.7481204,4,apple,CIFAR100
8.451404,-5.582243,1.9644525,4,apple,CIFAR100
8.416933,-5.8020167,2.1495147,4,apple,CIFAR100
11.341264,-0.74705213,8.243193,5,banded,DTD
10.478177,-0.61752945,8.906103,5,banded,DTD
11.81997,-0.058408894,7.911175,5,banded,DTD
11.059357,-1.7699009,10.8629055,5,banded,DTD
10.677238,-2.7479842,6.9358535,5,banded,DTD
11.168259,-0.01690783,9.579834,5,banded,DTD
10.533005,-1.4825588,6.961749,5,banded,DTD
10.437195,-0.23878892,8.425081,5,banded,DTD
11.993761,-1.3409613,8.248494,5,banded,DTD
10.426411,-1.606079,10.138366,5,banded,DTD
11.354573,-0.39434418,9.606116,5,banded,DTD
10.100857,-0.49675012,7.0250125,5,banded,DTD
10.667611,-2.1604772,7.2096267,5,banded,DTD
11.445904,-0.9398466,7.837025,5,banded,DTD
11.87605,-0.40322417,8.659447,5,banded,DTD
10.097547,-0.5535548,7.0645685,5,banded,DTD
