x,y,z,label,classname,dataset
-25.735334,1.71372,-2.0576086,0,707-320,Aircraft
-25.753363,-0.50417906,-2.1111171,0,707-320,Aircraft
-28.272526,-0.80254513,-4.3521023,0,707-320,Aircraft
-24.875149,-0.38369197,-2.1605997,0,707-320,Aircraft
-24.891409,-0.42390025,-2.1537857,0,707-320,Aircraft
-27.630901,-0.634494,-4.98995,0,707-320,Aircraft
-24.853014,-0.4304981,-2.1512005,0,707-320,Aircraft
-25.817375,0.27919874,-2.2176232,0,707-320,Aircraft
-31.462976,1.0274751,-4.5299287,0,707-320,Aircraft
-25.778715,0.14010951,-1.5230525,0,707-320,Aircraft
-27.20431,-0.42892942,-4.291657,0,707-320,Aircraft
-25.3588,1.4898875,-1.8867469,0,707-320,Aircraft
-27.859999,0.11677117,-5.5689254,0,707-320,Aircraft
-26.565731,-0.34412292,-1.380007,0,707-320,Aircraft
-25.46186,0.010470844,-2.2222362,0,707-320,Aircraft
-25.505867,1.550269,-1.9898046,0,707-320,Aircraft
-26.194736,-0.1737377,-2.9290254,0,707-320,Aircraft
-26.480564,-0.54120266,-4.7568955,0,707-320,Aircraft
-27.398773,-0.9042144,-4.2840176,0,707-320,Aircraft
-24.842325,-0.4482579,-2.1161826,0,707-320,Aircraft
-25.539454,0.356153,-1.3764915,0,707-320,Aircraft
-27.303051,-1.3001065,-3.1611876,0,707-320,Aircraft
-24.906256,-0.37623924,-2.3581524,0,707-320,Aircraft
-25.585907,-0.6867071,-3.5956078,0,707-320,Aircraft
-24.85076,-0.47762606,-2.2071252,0,707-320,Aircraft
-25.570349,0.16518101,-2.272584,0,707-320,Aircraft
-26.418356,0.57243365,-2.1494794,0,707-320,Aircraft
-25.081442,-0.29070354,-2.235527,0,707-320,Aircraft
-24.734274,-0.41058794,-2.3405402,0,707-320,Aircraft
-28.00747,0.045843415,-4.757322,0,707-320,Aircraft
-25.26591,0.28579807,-2.4865966,0,707-320,Aircraft
-27.554918,-1.564765,-3.5413852,0,707-320,Aircraft
-23.801708,0.48329833,-3.1876726,0,707-320,Aircraft
-25.434465,0.46198505,-1.8392199,1,727-200,Aircraft
-28.236847,2.4105985,-3.7919164,1,727-200,Aircraft
-26.21958,-0.19461621,-4.788882,1,727-200,Aircraft
-26.224045,0.6599359,-5.61684,1,727-200,Aircraft
-26.11503,-0.34331024,-4.791554,1,727-200,Aircraft
-25.515615,0.8121606,-2.5141618,1,727-200,Aircraft
-30.157978,0.1614138,-7.2455583,1,727-200,Aircraft
-25.68033,0.7578657,-2.4008749,1,727-200,Aircraft
-26.136244,-0.18805398,-3.4390962,1,727-200,Aircraft
-25.824207,1.5570133,-2.2177067,1,727-200,Aircraft
-27.253822,1.4199274,-6.121695,1,727-200,Aircraft
-25.018919,1.1836777,-2.647126,1,727-200,Aircraft
-29.074337,0.6077018,-5.8511915,1,727-200,Aircraft
-24.596584,-0.17615734,-4.975338,1,727-200,Aircraft
-25.304062,0.2906062,-2.2996871,1,727-200,Aircraft
-25.35574,0.7122878,-2.0610363,1,727-200,Aircraft
-27.273298,-0.7098771,-4.3809586,1,727-200,Aircraft
-25.800806,3.231358,-5.2224045,1,727-200,Aircraft
-25.057287,1.2283963,-2.3908234,1,727-200,Aircraft
-27.043594,-0.056738164,-3.808413,1,727-200,Aircraft
-25.566366,1.5879755,-3.9494462,1,727-200,Aircraft
-27.9463,-0.32815844,-3.654831,1,727-200,Aircraft
-26.918106,1.7257563,-1.4829677,1,727-200,Aircraft
-24.881895,-0.46768907,-2.3761623,1,727-200,Aircraft
