x,y,z,label,classname,dataset
11.144305,-14.285561,1.8366448,0,707-320,Aircraft
11.515286,-13.872359,-0.712515,0,707-320,Aircraft
12.037236,-12.728887,-0.0025520187,0,707-320,Aircraft
11.93739,-15.517998,-0.2513357,0,707-320,Aircraft
10.474527,-15.373509,-0.7331945,0,707-320,Aircraft
10.031176,-12.374363,0.2167729,0,707-320,Aircraft
10.681519,-15.297317,-1.1364813,0,707-320,Aircraft
11.319282,-14.589781,0.4015885,0,707-320,Aircraft
11.42363,-12.424958,1.5541614,0,707-320,Aircraft
12.086065,-15.829858,0.94561696,0,707-320,Aircraft
11.027653,-12.874933,0.32134268,0,707-320,Aircraft
9.46917,-14.700489,0.8815951,0,707-320,Aircraft
10.767861,-12.375866,0.6984981,0,707-320,Aircraft
12.937922,-14.271203,0.022444237,0,707-320,Aircraft
10.629202,-15.031814,0.44300145,0,707-320,Aircraft
9.997923,-14.709688,1.377842,0,707-320,Aircraft
11.003057,-13.998061,0.8417007,0,707-320,Aircraft
9.944324,-13.083345,0.3926141,0,707-320,Aircraft
10.947652,-12.369386,-0.75429875,0,707-320,Aircraft
10.901215,-16.177599,0.20227587,0,707-320,Aircraft
11.151574,-15.592326,1.2763091,0,707-320,Aircraft
9.576327,-13.716224,-0.52731895,0,707-320,Aircraft
11.549195,-15.075538,-0.7530633,0,707-320,Aircraft
10.016121,-13.723351,1.2169408,0,707-320,Aircraft
10.962716,-14.851496,-1.1215808,0,707-320,Aircraft
10.497266,-14.153675,-0.1822513,0,707-320,Aircraft
11.902856,-14.12078,0.72090924,0,707-320,Aircraft
11.153041,-15.225746,-0.089145556,0,707-320,Aircraft
11.523984,-16.086235,-1.010468,0,707-320,Aircraft
11.136601,-12.405495,0.30954504,0,707-320,Aircraft
9.854269,-14.924642,-0.109336935,0,707-320,Aircraft
10.353223,-12.871512,-1.2920682,0,707-320,Aircraft
9.859808,-16.458912,-0.27106225,0,707-320,Aircraft
2.7375436,-11.131021,-10.431815,1,off-center face,Caltech101
2.7722082,-13.381182,-11.161829,1,off-center face,Caltech101
2.189965,-11.41051,-9.398216,1,off-center face,Caltech101
3.7039697,-9.070213,-14.252532,2,centered face,Caltech101
3.2122285,-11.434139,-14.090629,1,off-center face,Caltech101
3.2070794,-11.340613,-13.980631,1,off-center face,Caltech101
1.8016555,-8.943675,-12.8897705,2,centered face,Caltech101
3.928004,-12.855619,-9.737274,1,off-center face,Caltech101
4.152039,-8.88726,-12.10503,1,off-center face,Caltech101
0.6458518,-12.052734,-12.039152,2,centered face,Caltech101
4.264738,-10.73607,-12.802039,1,off-center face,Caltech101
1.6894537,-8.863512,-12.823439,1,off-center face,Caltech101
2.0581174,-8.518512,-12.714465,1,off-center face,Caltech101
1.5556154,-13.025831,-10.2434,2,centered face,Caltech101
4.1316195,-10.778348,-12.58506,2,centered face,Caltech101
2.0604072,-10.809212,-8.849991,1,off-center face,Caltech101
2.113323,-10.063559,-8.699029,1,off-center face,Caltech101
5.395507,-10.343696,-13.312369,1,off-center face,Caltech101
0.5843462,-11.99092,-11.942,1,off-center face,Caltech101
0.8323811,-12.127126,-12.013391,2,centered face,Caltech101
3.5056274,-11.266451,-9.560563,1,off-center face,Caltech101
3.7795713,-11.392013,-9.456199,1,off-center face,Caltech101
1.243402,-11.991892,-11.303894,1,off-center face,Caltech101
1.4622613,-8.845165,-12.919024,2,centered face,Caltech101
4.6241145,-12.061767,-9.606323,1,off-center face,Caltech101
2.5266552,-13.0092125,-9.358875,2,centered face,Caltech101
3.2731311,-9.839227,-9.789206,2,centered face,Caltech101
0.6550572,-11.650478,-11.56651,1,off-center face,Caltech101
4.572928,-11.78757,-10.191368,2,centered face,Caltech101
