x,y,z,label,classname,dataset
3.4249341,-15.175371,11.775472,0,707-320,Aircraft
2.8040204,-15.779271,9.542197,0,707-320,Aircraft
3.6532812,-14.576174,9.523119,0,707-320,Aircraft
2.1005714,-17.690659,10.86024,0,707-320,Aircraft
2.616297,-16.917017,10.531267,0,707-320,Aircraft
1.9791005,-13.628404,9.94635,0,707-320,Aircraft
2.7776823,-17.184961,10.196931,0,707-320,Aircraft
2.944724,-15.894624,10.817207,0,707-320,Aircraft
3.844866,-13.62214,10.840019,0,707-320,Aircraft
3.8101318,-16.955776,11.309603,0,707-320,Aircraft
2.7900138,-14.318954,10.132403,0,707-320,Aircraft
1.8422697,-15.318556,12.1906395,0,707-320,Aircraft
2.7478518,-13.600065,10.292677,0,707-320,Aircraft
4.1469226,-16.191532,9.620873,0,707-320,Aircraft
2.1928842,-15.92362,11.02747,0,707-320,Aircraft
2.3513746,-15.193513,12.038098,0,707-320,Aircraft
2.957331,-15.034302,10.830177,0,707-320,Aircraft
1.6831176,-14.103884,10.476199,0,707-320,Aircraft
2.6532292,-14.066617,8.845213,0,707-320,Aircraft
1.7623141,-17.223215,11.630147,0,707-320,Aircraft
2.9456966,-16.483892,12.046134,0,707-320,Aircraft
1.5154253,-14.975169,9.423501,0,707-320,Aircraft
1.8236108,-16.762556,10.288058,0,707-320,Aircraft
2.1354592,-14.506619,11.348966,0,707-320,Aircraft
2.2349925,-16.855465,9.879844,0,707-320,Aircraft
1.856977,-15.432765,10.494942,0,707-320,Aircraft
3.5453174,-15.5722275,10.520814,0,707-320,Aircraft
2.2828758,-16.750896,10.956475,0,707-320,Aircraft
1.3518664,-17.324842,10.018721,0,707-320,Aircraft
2.9921665,-13.912998,9.964684,0,707-320,Aircraft
1.222032,-15.7648,10.84977,0,707-320,Aircraft
2.0860236,-14.748871,8.721245,0,707-320,Aircraft
0.7371529,-16.82135,11.011998,0,707-320,Aircraft
9.105363,-8.735851,-10.774861,1,off-center face,Caltech101
11.152225,-9.70873,-11.213467,1,off-center face,Caltech101
9.679306,-8.950639,-9.871524,1,off-center face,Caltech101
6.2405305,-5.9149046,-12.581425,2,centered face,Caltech101
8.781315,-5.5630035,-12.303602,1,off-center face,Caltech101
8.65926,-5.7379065,-12.271141,1,off-center face,Caltech101
6.8290133,-7.909344,-13.67298,2,centered face,Caltech101
9.364936,-10.561178,-11.739844,1,off-center face,Caltech101
6.423085,-7.6243105,-11.284986,1,off-center face,Caltech101
9.981709,-8.69507,-13.211555,2,centered face,Caltech101
7.971007,-6.4809055,-10.851916,1,off-center face,Caltech101
6.7672477,-8.042386,-13.736809,1,off-center face,Caltech101
6.5998416,-8.121745,-13.584386,1,off-center face,Caltech101
10.720344,-8.014578,-11.305221,2,centered face,Caltech101
7.906098,-6.631448,-10.718081,2,centered face,Caltech101
9.594312,-8.839918,-9.1439085,1,off-center face,Caltech101
9.156481,-8.404773,-8.781134,1,off-center face,Caltech101
7.0494275,-5.628692,-10.669385,1,off-center face,Caltech101
9.931323,-8.689651,-13.078133,1,off-center face,Caltech101
9.983417,-8.8669815,-13.072295,2,centered face,Caltech101
8.562291,-9.562559,-10.801564,1,off-center face,Caltech101
8.495675,-9.61095,-11.14795,1,off-center face,Caltech101
10.097835,-8.500007,-12.367162,1,off-center face,Caltech101
6.8103623,-7.888939,-14.052641,2,centered face,Caltech101
8.54479,-10.832738,-10.838961,1,off-center face,Caltech101
10.295618,-10.2874775,-10.038771,2,centered face,Caltech101
7.9575777,-8.873737,-9.276841,2,centered face,Caltech101
9.644157,-8.599465,-12.698876,1,off-center face,Caltech101
7.989776,-10.625803,-11.085356,2,centered face,Caltech101
8.183456,-10.830159,-11.378076,2,centered face,Caltech101
8.298693,-10.798891,-11.445961,2,centered face,Caltech101
10.86997,-9.094673,-11.259883,2,centered face,Caltech101
9.530946,-7.7500234,-9.716766,1,off-center face,Caltech101
7.8120856,-6.5176864,-10.939235,2,centered face,Caltech101
8.954264,-5.3513975,-12.3838005,1,off-center face,Caltech101
6.248922,-5.818111,-12.59692,1,off-center face,Caltech101
9.744842,-8.723607,-10.10995,1,off-center face,Caltech101
7.941233,-8.866544,-9.276147,2,centered face,Caltech101
8.114728,-6.631165,-12.67194,2,centered face,Caltech101
6.818247,-7.4729834,-10.92723,1,off-center face,Caltech101
6.1188965,-6.0812755,-12.60194,2,centered face,Caltech101
6.9914327,-7.23901,-11.208059,2,centered face,Caltech101
6.319256,-7.6506047,-11.50805,1,off-center face,Caltech101
6.7767086,-7.2701178,-11.690203,2,centered face,Caltech101
9.025035,-9.796227,-10.379099,1,off-center face,Caltech101
8.163082,-6.6119976,-12.705532,1,off-center face,Caltech101
7.009362,-6.7015934,-10.230578,1,off-center face,Caltech101
11.077634,-9.323575,-11.37543,1,off-center face,Caltech101
10.995206,-9.112066,-11.217381,2,centered face,Caltech101
5.191869,-6.92312,3.6944447,3,airplane,CIFAR10
7.42753,-5.65917,5.895685,3,airplane,CIFAR10
5.1080136,-4.006894,7.2891307,3,airplane,CIFAR10
6.674637,-4.5515847,5.3213673,3,airplane,CIFAR10
6.779542,-7.4474287,8.988964,3,airplane,CIFAR10
5.634004,-4.857908,6.173723,3,airplane,CIFAR10
3.6480978,-7.9726515,7.9259543,3,airplane,CIFAR10
6.0288997,-8.173654,8.468711,3,airplane,CIFAR10
7.291231,-4.722949,9.148327,3,airplane,CIFAR10
6.0142794,-3.4299614,7.5233264,3,airplane,CIFAR10
3.6950157,-6.32907,7.078294,3,airplane,CIFAR10
7.197447,-6.0122333,6.799173,3,airplane,CIFAR10
7.4562244,-3.5234082,6.262878,3,airplane,CIFAR10
4.9226384,-6.1207747,9.922732,3,airplane,CIFAR10
4.5231547,-5.4242773,7.286695,3,airplane,CIFAR10
3.3828645,-8.954234,6.8767905,3,airplane,CIFAR10
2.99749,-8.043442,6.7432766,3,airplane,CIFAR10
8.059894,-5.8160458,4.3168445,3,airplane,CIFAR10
5.104178,-6.887841,3.9952466,3,airplane,CIFAR10
3.9123638,-6.9905925,6.5622954,3,airplane,CIFAR10
7.878537,-6.1153884,8.100731,3,airplane,CIFAR10
8.039159,-5.560289,4.5334816,3,airplane,CIFAR10
5.836118,-7.456752,7.3241467,3,airplane,CIFAR10
3.6936545,-8.147488,6.189144,3,airplane,CIFAR10
7.279594,-6.563764,6.080173,3,airplane,CIFAR10
8.027132,-6.227213,5.2670116,3,airplane,CIFAR10
