x,y,z,label,classname,dataset
-5.4190407,-11.178615,-18.815071,0,707-320,Aircraft
-6.3787584,-11.159476,-17.992903,0,707-320,Aircraft
-8.247059,-13.684719,-21.427135,0,707-320,Aircraft
-6.54323,-9.744007,-17.947668,0,707-320,Aircraft
-6.5468473,-9.851416,-17.966957,0,707-320,Aircraft
-8.402986,-13.266305,-20.033876,0,707-320,Aircraft
-6.4905887,-9.856996,-17.959993,0,707-320,Aircraft
-6.0748196,-10.517242,-19.103233,0,707-320,Aircraft
-8.072229,-15.391211,-22.042688,0,707-320,Aircraft
-5.8472085,-9.738947,-19.285755,0,707-320,Aircraft
-7.6754375,-13.2004595,-20.017542,0,707-320,Aircraft
-5.2832074,-11.409881,-18.402805,0,707-320,Aircraft
-8.49227,-12.794242,-20.70908,0,707-320,Aircraft
-5.670919,-10.301249,-19.933233,0,707-320,Aircraft
-6.162195,-10.585025,-18.55683,0,707-320,Aircraft
-5.396152,-11.38756,-18.52583,0,707-320,Aircraft
-7.060831,-11.753263,-19.53715,0,707-320,Aircraft
-8.758469,-12.03612,-18.598906,0,707-320,Aircraft
-7.699171,-13.517868,-19.416607,0,707-320,Aircraft
-6.626847,-9.715005,-17.862982,0,707-320,Aircraft
-5.460213,-10.284859,-18.937866,0,707-320,Aircraft
-7.0877366,-13.976124,-18.693462,0,707-320,Aircraft
-6.5492964,-9.893541,-17.997013,0,707-320,Aircraft
-7.4166284,-11.615271,-18.673231,0,707-320,Aircraft
-6.540806,-9.923831,-17.963352,0,707-320,Aircraft
-6.0406666,-10.984201,-18.556059,0,707-320,Aircraft
-6.085912,-10.755099,-19.357735,0,707-320,Aircraft
-6.5468082,-9.8884535,-18.076591,0,707-320,Aircraft
-6.6038575,-9.812578,-17.877216,0,707-320,Aircraft
-7.6739206,-13.190302,-20.395067,0,707-320,Aircraft
-6.2795362,-10.928602,-18.539429,0,707-320,Aircraft
-7.3460503,-14.01039,-18.75194,0,707-320,Aircraft
-6.2025824,-10.434132,-17.868313,0,707-320,Aircraft
-6.0935335,-10.175768,-18.80747,1,727-200,Aircraft
-7.0353174,-12.691637,-22.61443,1,727-200,Aircraft
-8.358289,-11.636702,-19.487543,1,727-200,Aircraft
-9.363089,-11.182301,-21.232458,1,727-200,Aircraft
-8.710486,-12.070922,-18.76901,1,727-200,Aircraft
-5.987091,-10.849168,-19.030901,1,727-200,Aircraft
-8.157637,-10.755289,-23.298035,1,727-200,Aircraft
-5.9559226,-11.021693,-18.87932,1,727-200,Aircraft
-7.4232526,-11.254845,-19.661882,1,727-200,Aircraft
-8.589691,-11.47686,-21.31028,1,727-200,Aircraft
-8.100942,-14.298967,-19.516806,1,727-200,Aircraft
-6.344425,-9.998973,-19.703325,1,727-200,Aircraft
-7.4501934,-12.485238,-21.367489,1,727-200,Aircraft
-9.780807,-10.322245,-16.587774,1,727-200,Aircraft
-5.924898,-10.561526,-18.662123,1,727-200,Aircraft
-5.8745246,-11.088072,-18.64431,1,727-200,Aircraft
-7.811023,-13.241067,-19.714838,1,727-200,Aircraft
-9.403501,-13.32926,-18.555145,1,727-200,Aircraft
-5.8027625,-11.6055155,-18.514858,1,727-200,Aircraft
-6.8032084,-12.398208,-19.567154,1,727-200,Aircraft
-9.44454,-11.730859,-20.017227,1,727-200,Aircraft
-6.2466745,-13.622429,-20.158106,1,727-200,Aircraft
-5.445263,-11.901168,-23.11906,1,727-200,Aircraft
-6.5270042,-9.890231,-18.014942,1,727-200,Aircraft
-6.6139936,-9.671489,-17.86632,1,727-200,Aircraft
-6.9845366,-10.680502,-17.993725,1,727-200,Aircraft
-6.8373137,-14.609325,-19.862629,1,727-200,Aircraft
-6.0282493,-9.970167,-18.253695,1,727-200,Aircraft
-5.862266,-9.853712,-18.371195,1,727-200,Aircraft
-7.8469186,-11.400263,-18.888044,1,727-200,Aircraft
-8.536261,-11.672768,-18.373222,1,727-200,Aircraft
