x,y,z,label,classname,dataset
4.887527,-6.0161223,-15.92385,0,707-320,Aircraft
6.8732247,-7.0069885,-15.422937,0,707-320,Aircraft
5.6009398,-5.635318,-14.442743,0,707-320,Aircraft
6.145686,-7.9366617,-16.93973,0,707-320,Aircraft
6.409025,-6.824596,-17.351238,0,707-320,Aircraft
7.3327155,-5.2537303,-14.79919,0,707-320,Aircraft
6.5811205,-6.8933854,-17.051224,0,707-320,Aircraft
5.820052,-6.6978903,-16.052868,0,707-320,Aircraft
5.921226,-4.7140107,-14.28562,0,707-320,Aircraft
4.9040914,-7.606261,-16.362543,0,707-320,Aircraft
6.476546,-6.0196137,-14.801243,0,707-320,Aircraft
5.4517217,-5.0133424,-16.878193,0,707-320,Aircraft
6.733989,-5.5484,-14.396152,0,707-320,Aircraft
5.718468,-7.6604486,-15.110967,0,707-320,Aircraft
5.831853,-6.2348323,-16.660685,0,707-320,Aircraft
5.486042,-5.3984714,-16.56647,0,707-320,Aircraft
5.850664,-5.605722,-15.639184,0,707-320,Aircraft
7.312209,-5.4368463,-15.654004,0,707-320,Aircraft
6.9714603,-6.6824803,-14.156328,0,707-320,Aircraft
6.024023,-7.3169804,-17.901697,0,707-320,Aircraft
4.943516,-6.6815195,-17.039284,0,707-320,Aircraft
6.1935816,-4.7249765,-15.593311,0,707-320,Aircraft
6.6457458,-7.266598,-16.654299,0,707-320,Aircraft
6.6047125,-4.851161,-16.286036,0,707-320,Aircraft
6.872805,-7.0437875,-16.633236,0,707-320,Aircraft
6.606464,-6.014438,-16.065712,0,707-320,Aircraft
5.6975884,-6.7322044,-15.506036,0,707-320,Aircraft
6.1314096,-7.3003855,-16.872892,0,707-320,Aircraft
7.283929,-7.6501117,-17.022274,0,707-320,Aircraft
6.5336614,-5.930066,-14.425249,0,707-320,Aircraft
6.79998,-5.732301,-16.680979,0,707-320,Aircraft
7.6552334,-6.4259973,-14.724088,0,707-320,Aircraft
7.345456,-6.20249,-17.566027,0,707-320,Aircraft
-3.165746,-9.131517,10.59035,1,off-center face,Caltech101
-2.6401503,-10.574669,11.954313,1,off-center face,Caltech101
-3.9874465,-9.767156,10.691331,1,off-center face,Caltech101
-3.1096632,-5.195635,9.422255,2,centered face,Caltech101
-3.3372824,-6.0134225,11.453385,1,off-center face,Caltech101
-3.3104699,-6.0932655,11.314357,1,off-center face,Caltech101
-1.5419979,-6.492056,9.227469,2,centered face,Caltech101
-1.9793879,-10.336796,10.205412,1,off-center face,Caltech101
-3.524619,-6.9600425,8.905148,1,off-center face,Caltech101
-1.3926064,-8.607669,11.538092,2,centered face,Caltech101
-4.343866,-7.00238,10.444083,1,off-center face,Caltech101
-1.3831931,-6.55443,9.13882,1,off-center face,Caltech101
-1.492117,-6.613692,9.117045,1,off-center face,Caltech101
-3.1800528,-9.038903,12.128805,2,centered face,Caltech101
-4.415637,-7.1175966,10.331989,2,centered face,Caltech101
-4.655856,-10.040153,10.590893,1,off-center face,Caltech101
-5.241405,-9.729906,10.299455,1,off-center face,Caltech101
-4.907886,-6.096578,9.94547,1,off-center face,Caltech101
-1.4570223,-8.637541,11.531365,1,off-center face,Caltech101
-1.319044,-8.717096,11.477593,2,centered face,Caltech101
-2.841532,-9.478829,9.596687,1,off-center face,Caltech101
-2.744004,-9.454199,9.637066,1,off-center face,Caltech101
