x,y,z,label,classname,dataset
-23.484064,-3.094518,-12.741125,0,707-320,Aircraft
-22.035778,-3.1673088,-12.886723,0,707-320,Aircraft
-23.523447,-7.1385636,-12.02714,0,707-320,Aircraft
-21.75343,-2.1837769,-11.935768,0,707-320,Aircraft
-21.763699,-2.252265,-11.980774,0,707-320,Aircraft
-22.059885,-6.5737963,-12.373703,0,707-320,Aircraft
-21.846409,-2.2869792,-11.942641,0,707-320,Aircraft
-23.026442,-3.0821207,-11.584506,0,707-320,Aircraft
-23.387827,-9.168031,-12.644606,0,707-320,Aircraft
-23.06067,-2.4731817,-11.22715,0,707-320,Aircraft
-22.538235,-5.9407964,-12.672156,0,707-320,Aircraft
-23.35896,-3.1098251,-13.104648,0,707-320,Aircraft
-22.754253,-6.545699,-11.418888,0,707-320,Aircraft
-23.16985,-3.286718,-10.817352,0,707-320,Aircraft
-22.60941,-2.9691126,-12.201752,0,707-320,Aircraft
-23.356745,-3.1973982,-12.949858,0,707-320,Aircraft
-22.584469,-4.4315414,-12.113776,0,707-320,Aircraft
-21.11843,-5.899339,-12.68237,0,707-320,Aircraft
-22.299086,-5.811871,-13.146139,0,707-320,Aircraft
-21.616028,-2.1227732,-11.978939,0,707-320,Aircraft
-23.070667,-2.3968468,-11.814902,0,707-320,Aircraft
-22.617239,-5.198805,-13.821342,0,707-320,Aircraft
-21.822178,-2.3222625,-11.950698,0,707-320,Aircraft
-21.636568,-4.370797,-12.500496,0,707-320,Aircraft
-21.78836,-2.3318036,-11.986586,0,707-320,Aircraft
-22.731796,-3.142702,-12.308921,0,707-320,Aircraft
-23.050962,-3.456289,-11.56301,0,707-320,Aircraft
-21.829372,-2.308374,-11.930652,0,707-320,Aircraft
-21.700542,-2.2334838,-11.980203,0,707-320,Aircraft
-22.799873,-6.194773,-12.49045,0,707-320,Aircraft
-22.710505,-3.3406963,-12.239514,0,707-320,Aircraft
-22.33638,-5.452981,-13.781857,0,707-320,Aircraft
-22.233984,-2.522559,-12.051469,0,707-320,Aircraft
-22.712261,-2.6915407,-11.593704,1,727-200,Aircraft
-25.813425,-6.9565167,-11.47557,1,727-200,Aircraft
-21.70939,-5.2296576,-11.619946,1,727-200,Aircraft
-22.83295,-7.8810806,-13.919341,1,727-200,Aircraft
-21.238365,-6.022468,-12.68942,1,727-200,Aircraft
-23.07181,-3.2536504,-11.9875145,1,727-200,Aircraft
-24.68746,-5.5509725,-8.914268,1,727-200,Aircraft
-23.237654,-3.4210608,-12.000364,1,727-200,Aircraft
-22.61937,-4.433511,-11.51384,1,727-200,Aircraft
-23.85578,-4.703776,-12.6185055,1,727-200,Aircraft
-22.169243,-5.9114366,-12.98869,1,727-200,Aircraft
-23.569794,-2.90272,-11.355957,1,727-200,Aircraft
-24.048456,-6.1271396,-11.177636,1,727-200,Aircraft
-17.851337,-2.877857,-11.4320965,1,727-200,Aircraft
-22.766962,-2.888614,-11.657579,1,727-200,Aircraft
-23.015411,-3.2436118,-12.174041,1,727-200,Aircraft
-22.55904,-5.849975,-12.768501,1,727-200,Aircraft
-21.202122,-6.8357596,-13.005894,1,727-200,Aircraft
-23.152739,-3.4067545,-12.760886,1,727-200,Aircraft
-23.353132,-4.804831,-12.67325,1,727-200,Aircraft
-22.339628,-6.071958,-10.388969,1,727-200,Aircraft
-23.944147,-5.829464,-13.263043,1,727-200,Aircraft
-25.992794,-5.2889705,-10.594184,1,727-200,Aircraft
-21.836142,-2.3112645,-11.934193,1,727-200,Aircraft
-21.660387,-2.1534953,-12.00267,1,727-200,Aircraft
-21.558382,-3.592962,-12.455054,1,727-200,Aircraft
-24.009743,-5.845734,-14.783148,1,727-200,Aircraft
-22.187975,-2.362173,-11.797578,1,727-200,Aircraft
-22.348341,-2.2776642,-11.626659,1,727-200,Aircraft
-21.621525,-4.5240536,-12.267876,1,727-200,Aircraft
-20.710764,-5.4295645,-12.691585,1,727-200,Aircraft
-21.057062,-5.9872155,-12.714952,1,727-200,Aircraft
-24.992792,-5.1756673,-13.148161,1,727-200,Aircraft
-22.77519,-9.178599,-10.251728,2,737-200,Aircraft
-23.475958,-1.8630415,-12.133123,2,737-200,Aircraft
-21.862051,-4.7352586,-10.941937,2,737-200,Aircraft
-24.944351,-6.3876944,-11.231914,2,737-200,Aircraft
-23.238508,-2.9625745,-11.233944,2,737-200,Aircraft
-25.854843,-4.424094,-11.694948,2,737-200,Aircraft
-24.010187,-3.243776,-12.267964,2,737-200,Aircraft
-22.223152,-3.4544225,-11.061727,2,737-200,Aircraft
-24.94889,-10.250881,-11.563938,2,737-200,Aircraft
-22.522356,-6.220469,-12.441965,2,737-200,Aircraft
-22.550673,-3.2959352,-11.238553,2,737-200,Aircraft
-23.478472,-7.440433,-9.928203,2,737-200,Aircraft
-25.042404,-6.6018806,-13.65195,2,737-200,Aircraft
-24.252405,-8.211395,-10.171848,2,737-200,Aircraft
-22.508276,-6.193233,-12.1985445,2,737-200,Aircraft
-25.690035,-7.5605173,-10.797929,2,737-200,Aircraft
-20.060352,-5.5225534,-12.724154,2,737-200,Aircraft
-25.334524,-6.9745646,-11.739843,2,737-200,Aircraft
-22.024544,-4.761944,-11.395471,2,737-200,Aircraft
-22.054514,-7.670194,-11.643806,2,737-200,Aircraft
-23.53955,-6.0508623,-13.52293,2,737-200,Aircraft
-23.208395,-7.9945993,-11.183654,2,737-200,Aircraft
-22.308552,-6.4117393,-10.992412,2,737-200,Aircraft
-22.381035,-5.459136,-13.746811,2,737-200,Aircraft
-24.11061,-6.400191,-10.870743,2,737-200,Aircraft
-22.118767,-4.6444235,-10.837991,2,737-200,Aircraft
-24.639454,-6.5865183,-11.65894,2,737-200,Aircraft
-21.942654,-6.9152756,-12.435463,2,737-200,Aircraft
-26.11329,-5.5211244,-10.560448,2,737-200,Aircraft
-25.633375,-7.488781,-10.983164,2,737-200,Aircraft
-22.204287,-6.5159335,-10.418498,2,737-200,Aircraft
-24.79501,-3.6571076,-11.942606,2,737-200,Aircraft
-24.747887,-3.5862336,-11.915566,2,737-200,Aircraft
-25.49669,-7.662784,-12.799298,2,737-200,Aircraft
-24.826042,-6.0836062,-15.039981,3,737-300,Aircraft
-23.342524,-6.149107,-10.784832,3,737-300,Aircraft
-22.04975,-7.404333,-10.598139,3,737-300,Aircraft
-22.53186,-4.9289646,-10.974689,3,737-300,Aircraft
-22.39021,-6.416067,-11.392933,3,737-300,Aircraft
-26.53277,-8.179504,-12.622906,3,737-300,Aircraft
-25.710701,-7.2368383,-13.841232,3,737-300,Aircraft
-23.505135,-6.777014,-12.304975,3,737-300,Aircraft
-24.53347,-5.3393974,-10.800644,3,737-300,Aircraft
-24.090746,-3.1426072,-11.352916,3,737-300,Aircraft
-23.601486,-7.0638733,-10.716007,3,737-300,Aircraft
-25.74282,-7.57622,-10.570666,3,737-300,Aircraft
-24.23967,-6.758849,-10.871606,3,737-300,Aircraft
-27.057009,-7.046437,-14.726254,3,737-300,Aircraft
-23.522005,-1.9067326,-12.118703,3,737-300,Aircraft
-26.072536,-6.907124,-11.670356,3,737-300,Aircraft
-26.7123,-4.7113967,-12.124238,3,737-300,Aircraft
-26.561079,-9.556237,-12.587603,3,737-300,Aircraft
-26.027773,-9.209775,-14.311443,3,737-300,Aircraft
-25.33068,-5.966353,-8.485166,3,737-300,Aircraft
-23.775188,-6.6779838,-12.220812,3,737-300,Aircraft
-26.780005,-6.8126426,-13.651362,3,737-300,Aircraft
-26.652346,-6.4986467,-13.243927,3,737-300,Aircraft
-23.387894,-3.3988488,-11.780222,3,737-300,Aircraft
-24.650763,-8.367103,-11.263431,3,737-300,Aircraft
-25.195555,-6.2854276,-13.187655,3,737-300,Aircraft
-26.416296,-6.882667,-11.306337,3,737-300,Aircraft
-22.322556,-6.5620794,-10.601913,3,737-300,Aircraft
-25.9784,-7.626086,-13.882742,3,737-300,Aircraft
-24.892094,-7.602408,-10.886496,3,737-300,Aircraft
-25.662848,-7.6886635,-12.291195,3,737-300,Aircraft
-26.250874,-7.782732,-10.5244665,3,737-300,Aircraft
-23.435024,-9.31765,-13.443477,3,737-300,Aircraft
-23.341589,-7.6045194,-11.5370865,4,737-400,Aircraft
-23.716095,-5.2914453,-10.359084,4,737-400,Aircraft
-26.889978,-8.5269985,-15.011471,4,737-400,Aircraft
-27.225176,-5.2530484,-13.320357,4,737-400,Aircraft
-24.048376,-5.0985312,-13.2129545,4,737-400,Aircraft
-26.74271,-5.3218803,-13.416532,4,737-400,Aircraft
-24.678474,-8.014258,-10.97826,4,737-400,Aircraft
-25.066082,-8.436515,-11.408737,4,737-400,Aircraft
-26.337765,-9.546022,-9.626386,4,737-400,Aircraft
-23.853107,-5.1785936,-11.302523,4,737-400,Aircraft
-25.856503,-4.944432,-12.241157,4,737-400,Aircraft
-23.057316,-3.161244,-11.875137,4,737-400,Aircraft
-22.983444,-7.4578986,-12.203569,4,737-400,Aircraft
-23.915916,-9.332965,-13.074411,4,737-400,Aircraft
-23.590008,-6.9630513,-10.529572,4,737-400,Aircraft
-25.410933,-7.090502,-13.505053,4,737-400,Aircraft
-26.161097,-7.2393117,-13.630806,4,737-400,Aircraft
-23.132927,-3.549116,-12.046215,4,737-400,Aircraft
-25.097225,-10.026229,-11.876043,4,737-400,Aircraft
-25.021345,-3.9778466,-11.038401,4,737-400,Aircraft
-24.07629,-6.3993063,-10.856557,4,737-400,Aircraft
-27.047956,-7.086457,-14.710492,4,737-400,Aircraft
-23.431389,-3.542981,-11.245314,4,737-400,Aircraft
-23.674667,-6.0093856,-11.967506,4,737-400,Aircraft
-22.41963,-2.5570843,-10.973131,4,737-400,Aircraft
-27.054588,-7.0606265,-14.68869,4,737-400,Aircraft
-23.698929,-7.0182056,-12.02722,4,737-400,Aircraft
-26.89669,-6.5624623,-12.99336,4,737-400,Aircraft
-24.641586,-6.9516716,-12.665011,4,737-400,Aircraft
-26.836536,-7.1102104,-9.676577,4,737-400,Aircraft
-27.091337,-6.6316075,-13.458959,4,737-400,Aircraft
-25.37171,-7.420002,-10.964144,4,737-400,Aircraft
-23.017036,-3.7275064,-12.057034,4,737-400,Aircraft
-22.434664,-4.909687,-11.729786,5,737-500,Aircraft
-26.017857,-6.276414,-10.608077,5,737-500,Aircraft
-25.455029,-9.361055,-12.188296,5,737-500,Aircraft
-24.773315,-7.5768876,-10.342219,5,737-500,Aircraft
-24.730825,-8.100866,-10.840646,5,737-500,Aircraft
-26.481647,-9.366776,-12.527811,5,737-500,Aircraft
-26.56842,-6.5553093,-13.590986,5,737-500,Aircraft
-23.689415,-6.6753435,-12.993087,5,737-500,Aircraft
-25.910427,-4.936153,-12.22203,5,737-500,Aircraft
-23.791471,-6.815802,-12.109796,5,737-500,Aircraft
-24.93107,-6.0279107,-13.507767,5,737-500,Aircraft
